reranked_order,definition_id,example_sn,example_cn,example_en,example_img,pinyin_id,hanzi,frequency_rank
32,320,1,去年是去年，今年是今年，你当年年一个样哪！时间在变，你也应该有所改变。,"Last year was last year, this year is this year. How can you stay the same every year? Time changes, and so should you.",,31,是,4
33,318,1,他是一片好心，总是愿意帮助别人。,He has a kind heart and is always willing to help others.,,31,是,4
34,319,1,村子前面是一片水田，每到夏天都会种满绿油油的稻谷。,"In front of the village is a paddy field, which is planted with green rice every summer.",,31,是,4
35,317,1,这张桌子是石头的，看起来非常坚固耐用。,"This table is made of stone, and it looks very solid and durable.",,31,是,4
36,423,1,他知道吗？——不，他不知道。这件事还是不要告诉他比较好。,"Does he know? — No, he doesn't. It's better not to tell him about this matter.",,42,不,5
37,421,1,不去就不去吧，反正也没什么重要的事情。,"If you don't want to go, then don't go. Anyway, there is nothing important.",,42,不,5
38,428,1,不谢，这是我应该做的，大家都是朋友嘛。,You're welcome. It's what I should do; we are all friends after all.,,42,不,5
39,424,1,他现在身体好不？如果不好，我们应该去看看他。,"Is he feeling well now? If not, we should go and see him.",,42,不,5
40,425,1,拿不动就别勉强了，我们可以找别人帮忙。,"If you can't carry it, don't force yourself. We can ask someone else for help.",,42,不,5
41,426,1,什么累不累的，有工作就得做，这才是负责任的态度。,"Never mind being tired or not; if there is work, we have to do it. That's what responsibility means.",,42,不,5
42,422,1,不法行为必须受到法律的严惩，这样才能维护社会的公平正义。,Illegal behavior must be severely punished by law in order to maintain social fairness and justice.,,42,不,5
43,427,1,晚上他不是看书，就是写文章，生活过得非常充实。,"In the evening, he either reads books or writes articles, leading a very fulfilling life.",,42,不,5
44,554912,1,毕业后，他花了很长时间找工作。,"After graduation, he spent a long time looking for a job.",,55491,工作,6
45,554911,1,为了实现目标，我们必须积极工作。,"In order to achieve our goals, we must work actively.",,55491,工作,6
46,554913,1,这份项目的工作量非常大，需要合理分配时间。,"The workload of this project is very heavy, so it’s necessary to allocate time properly.",,55491,工作,6
47,521,1,这件事情终于了结，大家都松了一口气。,"The matter was finally settled, and everyone breathed a sigh of relief.",,52,了,7
48,522,1,这点小事你一定办得了，我相信你的能力。,You can definitely handle this little thing; I believe in your ability.,,52,了,7
49,511,1,这个小组受到了表扬，因为他们的表现非常出色。,This group was praised because their performance was excellent.,,51,了,7
50,512,1,天突然阴沉下来，不一会儿就下雨了。,"The sky suddenly turned gloomy, and it started raining in no time.",,51,了,7
51,523,1,这两件事情完全了不相涉，不能混为一谈。,These two matters are completely unrelated and should not be confused.,,52,了,7
52,524,1,听了他的解释，我心里顿时了然，不再纠结。,"After hearing his explanation, I immediately understood and stopped worrying.",,52,了,7
53,613,1,他目前在职，工作非常忙碌。,He is currently employed and very busy with work.,,61,在,8
54,611,1,虽然他已经离开了，但他的精神永在我们心中。,"Although he has left, his spirit will always remain in our hearts.",,61,在,8
55,612,1,我今天晚上不在厂里，有事可以打电话找我。,I won't be at the factory tonight. You can call me if there's anything.,,61,在,8
56,615,1,事在人为，只要努力，总会有希望。,"It all depends on human effort; as long as you work hard, there will always be hope.",,61,在,8
57,618,1,风在刮，雨在下，这样的天气让人感到格外寒冷。,"The wind is blowing, and the rain is falling, making the weather feel especially cold.",,61,在,8
58,614,1,作为一名党员，他始终牢记自己在党旗下的誓言。,"As a party member, he always remembers his oath under the party flag.",,61,在,8
59,616,1,为了完成任务，即使困难重重，他也表示在所不辞。,"In order to complete the mission, he expressed that he would not hesitate despite the difficulties.",,61,在,8
60,617,1,这件事情发生在去年，至今让人记忆犹新。,This incident happened last year and is still fresh in people's memories.,,61,在,8
61,721,1,我有《鲁迅全集》，可以借给你阅读。,"I have a complete collection of Lu Xun's works, which I can lend you to read.",,72,有,9
62,722,1,屋里有十来个人，正在热烈地讨论着什么。,"There are about ten people in the room, discussing something enthusiastically.",,72,有,9
63,725,1,这位老师非常有学问，学生们都很敬佩他。,"This teacher is very knowledgeable, and the students all admire him.",,72,有,9
64,724,1,他有病了，所以今天没能来参加会议。,"He is sick, so he couldn't attend the meeting today.",,72,有,9
65,729,1,有夏这个季节总是让人感到炎热难耐。,The season of summer always makes people feel unbearably hot.,,72,有,9
66,728,1,有劳您帮忙处理一下这个问题。,"Sorry to trouble you, but could you help deal with this issue?",,72,有,9
67,727,1,"有人性子急,有人性子慢，这是很常见的性格差异。","Some people are impatient, while others are easygoing, which is a common difference in personalities.",,72,有,9
68,726,1,有一天他来了，带来了许多有趣的故事。,One day he came and brought many interesting stories.,,72,有,9
69,723,1,这条河的水有一丈多深，非常危险。,"The water in this river is more than ten feet deep, making it very dangerous.",,72,有,9
70,2000011,1,中国是一个拥有悠久历史和灿烂文化的国家。,China is a country with a long history and splendid culture.,,200039,中国,10
71,815,1,做人不能人云亦云，要有自己的独立思考。,One should not just follow the crowd; independent thinking is essential.,,81,人,11
72,812,1,这次活动要求人手一册，确保每个人都能参与其中。,This event requires one booklet per person to ensure everyone can participate.,,81,人,11
73,818,1,公司里人浮于事的现象导致效率低下。,The phenomenon of having too many employees for too little work in the company has led to low efficiency.,,81,人,11
74,816,1,他的行为让家人感到非常丢人。,His behavior made his family feel very embarrassed.,,81,人,11
75,817,1,这两天人不大舒服，可能是感冒了。,"I haven't been feeling well these past two days, maybe I caught a cold.",,81,人,11
76,813,1,经过多年的努力，他终于长大成人。,"After many years of effort, he finally grew into an adult.",,81,人,11
77,814,1,工人是社会建设的重要力量。,Workers are an important force in social construction.,,81,人,11
78,811,1,男人通常被认为应该更加坚强和果断。,Men are usually considered to be stronger and more decisive.,,81,人,11
79,912,1,他这才知道运动的好处，决定以后每天坚持锻炼。,Only now did he realize the benefits of exercise and decided to stick to daily workouts from then on.,,91,这,12
80,921,1,这孩子从小就特别聪明，学什么都很快。,This child has been very smart since childhood and learns everything quickly.,,92,这,12
81,911,1,这本杂志的内容非常丰富，涵盖了多个领域。,"This magazine has very rich content, covering multiple fields.",,91,这,12
82,560912,1,他们仿佛在谈论什么，但声音很小，听不清楚。,"They seem to be talking about something, but their voices are very low, so it’s hard to hear clearly.",,56091,什么,13
83,560916,1,什么晒一天？晒三天也晒不干。这天气实在太潮湿了。,What do you mean by drying it for one day? Even three days won’t dry it. The weather is just too humid.,,56091,什么,13
84,560915,1,你笑什么？（不应该笑）难道有什么好笑的事情吗？,Why are you laughing? (You shouldn’t laugh.) Is there something funny?,,56091,什么,13
85,560911,1,这是什么？看起来很奇怪。,What is this? It looks very strange.,,56091,什么,13
86,560917,1,什么送个信儿啊，跑个腿儿啊，他都干得了，真是个多面手。,"Whether it’s delivering a message or running errands, he can do it all. He’s truly versatile.",,56091,什么,13
87,560914,1,什么！九点了，车还没有开！这太让人着急了。,"What! It's already nine o'clock, and the car hasn't left yet! This is really worrying.",,56091,什么,13
88,560913,1,他什么也不怕，总是充满勇气。,He is not afraid of anything and always full of courage.,,56091,什么,13
89,1053,1,在民族音乐中，'上'这个音阶相当于简谱中的'1'。,"In traditional Chinese music, the note 'shàng' corresponds to '1' in numbered musical notation.",,102,上,14
90,1052,1,平上去入是古代汉语四声的基本分类。,"The four tones of ancient Chinese—level, rising, departing, and entering—are the basic classifications.",,102,上,14
91,1051,1,这次活动吸引了上百人参加，场面非常热闹。,"This event attracted hundreds of participants, making it very lively.",,102,上,14
92,1036,1,请把书的上卷拿给我，我要查阅其中的内容。,Please hand me the first volume of the book; I need to look up some content in it.,,102,上,14
93,1041,1,他决定上书给有关部门反映问题。,He decided to write a letter to the relevant department to report the issue.,,102,上,14
94,1011,1,在汉语的四声中，上声的调值是先降后升。,"Among the four tones in Chinese, the falling-rising tone's pitch contour first falls and then rises.",,101,上,14
95,1032,1,他在会上提出了一个重要的建议。,He proposed an important suggestion at the meeting.,,103,上,14
96,1033,1,组织上已经对这件事情做出了明确的安排。,The organization has made clear arrangements for this matter.,,103,上,14
97,1021,1,他们费了好大的劲才爬上山顶。,They had a hard time climbing to the top of the mountain.,,102,上,14
98,1022,1,出门前记得锁上门，以免发生意外。,Remember to lock the door before going out to avoid accidents.,,102,上,14
99,1031,1,她的脸上洋溢着幸福的笑容。,Her face was filled with a happy smile.,,103,上,14
100,1023,1,自从她爱上了农村，便决定在那里定居下来。,"Since she fell in love with the countryside, she decided to settle down there.",,102,上,14
101,1034,1,这本书的上部主要讲述了主人公的童年生活。,The first part of this book mainly tells about the protagonist's childhood life.,,102,上,14
102,1035,1,这是一份上等的茶叶，香气扑鼻。,"This is a superior grade of tea, with an aromatic fragrance.",,102,上,14
103,1038,1,公司要求所有员工必须按时上缴工作报告。,The company requires all employees to submit their work reports on time.,,102,上,14
104,1037,1,皇帝颁布了一道上谕。,The emperor issued an imperial edict.,,102,上,14
105,1040,1,今天天气很好，我打算上街买些水果。,"The weather is nice today, so I plan to go out and buy some fruit.",,102,上,14
106,1039,1,周末我们一起去上山采蘑菇。,"On the weekend, we went up the mountain together to pick mushrooms.",,102,上,14
107,1048,1,这件事已经上报给领导，等待进一步指示。,"This matter has been reported to the leadership, awaiting further instructions.",,102,上,14
108,1049,1,他每天都会在清晨练习上弦，以保持弓箭的状态。,He practices stringing his bow every morning to keep it in good condition.,,102,上,14
109,1050,1,明天我要早起上班，所以今晚得早点休息。,"I have to get up early for work tomorrow, so I need to rest earlier tonight.",,102,上,14
110,1047,1,孩子们正在用彩笔给画上颜色。,The children are coloring the picture with crayons.,,102,上,14
111,1044,1,服务员，请给我们上饭，我们都饿了。,"Waiter, please bring us the food; we are all hungry.",,102,上,14
112,1045,1,船员们正在为船只上水做准备。,The crew is preparing to supply water to the ship.,,102,上,14
113,1046,1,士兵们接到命令后迅速上刺刀，准备冲锋。,"After receiving the order, the soldiers quickly fixed bayonets and prepared to charge.",,102,上,14
114,1042,1,老张快上，投篮！这是一个关键的得分机会。,"Old Zhang, go ahead and shoot! This is a crucial scoring opportunity.",,102,上,14
115,1043,1,这一场戏，你应该从左边的旁门上，这样更符合剧情安排。,"In this scene, you should enter from the side door on the left, as it fits the plot arrangement better.",,102,上,14
116,1130,1,俺大叫我来看看你，有没有需要帮忙的地方。,My father asked me to come and see if you need any help.,,112,大,15
117,1127,1,请问尊姓大名？,May I ask your honorable name?,,112,大,15
118,1129,1,大先生是我们学校最受尊敬的老教授。,Professor Da (dà) is the most respected senior professor in our school.,,112,大,15
119,1128,1,大清早他就出门锻炼了。,He went out to exercise early in the morning.,,112,大,15
120,1125,1,他是家里的老大，承担了很多责任。,He is the eldest in the family and bears a lot of responsibility.,,112,大,15
121,1122,1,那间房子有这间两个大，显得格外宽敞。,"That room is twice as large as this one, making it feel exceptionally spacious.",,112,大,15
122,1131,1,三大是一个劳动英雄，大家都很敬佩他。,"San Da is a labor hero, and everyone admires him.",,112,大,15
123,1126,1,一家大小都围坐在餐桌旁吃饭。,"The whole family, young and old, are sitting around the dining table for a meal.",,112,大,15
124,1123,1,墙上挂着一幅大红的中国结。,A large red Chinese knot hangs on the wall.,,112,大,15
125,1124,1,他性格内向，不大爱说话。,He is introverted and doesn't talk much.,,112,大,15
126,1121,1,这栋房子大得惊人，足足有五百平方米。,"This house is astonishingly large, with a total area of five hundred square meters.",,112,大,15
127,1111,1,这位医生是一位经验丰富的大夫，擅长治疗各种疾病。,This doctor is an experienced physician (dàifu) who is skilled in treating various diseases.,,111,大,15
128,563411,1,他现在的情况怎么样？大家都很关心。,How is he doing now? Everyone is very concerned.,,56341,现在,16
129,1215,1,他做事总是胡来，让人很头疼。,"He always does things carelessly, which is very troublesome.",,121,来,17
130,1214,1,问题来了，我们该如何解决呢？,Here comes the problem—how should we solve it?,,121,来,17
131,1216,1,他们俩很谈得来，经常一起聊天。,They get along well and often chat together.,,121,来,17
132,1222,1,他从来不说谎，是个值得信赖的人。,He never tells lies—he is a trustworthy person.,,121,来,17
133,1226,1,正月里来是新春，家家户户都忙着准备过年。,"The first month of the lunar year marks the arrival of spring, and every household is busy preparing for the New Year.",,121,来,17
134,1223,1,这次出差大概需要十来天。,This business trip will probably take about ten days.,,121,来,17
135,1225,1,来教授是我们学校最受学生欢迎的老师之一。,Professor Lai is one of the most popular teachers among students in our school.,,121,来,17
136,1224,1,"他这次进城,一来是汇报工作,二来是修理机器,三来是采购图书。","He came to the city this time for three reasons: to report on his work, to repair a machine, and to purchase books.",,121,来,17
137,1220,1,这话我多会儿说来？我已经记不清了。,When did I say this? I can’t remember anymore.,,121,来,17
138,1217,1,你来念一遍这篇文章，看看有没有读错的地方。,You read this article aloud and see if there are any mistakes.,,121,来,17
139,1211,1,把锄头拿来，我要去田里干活了。,"Bring the hoe, I’m going to work in the field.",,121,来,17
140,1212,1,他信笔写来，一幅优美的书法作品就完成了。,"He wrote freely, and a beautiful calligraphy piece was completed.",,121,来,17
141,1213,1,明天我表哥要从上海来北京参加我的婚礼。,Tomorrow my cousin will come (lái) from Shanghai to Beijing to attend my wedding.,,121,来,17
142,1221,1,来年春天，我们计划种更多的花。,"Next spring, we plan to plant more flowers.",,121,来,17
143,1218,1,我们贺喜来了，祝你们新婚快乐！,We’ve come to congratulate you—wishing you a happy marriage!,,121,来,17
144,1219,1,他摘了一个荷叶来当雨伞，真是聪明。,He picked a lotus leaf to use as an umbrella—it’s so clever.,,121,来,17
145,1312,1,他写了一首诗，朋友奉和一首。,"He wrote a poem, and his friend responded with a harmonious one.",,131,和,18
146,1341,1,中医正在和药，为病人配制中药。,The traditional Chinese medicine doctor is mixing herbs to prepare medicine for the patient.,,134,和,18
147,1321,1,爷爷今天手气特别好，已经连和了三把麻将。,"Grandpa is particularly lucky today, having won three consecutive rounds of mahjong.",,132,和,18
148,1357,1,他和大家讲他过去的经历，大家都听得津津有味。,"He shared his past experiences with everyone, and they all listened with great interest.",,135,和,18
149,1359,1,这道数学题的和是25，你能算出两个加数吗？,"The sum of this math problem is 25, can you figure out the two addends?",,135,和,18
150,1360,1,这件衣裳已经洗了三和，还是没有洗干净。,"This piece of clothing has been washed three times, but it still isn't clean.",,135,和,18
151,1361,1,她穿着一件漂亮的和服，吸引了众人的目光。,"She was wearing a beautiful kimono, which attracted everyone's attention.",,135,和,18
152,1358,1,工人和农民都是国家的主人，他们的贡献不可忽视。,"Workers and farmers are both masters of the country, and their contributions cannot be overlooked.",,135,和,18
153,1331,1,她正在厨房和面，准备包饺子。,She is kneading dough in the kitchen to prepare for making dumplings.,,133,和,18
154,1311,1,这首曲子曲高和寡，能欣赏的人不多。,This piece of music is so sophisticated that few people can appreciate it.,,131,和,18
155,1355,1,和老师是我们班最受欢迎的老师之一。,Teacher He is one of the most popular teachers in our class.,,135,和,18
156,1356,1,他把事情的来龙去脉和盘托出，毫无隐瞒。,He disclosed the whole story without any concealment.,,135,和,18
157,1352,1,在困难时期，我们需要和衷共济，共同渡过难关。,"During difficult times, we need to pull together and overcome challenges collectively.",,135,和,18
158,1351,1,他的性格非常温和，大家都喜欢和他相处。,"His personality is very gentle, and everyone enjoys being around him.",,135,和,18
159,1353,1,两国经过谈判最终达成讲和协议。,"After negotiations, the two countries finally reached a peace agreement.",,135,和,18
160,1354,1,这场比赛双方实力相当，最终以和棋告终。,"Both sides were evenly matched in this game, and it ended in a draw.",,135,和,18
161,1411,1,我今天早上忘记带书包了，真是粗心。,"I forgot to bring my schoolbag this morning, how careless of me.",,141,我,19
162,1412,1,自我意识的觉醒让他更加清楚自己的目标。,The awakening of self-awareness made him more aware of his goals.,,141,我,19
163,1521,1,篮子里有三个苹果，看起来都很新鲜。,"There are three apples in the basket, and they all look fresh.",,152,个,20
164,1523,1,那些个花儿开得真漂亮，吸引了许多蜜蜂。,"Those flowers are blooming beautifully, attracting many bees.",,152,个,20
165,1522,1,这个问题的答案需要你独立思考。,The answer to this question requires your independent thinking.,,152,个,20
166,1524,1,明儿个咱们一起去公园玩吧！,Let's go to the park together tomorrow!,,152,个,20
167,1911,1,他是我们班上最勤奋的学生，每天总是第一个到教室。,"He is the most diligent student in our class, always the first to arrive in the classroom every day.",,191,他,21
168,1913,1,他已经早已他去，不知所踪。,"He has long since gone elsewhere, whereabouts unknown.",,191,他,21
169,1912,1,他打算睡他一觉，好好休息一下。,He plans to sleep it off and have a good rest.,,191,他,21
170,1914,1,他人的东西我们不能随便拿。,We can't take other people's things without permission.,,191,他,21
171,556212,1,今天的中国已经不是解放前的中国了，发生了翻天覆地的变化。,Today’s China is no longer the China before liberation; tremendous changes have taken place.,,55621,今天,22
172,556211,1,今天的事不要放到明天做，以免耽误进度。,"Don’t put off today’s tasks until tomorrow, so as not to delay progress.",,55621,今天,22
173,564213,1,这学生长得真俊，将来肯定是个帅小伙。,"This boy is really handsome, he will surely grow into a fine young man.",,56421,学生,24
174,564211,1,学校里的学生们正在操场上进行体育测试。,The students in the school are taking physical tests on the playground.,,56421,学生,24
175,564212,1,作为初入行的记者，我要虚心向各位前辈学生学习。,"As a novice reporter, I should modestly learn from all the senior journalists.",,56421,学生,24
176,564311,1,学习文化知识可以提升我们的素养。,Learning cultural knowledge can enhance our literacy.,,56431,学习,25
177,564312,1,我们应该学习他的为人，以他为榜样。,We should learn from his behavior and take him as a role model.,,56431,学习,25
178,2000004,1,现代人几乎每天都要打电话与家人朋友保持联系。,Modern people almost make phone calls every day to keep in touch with family and friends.,,200032,打电话,26
179,565512,1,他画得也并不怎么样（=并不好），还需要继续努力提高。,"His painting isn't that great (= not very good), and he still needs to work hard to improve.",,56551,怎么样,27
180,565511,1,他画得也并不怎么样（=并不好），还需要继续努力提高。,"His painting isn't that great (= not very good), and he still needs to work hard to improve.",,56551,怎么样,27
181,554011,1,对不起，让您久等了，我这边事情比较多。,Sorry to have kept you waiting; I've had a lot of things to deal with.,,55401,对不起,28
182,2000001,1,北京是中国的政治、文化中心，拥有悠久的历史。,Beijing is China's political and cultural center with a long history.,,200029,北京,29
183,2000003,1,在陌生的城市里，乘坐出租车是最方便的出行方式。,"In an unfamiliar city, taking a taxi is the most convenient way to get around.",,200031,出租车,30
184,558011,1,不小心打翻了水杯，他说没关系，自己擦干净就好。,"When I accidentally knocked over a glass of water, he said it didn't matter and just wiped it clean himself.",,55801,没关系,31
185,2000007,1,火车站人山人海，大家都在焦急地等待自己的列车。,The train station is crowded with people anxiously waiting for their trains.,,200035,火车站,32
186,2000002,1,当别人向你道谢时，你应该礼貌地说'不客气'。,"When someone thanks you, you should politely say 'You're welcome'.",,200030,不客气,33
187,3021,1,两支部队在山谷中会合。,The two troops met in the valley.,,302,会,34
188,3037,1,我会过了。,I have already passed.,,302,会,34
189,3011,1,他是公司的一名会计。,He is an accountant in the company.,,301,会,34
190,3028,1,每个人都向往美好的都会生活。,Everyone yearns for a good metropolitan life.,,302,会,34
191,3029,1,这是一个难得的机会。,This is a rare opportunity.,,302,会,34
192,3036,1,他不会不来，你放心吧。,"He won't not come, so don't worry.",,302,会,34
193,3033,1,她会英文，所以交流没有障碍。,"She knows English, so there was no barrier in communication.",,302,会,34
194,3032,1,我深刻体会到了这次经历的意义。,I deeply understood the significance of this experience.,,302,会,34
195,3024,1,工会为员工争取了更多福利。,The labor union has secured more benefits for the employees.,,302,会,34
196,3025,1,他赶会去了。,He went to attend the fair.,,302,会,34
197,3026,1,北京和上海都是国际化大都会。,Both Beijing and Shanghai are international metropolises.,,302,会,34
198,3027,1,这里是一个繁华的都会。,This is a bustling metropolis.,,302,会,34
199,3023,1,我们将在晚会上表演节目。,We will perform at the evening party.,,302,会,34
200,3022,1,他们计划在明天会面。,They plan to meet tomorrow.,,302,会,34
201,3035,1,他能说会道，总能把事情解释得很清楚。,He is eloquent and always explains things clearly.,,302,会,34
202,3034,1,我不会滑冰。,I don't know how to skate.,,302,会,34
203,3030,1,会有客来。,There will be visitors coming.,,302,会,34
204,3031,1,长风破浪会有时。,There will be a time when we ride the wind and break the waves.,,302,会,34
205,563012,1,喜喜欢欢过春节是中国人的传统。,Celebrating the Spring Festival happily is a Chinese tradition.,,56301,喜欢,35
206,563011,1,他喜欢文学，我喜欢数学。,"He likes literature, and I like mathematics.",,56301,喜欢,35
207,565411,1,这是怎么回事？我完全不明白发生了什么。,What is going on? I have no idea what happened.,,56541,怎么,36
208,565412,1,你愿意怎么办就怎么办，我不会干涉你的决定。,"You can do whatever you want, and I won't interfere with your decision.",,56541,怎么,36
209,565413,1,这出戏他刚学，还不怎么会唱（=不大会唱），需要多加练习。,"He just learned this opera and still doesn't know how to sing it well (= not very good at singing it), so he needs more practice.",,56541,怎么,36
210,3813,1,这位能人在村里备受尊敬。,This capable person is highly respected in the village.,,381,能,37
211,3814,1,蜜蜂能酿蜜，为人类提供了天然的甜味来源。,"Bees can make honey, providing humans with a natural source of sweetness.",,381,能,37
212,3811,1,掌握一门技能对未来发展非常重要。,Mastering a skill is very important for future development.,,381,能,37
213,3812,1,太阳能是一种清洁的可再生能源，对环境非常友好。,Solar energy is a clean and renewable energy source that is very environmentally friendly.,,381,能,37
214,564411,1,这所学校有着百年历史，培养了许多杰出人才。,This school has a hundred-year history and has nurtured many outstanding talents.,,56441,学校,38
215,4619,1,时下的年轻人更喜欢追求个性化的生活方式。,Young people nowadays prefer to pursue a personalized lifestyle.,,461,下,39
216,4620,1,经过协商，两下都同意了这个方案。,"After consultation, both parties agreed on this plan.",,461,下,39
217,4621,1,他们一起下山去寻找食物。,They went down the mountain together to look for food.,,461,下,39
218,4622,1,今天可能会下雨，记得带伞。,"It might rain today, so remember to bring an umbrella.",,461,下,39
219,4627,1,他喜欢在闲暇时下围棋。,He likes to play Go when he has free time.,,461,下,39
220,4624,1,他决定下乡去体验农村生活。,He decided to go to the countryside to experience rural life.,,461,下,39
221,4625,1,八一队的五号下，三号上，比赛继续进行。,"Number five of the Bayi team is substituted off, and number three comes on. The game continues.",,461,下,39
222,4626,1,春天到了，农民们开始下种准备新一年的耕作。,"Spring has arrived, and farmers have started sowing seeds in preparation for the new year's farming.",,461,下,39
223,4623,1,将军下命令让部队立即出发。,The general gave the order for the troops to set out immediately.,,461,下,39
224,4634,1,下班后，他总是喜欢去公园散步。,"After work, he always likes to take a walk in the park.",,461,下,39
225,4635,1,参加大会的不下三千人，场面十分壮观。,"There were no fewer than three thousand people attending the conference, making a spectacular scene.",,461,下,39
226,4633,1,在谈判中，双方都不愿意轻易地下这一步，导致僵局持续。,"During the negotiations, neither side was willing to easily concede this step, resulting in a prolonged stalemate.",,461,下,39
227,4632,1,连下数城的战绩让这支军队威名远扬。,The achievement of capturing several cities in succession made this army famous.,,461,下,39
228,4631,1,母猪下小猪的时候，农民伯伯会特别小心照顾。,"When the sow gives birth to piglets, the farmer will take special care.",,461,下,39
229,4617,1,上级下达了新的任务指示。,The higher authorities issued new task instructions.,,461,下,39
230,4618,1,这处房产登记在他的名下。,This property is registered under his name.,,461,下,39
231,4616,1,我们下次再见吧。,See you again next time.,,461,下,39
232,4630,1,完成这项任务需要下很大的力气。,It takes a lot of effort to complete this task.,,461,下,39
233,4628,1,她今天穿了一件非常漂亮的下装。,She wore a very beautiful bottom today.,,461,下,39
234,4615,1,这件商品属于下等品质。,This product belongs to the lower quality category.,,461,下,39
235,4611,1,请到这边坐下休息一下。,Please come over here and sit down for a rest.,,461,下,39
236,4612,1,这张桌子坐得下十个人。,This table can accommodate ten people.,,461,下,39
237,4614,1,下游的河水流速较缓。,The water flow in the downstream area is slower.,,461,下,39
238,4613,1,只有打下坚实的基础，才能取得更大的成就。,Only by laying a solid foundation can greater achievements be made.,,461,下,39
239,4629,1,在没有充分证据之前，我们不能轻易下结论。,We cannot jump to a conclusion without sufficient evidence.,,461,下,39
240,553722,1,这座城东西三里，南北五里，规模虽小但布局合理。,"This city is three li from east to west and five li from north to south; though small in scale, its layout is well-designed.",,55372,东西,40
241,553712,1,这个老东西已经用了几十年了，依然很好用。,This old thing has been used for decades and is still very functional.,,55371,东西,40
242,553721,1,这座城东西三里，南北五里，地理位置十分优越。,"This city is three li from east to west and five li from north to south, with a very advantageous geographical location.",,55372,东西,40
243,553711,1,他买东西去了，应该很快就会回来。,He went to buy something and should be back soon.,,55371,东西,40
244,560111,1,我认识他，我们是多年的朋友。,I know him; we have been friends for many years.,,56011,认识,41
