definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img,ref_pinyin_id,pos
1125,112,5,排行第一的,eldest,,,形容词
1126,112,6,年纪大的人,adult; grown-up,,,名词
1127,112,7,〈敬辞pol.〉称与对方有关的事物,[referring to things related to others] your,,,形容词
1128,112,8,"用在时令或节日前,表示强调",[used before time or festival for emphasis],,,形容词
1129,112,9,(Dà)姓。,a surname,,,名词
1130,112,10,父亲,father,,,名词
1131,112,11,伯父或叔父,father's brother; uncle,,,名词
1211,121,1,"用在动词后,表示动作朝着说话人所在的地方","[used after a verb, indicating motion towards the speaker] hither; here",,,动词
1212,121,2,"用在动词后,表示结果或估量",[used after a verb to indicate result or estimation],,,动词
1213,121,3,从别的地方到说话人所在的地方（与去相对）。,come; arrive,,,动词
1214,121,4,(问题、事情等)发生;来到,take place; occur,,,动词
1215,121,5,做某个动作(代替意义更具体的动词),[used in place of a more specific verb] do,,,动词
1216,121,6,"跟‘得’或‘不’连用,表示可能或不可能",[used with 得 de or 不 bù to indicate possibility or impossibility],,,动词
1217,121,7,"用在另一动词前面,表示要做某件事",[used before a verb to indicate an intention to do sth.],,,动词
1218,121,8,"用在另一动词或动词结构后面,表示来做某件事",[used after a verb or verbal phrase to indicate what one has come for],,,动词
1219,121,9,"用在动词结构(或介词结构)与动词(或动词结构)之间,表示前者是方法、方向或态度,后者是目的",[inserted between two verbs or verbal phrases or between a prepositional phrase and a verb or verbal phrase so that the former indicates the way of doing things and the latter the purpose],,,动词
1220,121,10,来着,[indicate what happened in the past],,,动词
1221,121,11,未来的,"future, next",,,形容词
1222,121,12,从过去到现在,up to the present,,,副词
1223,121,13,用在‘十、百、千’等数词或数量词后面表示概数,"[used after round numbers such as 十shí, 百bǎi and千 qiān to indicate approximation]",,,助词
1224,121,14,"用在‘一、二、三’等数词后面,列举理由","[used after numerals 一 yī, 二èr, 三sān, etc. to reel off reasons or points of argument]",,,助词
1225,121,15,(Lái)姓。,a surname,,,名词
1226,121,16,诗歌、熟语、叫卖声里用做衬字,[used as a syllable filler in folk ballads],,,助词
1311,131,1,和谐地跟着唱,join in singing,,,动词
1312,131,2,依照别人的诗词的题材和体裁做诗词,"compose a poem in reply, using the same theme and rhyme scheme",,,动词
1321,132,1,"打麻将或斗纸牌时某一家的牌合乎规定的要求,取得胜利。",win and complete a set in mah-jong,,,动词
1331,133,1,在粉状物中加液体搅拌或揉弄使有黏性,add liquid to powder and stir or knead to make viscous,,,动词
1341,134,1,"粉状或粒状物搀和在一起,或加水搅拌使成较稀的东西",mix; blend; mix powder or particles with water,,,动词
1351,135,1,平和;和缓,gentle; mild; placid,,,形容词
1352,135,2,和谐;和睦,harmonious; on good terms,,,形容词
1353,135,3,结束战争或争执,peace; end hostilities between those who have been at war or in a state of enmity,,,动词
1354,135,4,(下棋或赛球)不分胜负,(of sports) draw; tie,,,动词
1355,135,5,(Hé)姓。,a surname,,,名词
1356,135,6,连带,together with,,,动词
1357,135,7,〈介词prep.〉表示相关、比较等,"[used to indicate relationship, comparison, etc.]",,,介词
1358,135,8,〈连词conj.〉表示联合;跟;与,and,,,连词
1359,135,9,加法运算中，一个数加上另一个数所得的数，如6+4=10中，10是和。,"sum; the result of adding numbers, e.g. 6＋4=10, 10 being the sum;",,,名词
1360,135,10,〈量词classifier〉指洗东西换水的次数或一剂药煎的次数,number of rinses or decoctions,,,量词
1361,135,11,指日本,referring to Japan,,,名词
1411,141,1,称自己。,I or me,,,代词
1412,141,2,自己,self,,,代词
1521,152,1,〈量词classifier〉用于没有专用量词的名词(有些名词除了用专用量词之外也能用‘个’),[used before nouns without a special classifier of their own (some nouns can also use this instead of using their special classifier)],,,量词
1522,152,2,单独的,individual,,,形容词
1523,152,3,量词‘些’的后缀,[used as a suffix after classifier些xiē],,,量词
1524,152,4,"〈方dial.〉加在‘昨儿、今儿、明儿’等时间词后面,跟‘某日里’的意思相近。","[used after 昨儿zuór,今儿jīnr,明儿míngr, etc., similar in meaning to ‘on a certain day’]",,,助词
1611,161,1,跟四周的距离相等;中心,centre; middle,,,名词
1612,161,2,(Zhōng)指中国,China,,,名词
1613,161,3,范围内;内部,in; among; amid; amidst,,,名词
1614,161,4,位置在两端之间的,middle; mid,,,形容词
1615,161,5,等级在两端之间的,medium; intermediate,,,形容词
1616,161,6,不偏不倚,impartial; even-handed; neutral,,,形容词
1617,161,7,中人,go-between; mediator; middleman,,,名词
1618,161,8,适于;合于,suitable for; fit for; good for; equal to,,,动词
1619,161,9,〈方dial.〉成;行;好,all right; okay; OK; fine; good,,,形容词
1620,161,10,用在动词后表示持续状态(动词前有‘在’字),"[with 在 zài before the verb, used after a verb to indicate continuity] in the course of; in the process of",,,助词
1621,162,1,正对上;恰好合上,fit exactly; hit,,,动词
1622,162,2,受到;遭受,be affected by; be hit by; undergo; suffer,,,动词
1711,171,1,地球;地壳,earth; earth's crust,,,名词
1712,171,2,陆地,land,,,名词
1713,171,3,土地;田地,land; field,,,名词
1719,171,9,地点,location,,,名词
1720,171,10,地位,position,,,名词
1721,171,11,地步,situation,,,名词
1723,171,13,路程(用于里数、站数后),[used with distance or station] distance,,,名词
1724,172,1,〈助词aux.〉表示它前边的词或词组是状语,[used after an adjective or phrase to form an adverbial adjunct before the verb],,,助词
1811,181,1,帮助;卫护,help; defend; protect,,,动词
1812,181,2,〈介词prep.〉表示行为的对象;替,in the interest of; for,,,介词
1813,181,3,〈介词prep.〉表示目的,for the purpose of; for the sake of,,,介词
1814,181,4,对;向,to,,,介词
1815,181,5,因为,because,,,连词
1821,182,1,做;作为,do; act,,,动词
1822,182,2,充当,act as; serve as,,,动词
1823,182,3,变成;成,turn; become,,,动词
1824,182,4,是,be; mean,,,动词
1825,182,5,〈介词prep.〉被(跟‘所’字合用),[used with 所suǒ in passive voice],,,介词
1826,182,6,"〈助词aux.〉常跟‘何’相应,表示疑问",[oft. used with 何hé in a rhetorical question],,,助词
1827,182,7,"附于某些单音形容词后,构成表示程度、范围的副词",[used after a monosyllabic adjective to form an adverb to indicate degree or scope],,,助词
1828,182,8,"附于某些表示程度的单音副词后,加强语气",[used after a monosyllabic adverb for emphasis],,,助词
1911,191,1,称自己和对方以外的某个人。,[third person singular and male] he; him,,,代词
1912,191,2,虚指(用在动词和数量词之间),[serve as a form word between a verb and a quantifier],,,代词
1913,191,3,指别一方面或其他地方,something else; somewhere else,,,代词
1914,191,4,另外的;其他的,another; other,,,形容词
2011,201,1,生育,beget; give birth to; bear,,,动词
2012,201,2,生长,grow,,,动词
2013,201,3,生存;活(跟‘死’相对as opposed to‘death’}),existence; life; live,,,动词
2014,201,4,生计,life; livelihood,,,名词
2015,201,5,生命,life,,,名词
2016,201,6,生平,life; all one's life,,,名词
2017,201,7,具有生命力的;活的,living; alive,,,形容词
2018,201,8,产生;发生,cause; give rise to,,,动词
2019,201,9,使柴、煤等燃烧,burn coal or firewood,,,动词
2020,201,10,(Shēng)姓。,a surname,,,名词
2021,201,11,果实没有成熟（与熟相对）。,unripe; green,,,形容词
2022,201,12,(食物)没有煮过或煮得不够的,(of food) uncooked or undercooked; raw,,,形容词
2023,201,13,没有进一步加工或炼过的,unprocessed; unrefined; raw; crude,,,形容词
2024,201,14,生疏,unfamiliar,,,形容词
2025,201,15,生硬;勉强,stiff; mechanical; rigid; unnatural,,,形容词
2026,201,16,很(用在少数表示感情、感觉的词的前面),[used before a few words indicating feeling or perception] very; much,,,副词
2027,201,17,学习的人;学生,pupil; student,,,名词
2028,201,18,〈旧时old〉称读书人,intellectual; scholar,,,名词
2029,201,19,"戏曲角色行当,扮演男子,有老生、小生、武生等区别。","sheng, male role in traditional Chinese operas, including laosheng (role of an old or middle-aged man), xiaosheng (role of a young man), and wusheng (role of a warrior)",,,名词
2030,201,20,某些指人的名词后缀,[used as a suffix for certain nouns indicating occupations],,,名词
2031,201,21,"某些副词的后缀,如‘好生、怎生’等。","[used as a suffix for certain adverbs, such as 好生hǎoshēng and 怎生zěnshēng] so; what",,,助词
2111,211,1,求,demand; ask,,,动词
2112,211,2,强迫;威胁,force; coerce,,,动词
2114,211,4,(Yāo)姓。,a surname,,,名词
2121,212,1,重要,important; essential,,,形容词
2122,212,2,重要的内容,main points; essentials,,,名词
2123,212,3,希望得到;希望保持,want; wish to keep; desire,,,动词
2124,212,4,因为希望得到或收回而有所表示;索取,demand; claim,,,动词
2125,212,5,请求,ask for,,,动词
2126,212,6,表示做某件事的意志,want to; wish to,,,动词
2127,212,7,须要;应该,"must; should; it is necessary (or imperative, essential)",,,动词
2128,212,8,需要,need; take,,,动词
2129,212,9,将要,will; be going to,,,动词
2130,212,10,"表示估计,用于比较",[used in comparisons to indicate an estimate],,,动词
2131,212,11,如果,if; suppose; in case,,,连词
2132,212,12,要么,or; either ... or ...,,,连词
2211,221,1,"用在代词或指人的名词后面,表示复数",[used after a pronoun or a noun referring to a person to form a plural],,,助词
2311,231,1,用;拿,with; by means of,,,介词
2312,231,2,依;按照,according to,,,介词
2313,231,3,因,because of,,,介词
2314,231,4,表示目的,in order to; so as to,,,介词
2315,231,5,于;在(时间),at; on; in,,,介词
2316,231,6,〈连词conj.〉跟‘而’相同,same as 而ér,,,连词
2317,231,7,"用在单纯的方位词前,组成合成的方位词或方位结构,表示时间、方位、数量的界限","[used before certain nouns of locality to form compound nouns of locality to indicate the limits of time, position and quantity]",,,介词
2411,241,1,达于某一点;到达;达到,get to a place; arrive; reach,,,动词
2412,241,2,往,go to; leave for,,,动词
2413,241,3,"用做动词的补语,表示动作有结果",[as the complement of a verb indicating the result of an action],,,动词
2414,241,4,周到,considerate; thoughtful; thorough,,,形容词
2415,241,5,(Dào)姓。,a surname,,,名词
2511,251,1,国家,country; state; nation,,,名词
2512,251,2,代表或象征国家的,of the state; national; standing for or symbolic of a country,,,形容词
2513,251,3,在一国内最好的,among the best within a country,,,名词
2514,251,4,"指本国的,特指中国的","of one's own country, esp. Chinese",,,名词
2515,251,5,(Guó)姓。,a surname,,,名词
2611,261,1,指比较长的一段时间,time; times; days,,,名词
2612,261,2,规定的时候,fixed time,,,名词
2613,261,3,季节,season,,,名词
2614,261,4,当前;现在,present; current,,,名词
2615,261,5,时俗;时尚,fashion,,,名词
2616,261,6,计时的单位。,time unit,,,名词
2617,261,7,时机,chance; opportunity; opportune moment,,,名词
2618,261,8,时常,occasionally; now and then; from time to time,,,副词
2619,261,9,"叠用,跟‘时而…时而…’相同;有时候",[used in pairs] same as ‘now ... now ...’ or ‘sometimes ... sometimes’,,,副词
2620,261,10,"一种语法范畴, 表示动词所指动作在什么时候发生。很多语言的动词分现在时、过去时和将来时,有些语言分得更细。","(gram.) tense; grammatical category indicating the time of the action expressed by the verb; verbs in many languages are divided into the present, past or future tenses, while in others, there are even more tenses",,,名词
2621,261,11,(Shí)姓。,a surname,,,名词
2711,271,1,凑近;靠近,come near; move towards,,,动词
2712,271,2,到;开始从事,undertake; engage in; enter upon,,,动词
2713,271,3,被;受,suffer; be subjected to,,,动词
2714,271,4,完成;确定,accomplish; make,,,动词
2715,271,5,趁着(当前的便利),take advantage of; accommodate oneself to,,,副词
2716,271,6,"一边儿是菜蔬、果品等,一边儿是主食或酒,两者搭着吃或喝","(dishes, fruit, etc.) be eaten (or drunk) with (staple food or wine); go with",,,动词
2717,271,7,〈介词prep.〉表示动作的对象或范围,with regard to; concerning; on,,,介词
2718,271,8,表示在很短的时间以内,at once; right away,,,副词
2719,271,9,表示事情发生得早或结束得早,as early as; already,,,副词
2720,271,10,表示前后事情紧接着,as soon as; right after,,,副词
2721,271,11,表示在某种条件或情况下自然怎么样(前面常用‘只要、要是、既然’等或者含有这类意思,"oft. preceded by conjunctions like 只要 zhǐyào, 要是 yào shi,既然 jìrán, etc.",,,副词
2722,271,12,"表示对比起来数目大,次数多,能力强等",as much as; as many as,,,副词
2723,271,13,"放在两个相同的成分之间,表示容忍",[used between two identical elements to express resignation],,,副词
2724,271,14,表示原来或早已是这样,to begin with; as is expected,,,副词
2725,271,15,仅仅;只,only; merely; just,,,副词
2726,271,16,表示坚决,(indicating determination) just; simply,,,副词
2727,271,17,表示事实正是如此,exactly; precisely,,,副词
2728,271,18,"〈连词conj.〉表示假设的让步,跟‘就是’相同","[indicating a supposition, same as 就是2jiùshì]",,,连词
2811,281,1,从里面到外面(跟‘进’、‘入’相对as opposed to‘enter’}),proceed from inside to outside,,,动词
2812,281,2,来到,be at (an event),,,动词
2813,281,3,超出,exceed,,,动词
2814,281,4,往外拿,give,,,动词
2815,281,5,出产;产生;发生,produce; give rise to; happen,,,动词
2816,281,6,出版,publish,,,动词
2817,281,7,发出;发泄,emit; give vent to,,,动词
2818,281,8,引文、典故等见于某处,(of a quotation or allusion) quoted from,,,动词
2819,281,9,显露,become conspicuous,,,动词
2820,281,10,显得量多,appear in big quantity,,,动词
2821,281,11,支出,spend,,,动词
2822,281,12,"〈方dial.〉跟‘往’连用,表示向外",[used after 往wǎng to mean ‘outward’],,,动词
2823,281,13,一本传奇中的一个大段落叫一出。戏曲的一个独立剧目也叫一出,classifier for a chapter of a classical novel; classifier for an opera or play,,,量词
2824,281,14,用在动词后表示向外、显露或完成,"[used after a verb to indicate an outward movement, a conspicuous state or sth. accomplished]",,,助词
2911,291,1,用话来表达意思,speak; say; express oneself by words,,,动词
2912,291,2,解释,explain,,,动词
2913,291,3,言论;主张,doctrine; theory,,,名词
2914,291,4,责备;批评,scold,,,动词
2915,291,5,指说合;介绍,act as a matchmaker,,,动词
2916,291,6,意思上指,refer to; indicate,,,动词
2921,292,1,用话劝说使人听从自己的意见,try to persuade others to accept one's own view,,,动词
3011,301,1,总计,sum; total,,,名词
3021,302,1,聚合;合在一起,gather; congregate; assemble,,,动词
3022,302,2,见面;会见,meet; see,,,动词
3023,302,3,有一定目的的集会,rally; assemblage; assembly; congregation; gathering with a specific purpose,,,名词
3024,302,4,某些团体,association; society; organization,,,名词
3025,302,5,庙会,temple fair,,,名词
3026,302,6,"民间朝山进香或酬神求年成时所组织的集体活动,如香会、迎神赛会等。","popular gathering at a temple to worship Buddha or pray for a bumper harvest, e.g. gathering of worshippers, festival to pacify the spirits",,,名词
3027,302,7,"民间一种小规模经济互助组织,入会成员按期平均交款,分期轮流使用。","small credit association, where members regularly contribute an equal amount to a common fund and draw from it by turns",,,名词
3028,302,8,主要的城市,main city,,,名词
3029,302,9,时机,chance; opportunity,,,名词
3030,302,10,恰巧;正好,happen; coincide with; it happens ...,,,副词
3031,302,11,应当,ought to; should,,,动词
3032,302,12,理解;懂得,understand; grasp,,,动词
3033,302,13,熟习;通晓,familiar with; acquainted with,,,动词
3034,302,14,表示懂得怎样做或有能力做(多半指需要学习的事情),able to; can; know how to do sth. or be able to do sth. (esp. sth. learned),,,动词
3035,302,15,表示擅长,good at; excel at; skilled in,,,动词
3036,302,16,表示有可能实现,likely to; sure to,,,动词
3037,302,17,付账,pay a bill,,,动词
3111,311,1,表示判断或解释的语气,[used at the end of a sentence to indicate an explanation or a judgement],,,助词
3112,311,2,表示疑问或反诘的语气,[used at the end of a question or counter-question],,,助词
3113,311,3,表示句中的停顿,[used in the middle of a sentence to mark off a stop],,,助词
3114,311,4,表示同样,also; too; either,,,副词
3115,311,5,"叠用,强调两事并列或对待",[reduplicated to show two parallel or opposite things] as well as,,,副词
3116,311,6,"叠用,表示无论这样或那样;不以某种情形为条件",(reduplicated) whether ... or ...; no matter whether,,,副词
3117,311,7,表示转折或让步(常跟上文的‘虽然、即使’等呼应,"oft. used correlatively with 虽然suīrán, 即使jíshǐ, etc.",,,副词
3118,311,8,表示委婉,[used in a hesitant or guarded statement],,,副词
3119,311,9,表示强调(常跟上文的‘连’字呼应,used correlatively with 连lián,,,副词
3211,321,1,名词后缀。,[used after a noun as a suffix],,,助词
3212,321,2,某些量词后缀,[used after a classifier as a suffix],,,助词
3221,322,1,"指儿女, 现在专指儿子",child; son and daughter; now referring to son,,,名词
3222,322,2,人的通称,general term for human beings,,,名词
3223,322,3,"特指有学问的男人,是男人的美称",ancient term of respect for a learned man; laudatory term for a man,,,名词
3224,322,4,指你,you,,,代词
3225,322,5,图书四部分类法(经史子集)中的第三类,"‘philosophy’, third of the four traditional categories of ancient Chinese writings (as distinct from ‘Confucian Classics’ 经, ‘history’ 史, and ‘belles-letters’ 集)",,,名词
3227,322,7,卵,egg,,,名词
3228,322,8,幼小的;小的;嫩的,young; small; tender,,,形容词
3229,322,9,〈比喻fig.〉派生的、附属的,subsidiary,,,形容词
3233,322,13,(Zǐ)姓。,a surname,,,名词
3234,322,14,封建五等爵位的第四等,viscount; fourth rank of the five feudal titles of the nobility,,,名词
3235,322,15,地支的第一位。,"zi, first of the 12 Earthly Branches",,,名词
3311,331,1,学习,learn; study,,,动词
3312,331,2,模仿,emulate; imitate; mimic,,,动词
3313,331,3,学问,learning; knowledge; scholarship,,,名词
3314,331,4,指学科,subject of study; branch of learning,,,名词
3315,331,5,学校,school,,,名词
3411,341,1,送出;交付,deliver; dispatch; send out; hand over; turn over,,,动词
3412,341,2,发射,launch; project; discharge; fire,,,动词
3413,341,3,产生;发生,produce; engender; happen; occur; take place,,,动词
3414,341,4,表达,express; convey; voice,,,动词
3415,341,5,扩大;开展,enlarge; expand; extend; broaden; develop; launch; promote; carry out,,,动词
3416,341,6,因得到大量财物而兴旺,flourish through obtaining a great deal of wealth,,,动词
3417,341,7,食物因发酵或水浸而膨胀,(of foodstuffs) rise or expand when leavened or soaked,,,动词
3418,341,8,放散;散开,"(of smoke, scent, etc.) diffuse; disperse",,,动词
3419,341,9,揭露;打开,expose; unmask; unveil; open; unfold; bring to light; lay bare,,,动词
3420,341,10,因变化而显现、散发,become; turn,,,动词
3421,341,11,流露(感情),reveal (one's feelings),,,动词
3422,341,12,感到(多指不愉快的情况,oft. an unpleasant condition,,,动词
3423,341,13,起程,set out; start a journey,,,动词
3424,341,14,开始行动,start doing sth.,,,动词
3425,341,15,引起;启发,generate; arouse; stimulate; inspire; enlighten; set off; touch off; bring about,,,动词
3426,341,16,"〈量词classifier〉颗,用于枪弹、炮弹",[of bullets and shells] round,,,量词
3427,342,1,头发,hair,,,名词
3511,351,1,接触;挨上,touch; contact,,,动词
3512,351,2,感受;受到,feel; suffer,,,动词
3513,351,3,"燃烧,也指灯发光(跟‘灭’相对as opposed to‘extinguished’})",burn; be ignited; be lit,,,动词
3514,351,4,"用在动词后,表示已经达到目的或有了结果",[used after a verb to indicate having reached the goal or got the result],,,助词
3515,351,5,〈方dial.〉入睡,fall asleep,,,动词
3521,352,1,表示动作的持续,[indicating the continuation of an action] be doing,,,助词
