definition_id,hanzi,pinyin,pos,definition_cn,example_1,example_2,DS,QW,review
67514,脑,nǎo,名词,从物体中提取出的精华部分。,这种药的主要成分是樟脑。,这种药材的脑部提取物具有很高的药用价值。,1,2,1
68611,征,zhēng,动词,军队长途行军,人生的征途充满了挑战和机遇。,古代将士们常常要长途跋涉去远征。,1,2,2
69315,武,wǔ,名词,半步；泛指脚步,他决定踵武前贤，继承家族的传统事业。,他武步稳健地走上台阶，显得十分从容。,1,2,2
69513,游,yóu,动词,与人交往,游牧民族的生活方式独具特色。,他交友广泛，与各界人士都有游。,1,2,0
69611,敌,dí,形容词,相互对立的,战士们成功击退了敌人。,两国因为领土问题成为敌对国家。,2,1,2
69613,敌,dí,动词,抵抗,这支部队所向无敌，战无不胜。,这支军队装备精良，足以敌任何来犯之敌。,1,2,0
70111,异,yì,形容词,不相同,大家异口同声地表示支持这个计划，认为它非常有意义。,这两幅画虽然风格迥异，但都很有艺术价值。,1,2,1
72011,戏,xì,动词,玩耍；游戏,这件事绝非儿戏，必须认真对待。,孩子们在操场上快乐地嬉戏玩耍。,2,1,2
72712,置,zhì,动词,设立或布置,这个装置设计得非常巧妙。,公司在市中心置办了一间宽敞的办公室。,2,1,2
73512,著,zhù,动词,明显地表现出来。,这是一位著名的科学家。,他的才华在这次比赛中充分显现出来。,1,2,0
73611,亚,yà,形容词,质量或等级较低的。,他的技术不亚于你。,这个产品的质量亚于市场上的同类产品。,1,2,1
76612,药,yào,名词,具有特定化学作用的物质,火药的发明极大地改变了战争的方式。,这种农药可以有效防治农作物病虫害。,1,2,2
79311,介,jiè,动词,在两者当中,他向大家介绍了一种全新的学习方法，效果显著。,这座桥介于两座城市之间，成为重要的交通枢纽。,1,2,2
88912,杀,shā,动词,进行战斗,士兵们奋勇杀出重围，成功完成了任务。,两军在战场上厮杀了一整天，伤亡惨重。,1,2,2
92317,烧,shāo,动词,肥料过量导致植物损伤,有两个钱就烧得不知怎么好了！真是让人哭笑不得。,施肥过多反而烧坏了这些娇嫩的玫瑰花。,1,2,2
112515,倾,qīng,动词,竭尽全力,她耐心地倾听对方的诉说。,为了完成这个项目，他已经倾尽全力工作了三个月。,2,1,2
123712,徒,tú,形容词,空的,他徒手攀上了那座陡峭的岩壁。,没有证据的指控只是徒托空言，毫无意义。,1,2,1
129212,姓,xìng,动词,以...为姓,你姓什么？是“李”还是“王”？,这位教授姓李，是我们学校最受尊敬的学者之一。,2,1,2
129631,炮,pào,名词,重型射击武器,春节时大家都会放鞭炮。,战场上，炮兵部队用重型火炮对敌方阵地进行猛烈轰击。,2,1,2
131922,奔,bèn,介词,〈介词prep.〉朝;向,大家不约而同地奔这边看，想看看发生了什么。,汽车奔着火车站的方向疾驰而去。,2,1,2
132512,逃,táo,动词,故意避开困难或责任,由于饥荒，许多人不得不背井离乡逃荒求生。,他为了逃避债务，连夜搬离了居住多年的公寓。,2,1,2
132611,洪,hóng,形容词,形容规模或程度大。,洪水来势汹汹，村民们紧急撤离到安全地带。,黄河以洪大的水势奔腾而下，气势磅礴令人震撼。,2,1,1
135915,漫,màn,副词,表示禁止的副词,这条漫道通向远方的山峰。,漫道前方无险阻，我们仍需谨慎行事。,1,2,0
147913,刊,kān,动词,删除；修改,编辑在刊误表中列出了所有的错误。,编辑对这篇文章进行了仔细的刊误和修改。,2,1,2
152811,黎,lí,形容词,众多。,政府采取了一系列措施来改善黎民的生活条件。,黎明时分，黎民百姓已经开始了一天的劳作。,1,2,1
156717,裁,cái,动词,控制、制止,她亲手裁制了一件精美的礼服。,听到这个坏消息，他努力裁制自己的情绪，不让眼泪流下来。,2,1,0
157911,昆,kūn,名词,兄长。,昆仲二人都是才华横溢的艺术家，备受世人敬仰。,昆仲二人共同经营着这家百年老店。,2,1,1
162113,拨,bō,动词,改变方向,他拨头便往回走，似乎想起了什么重要的事情。,听到有人喊他，他立刻拨转马头往回走。,2,1,2
163011,慌,huang,形容词,表示难以忍受的状态,他的伤口疼得慌，连走路都困难。,这间屋子热得慌，我们得赶紧开空调。,2,1,2
163411,屈,qū,动词,使弯曲,屈指可数的人才真正了解这个领域。,竹子韧性极好，可以弯曲到很大角度而不会折断。,1,2,1
170011,涌,chōng,名词,方言指河汊，多用于地名,雨季来临，河涌的水位迅速上涨。,这条小河涌的水流平缓，两岸长满了芦苇。,2,1,1
170221,汤,shāng,形容词,水流浩荡的样子。,河水汤在阳光下泛着粼粼波光，显得格外美丽。,长江之水汤汤，奔流不息向东而去。,2,1,2
171112,袖,xiù,动词,将物品藏于衣袖中,他袖着手站在寒风中。,他袖着双手站在门口，一副悠闲自在的样子。,2,1,2
171312,娃,wá,名词,方言中指某些幼小的动物,鸡娃教育让许多家长感到焦虑。,池塘里游着一群可爱的小鱼娃，吸引了许多孩子围观。,2,1,2
175011,晋,jìn,动词,进入；前进,晋见。,学习如逆水行舟，不进则退。,1,2,0
179916,逆,nì,动词,提前；预先,他凭借经验成功逆料了市场的变化趋势。,他逆料到了可能出现的困难，提前做好了充分的准备。,2,1,2
180511,株,zhū,名词,树木露出地面的部分，包括根和茎,守株待兔的故事告诉我们不能坐等机会，要主动争取。,这棵大树的株根裸露在地面上，显得非常粗壮。,1,2,1
180911,厌,yàn,动词,感到满足。,贪得无厌的人最终往往会失去一切。,他贪得无厌，总是想要得到更多的东西。,1,2,1
197511,仲,zhòng,形容词,位置或地位居中,仲裁委员会对这起纠纷作出了公正的裁决。,这座桥位于城市的仲心位置，交通十分便利。,1,2,1
199412,漏,lòu,形容词,"物体有孔或缝,东西能滴下、透出或掉出",厨房里有一把专门用来捞面的漏勺。,这个水桶底部有个小洞，水会慢慢漏出来。,1,2,1
201712,渴,kě,副词,非常迫切地,他对知识的渴望从未停止过。,他渴求知识，每天都要阅读大量书籍。,1,2,1
201913,囊,náng,动词,将物品装入袋中,这次比赛，我们队囊括了所有的奖项。,农民们将丰收的粮食囊入麻袋，准备出售。,1,2,1
205412,匹,pǐ,形容词,没有同伴,匹夫无罪，怀璧其罪，这句话很有道理。,他喜欢独自匹行在乡间小路上，享受宁静的时光。,2,1,1
212612,勉,miǎn,动词,鼓励他人,他时常自勉，希望变得更好。,老师经常勉励我们要志存高远，脚踏实地。,2,1,2
219824,艾,ài,动词,停止,这场运动方兴未艾，正在吸引越来越多的人参与。,这场争论持续了很久，直到双方都艾口才停止。,1,2,1
219825,艾,ài,形容词,美好或漂亮,她是一位少艾，拥有年轻漂亮的外貌和无限的活力。,她穿着一身艾色的旗袍，显得格外优雅动人。,1,2,0
226212,滨,bīn,动词,靠近水域,滨海地区的风景非常美丽。,许多豪华酒店都喜欢滨水而建，以吸引游客。,2,1,2
231223,杠,gàng,名词,机床上的棍状零件。,丝杠是一种用于机械传动的零件，常用于将旋转运动转化为直线运动。,这台机器的杠需要定期润滑保养。,1,2,1
231911,谨,jǐn,形容词,小心谨慎,她为人勤谨，每天总是第一个到公司。,处理机密文件时，我们必须谨言慎行。,2,1,2
233911,蔽,bì,动词,遮挡或覆盖,茂密的树林为小动物提供了掩蔽。,茂密的树叶蔽住了阳光，树下显得格外凉爽。,2,1,2
236414,聊,liáo,动词,依靠或依赖,生活无趣，百无聊赖。,百姓聊赖天时，期盼风调雨顺的好年景。,1,2,1
236511,侨,qiáo,动词,在国外居住,这位侨民在国外生活多年，依然怀念故乡。,他早年侨居海外，如今回国创办了自己的企业。,2,1,2
236714,惟,wéi,名词,思想,思惟是解决问题的重要方式。,他的心中惟有一个念头：一定要完成这个任务。,1,2,0
236811,谅,liàng,动词,宽恕过错,双方通过沟通达成了谅解。,请你谅我这次的无心之失，下次我一定注意。,2,1,2
238912,渊,yuān,形容词,形容程度深,这口渊泉清澈见底，是村民的重要水源。,这位学者学识渊博，在学术界享有盛誉。,2,1,2
245411,膊,bó,名词,手臂,他赤膊上阵，显得干劲十足。,他举起强壮的胳膊，轻松地搬起了那个沉重的箱子。,2,1,1
247112,缸,gāng,名词,制作陶器的原料,这座建筑使用了精美的缸砖装饰。,这个花瓶是用上等缸瓦烧制而成的。,2,1,2
247411,鼎,dǐng,名词,古代三足两耳的烹煮器具,定鼎天下是历代帝王的梦想。,博物馆里陈列着商周时期的青铜鼎，工艺十分精湛。,2,1,2
247412,鼎,dǐng,名词,比喻帝位或政权,新王朝的建立标志着定鼎的成功。,在古代，鼎象征着王权和国家的稳定。,2,1,1
247914,衔,xián,动词,相互连接,两段内容需要很好地衔接，才能让文章更加流畅。,这座桥衔接着城市的东西两个区域。,1,2,1
249514,聘,pìn,动词,女子出嫁,她即将出聘，家人正在为她筹备婚礼。,她出嫁时，父母为她准备了丰厚的聘礼。,1,2,1
254014,柄,bǐng,动词,掌控,他凭借出色的才能逐渐掌握了柄国大权。,这位将军柄国多年，政绩斐然。,2,1,2
261113,塌,tā,动词,情绪稳定，镇定,他终于塌下心来，开始认真思考问题。,尽管情况紧急，他依然保持塌实的心态。,1,2,1
278512,暮,mù,形容词,时间接近结束,暮春时节，百花争艳，景色宜人。,暮年之际，他回首往事，心中充满感慨。,2,1,2
290711,宛,wǎn,形容词,道路或线条弯曲不直,她说话的声音宛转，让人感到十分亲切。,这条宛转的小路通向山顶，沿途风景如画。,2,1,2
302011,紊,wěn,形容词,形容事物杂乱无章的状态。,他处理事情总是有条不紊。,最近公司管理有些紊乱，需要尽快整顿。,1,2,1
310012,冥,míng,形容词,深奥,他在深夜里冥思苦想，试图找到问题的答案。,这本书探讨了许多深奥的哲学问题，需要仔细研读。,1,2,1
310112,徘,pái,动词,犹豫不决,他在人生的十字路口徘歧路，不知该何去何从。,面对这个艰难的选择，他犹豫不决，始终无法下定决心。,1,2,0
314212,磅,páng,形容词,气势充满,他的气势磅礴，宇内无人能敌。,这部史诗般的电影场面磅薄，令人叹为观止。,1,2,1
318112,酝,yùn,名词,酒类统称,这瓶佳酝是他珍藏多年的美酒。,这酝陈年老酒散发着浓郁的香气。,2,1,1
328112,寝,qǐn,名词,卧室,他每天按时入寝，保证充足的睡眠。,这间寝室的窗户正对着花园，视野非常开阔。,2,1,2
333811,沐,mù,动词,洗头发；泛指洗涤。,每天早晨，她都会沐浴在阳光中开始新的一天。,古代官员每月都要休沐三日，以示对仪容的重视。,2,1,1
340811,殉,xùn,动词,为死者陪葬,在那场战争中，无数英雄因殉难而被铭记。,古代有些帝王死后会让妃嫔殉葬，这种习俗非常残忍。,2,1,2
343612,彝,yí,名词,法度；常规,这些规矩显得过于彝准。,作为官员，他始终遵守为政之彝，廉洁奉公。,2,1,2
345812,褪,tùn,动词,藏在袖子里,他紧张得褪着手，不知道该说些什么。,老人习惯将双手褪在袖子里取暖。,2,1,1
352511,垛,duǒ,名词,城墙上的垛口（duǒzi），用于防御。,城墙垛口排列整齐，显示出古代工匠的智慧。,城墙上的垛口设计精巧，既能防御又能观察敌情。,2,1,2
352811,栩,xǔ,形容词,形容生动逼真的样子,这幅画栩如生地展现了大自然的美丽风光。,画家笔下的鸟儿栩栩如生，仿佛随时会飞走。,2,1,2
354411,抿,mǐn,动词,用刷子蘸水或油梳理头发,她抿了抿头发，显得更加干练。,她每天早上都要用梳子抿一抿头发，让发型更加整齐。,2,1,1
354711,矗,chù,形容词,直立;高耸,一座高塔矗立在山巅之上。,那座古老的佛塔矗立在城市的中心，见证了数百年的历史变迁。,2,1,2
355011,瀚,hàn,形容词,广阔无垠,宇宙的浩瀚让人感到自身的渺小。,站在沙漠中，放眼望去是无边无垠的瀚海，让人感到渺小。,2,1,1
355111,芋,yù,名词,多年生草本植物，块茎可食用，富含淀粉。,洋芋是西北地区常见的食材。,芋头的营养价值很高，可以用来制作各种美味的菜肴。,2,1,1
355112,芋,yù,名词,这种植物的块茎。,她最喜欢吃的就是洋芋。,妈妈从市场买回来几个新鲜的芋，准备晚上煮芋头汤。,2,1,2
357711,恬,tián,形容词,安静；宁静,田园生活让她感到恬适。,清晨的湖边十分恬静，只有鸟儿偶尔的鸣叫声。,2,1,2
358514,蹭,cèng,动词,缓慢移动,孩子做作业时总是磨蹭，让家长很着急。,他慢吞吞地蹭到门口，似乎很不情愿出门。,2,1,2
364712,夭,yāo,形容词,形容植物生长茂盛,花园里盛开着夭桃秾李，春意盎然。,春雨过后，园中草木夭夭，一派生机勃勃的景象。,2,1,2
366211,踊,yǒng,动词,向上跳跃,听到这个好消息，大家都踊跃报名参加活动。,听到胜利的消息，人们欢呼雀跃，纷纷踊跃庆祝。,1,2,1
367612,羁,jī,动词,约束,他被过去的记忆所形成的羁绊束缚住了前行的脚步。,他厌倦了城市的喧嚣，渴望摆脱世俗的羁绊。,2,1,2
367811,攒,cuán,动词,聚集拼凑,为了实现自己的梦想，他一直在努力攒钱。,孩子们攒在一起，七嘴八舌地讨论着周末的计划。,2,1,2
379921,擞,sòu,动词,用通条清理炉灰,他用力擞火，让火焰燃烧得更加旺盛。,奶奶用火钳擞了擞炉子，让火烧得更旺些。,2,1,2
393412,痘,dòu,名词,用于预防天花的疫苗,在那个年代，种痘是一项重要的医疗措施。,医生正在为儿童接种痘苗以预防天花。,2,1,1
393711,镖,biāo,名词,旧式投掷武器，形似矛头。,他熟练地投掷飞镖，正中靶心。,武侠小说中，飞镖是一种常见的暗器。,2,1,2
401211,圭,guī,名词,古代帝王诸侯使用的上尖下方玉器,这些原则成为了行业的圭臬。,在古代祭祀仪式上，帝王手持玉圭，向天地行礼。,2,1,2
406711,爨,cuàn,动词,生火做饭。,兄弟俩成年后决定分爨生活，各自独立。,在古代，人们需要自己动手爨火做饭，生活十分不易。,2,1,1
407612,涟,lián,形容词,形容泪水不断流淌的样子,泪水涟洏而下，她无法掩饰内心的悲伤。,听到噩耗，她顿时泪流涟涟，无法自已。,2,1,1
408712,濡,rú,动词,滞留,由于手续濡滞，他的签证申请迟迟未能通过。,由于交通堵塞，我们的车在高速公路上濡滞不前。,2,1,2
408822,蹴,cù,动词,用脚踩踏,一蹴而就。,她轻轻蹴着秋千，享受着午后的悠闲时光。,2,1,2
416312,亵,xiè,形容词,内容淫秽,他因猥亵行为被警方逮捕。,这本书因为内容亵秽而被禁止出版。,1,2,,1
430922,偻,lǚ,副词,立即,这个问题太难了，我不能偻指(不能立刻指出来)。,听到警报声，战士们偻装待发，准备投入战斗。,1,2,1
431111,呶,náo,动词,喧闹叫喊,市场里人声鼎沸，喧呶不已。,集市上小贩们呶呶不休地叫卖着各种商品。,2,1,1
458011,忒,tè,名词,差错。,这个计划差忒远了，根本无法实现。,他的计划毫无忒漏，每一步都经过精心设计。,2,1,2
460311,颔,hàn,名词,面部下端的突出部分,他对这个提议表示赞同，轻轻颔首。,他轻轻颔首，表示对对方的意见表示赞同。,2,1,1
460811,猥,wěi,形容词,数量多且杂乱,这个地方过于猥杂，不适合居住。,这片森林植被猥杂，各种树木交错生长。,2,1,2
473911,忾,kài,形容词,愤恨；仇恨,同仇敌忾的精神让团队更加团结。,战士们同仇敌忾，誓死保卫家园。,2,1,2
475411,唁,yàn,动词,对遭遇丧事的表示慰问,亲友前来慰唁，以表哀思。,得知好友的父亲去世，他专程前去唁慰，表达哀悼之情。,2,1,1
484312,衽,rèn,名词,用于睡眠的席子,衽席虽小，却蕴含着深厚的文化底蕴。,古人睡觉时通常使用衽席铺在床榻上。,2,1,1
487821,骠,piào,形容词,马快速奔跑,这位将军以骠勇著称，敌人闻风丧胆。,那匹骏马骠勇无比，在草原上飞奔如风。,2,1,2
489813,钤,qián,名词,锁。,这些规定旨在钤束官员的行为。,古籍记载，这把青铜钤是汉代宫廷的珍贵文物。,2,1,2
517211,哓,xiāo,动词,形容争辩时的嘈杂声,他哓不休地抱怨了一整天，让人感到十分疲惫。,会议室里哓哓不休的争论声持续了整个上午。,1,2,2
521811,杲,gǎo,形容词,光线充足,杲日当空，大地被晒得滚烫。,清晨的阳光杲杲，照亮了整个山谷。,2,1,1
522111,酩,mǐng,形容词,形容大醉,酩大醉后，他完全不记得自己说了什么。,昨晚他喝得酩酊大醉，今天早上还头疼。,2,1,1
542411,薅,hāo,动词,用手拔除杂草,农民正在田间进行薅苗（间苗）的工作。,农民们正在田里薅杂草，以免影响庄稼的生长。,2,1,1
563012,喜欢,xǐ huan,形容词,对人或事物有好感或感兴趣,喜喜欢欢过春节是中国人的传统。,看到孩子们玩得这么开心，她脸上露出了喜欢的笑容。,1,2,0
563315,先生,xiān sheng,名词,旧时对会计人员的称呼,在商号当先生需要具备一定的文化水平。,旧时商号的账目都由专门的先生负责管理。,2,1,1
564113,星期,xīng qī,名词,星期日的简称,星期休息是我们放松身心的好机会。,这个星期天我们全家准备去郊外野餐。,2,1,1
573012,妹妹,mèi mei,名词,同族同辈中年纪比自己小的女子,叔伯妹妹从小就很懂事，大家都很喜欢她。,家族聚会时，我的堂妹总是喜欢跟在我后面玩耍。,2,1,1
575412,所以,suǒ yǐ,名词,固定词组中指代特定内容,他因为成功而忘其所以，最终导致了失败。,他这样做定有所以，我们不必过多猜测。,2,1,1
583512,参加,cān jiā,动词,参与某项活动或加入某个组织,"这件事儿,请你也参加点儿意见。",在会议上，他积极参加了关于新产品设计的讨论。,2,1,2
618412,动作,dòng zuò,动词,开始行动,弹钢琴要十个指头都动作协调，才能演奏出优美的旋律。,我们必须加快动作，否则会错过最后一班车。,1,2,1
628112,激动,jī dòng,动词,引发强烈情绪,这是一场激动人心的比赛，观众们屏息凝神。,教练的讲话极大地激动了队员们的斗志。,1,2,1
630613,交通,jiāo tōng,名词,抗日战争和解放战争时期的通信联络工作,这种行为被认为是交通权贵的表现。,在战争年代，交通员冒着生命危险传递重要情报。,2,1,2
630614,交通,jiāo tōng,名词,负责通信联络的人员,历史上，交通权贵往往导致腐败问题。,这位老交通为革命事业做出了不可磨灭的贡献。,2,1,2
631612,尽管,jǐn guǎn,副词,方言副词：总是,有病早些治，尽管耽搁着也不好。,这孩子尽管调皮，但心地十分善良。,2,1,1
631712,进行,jìn xíng,名词,向前推进,这是一首激昂的进行曲。,游行队伍高举旗帜，沿着主干道缓缓进行。,2,1,1
640111,判断,pàn duàn,名词,思维的基本形式，指肯定或否定事物存在或属性的过程,你判断得很正确，事情果然如此。,根据现有证据，法官做出了公正的判断。,2,1,1
650311,态度,tài du,名词,人的举止神情,她的态度大方得体，让人感到很舒服。,面试时，她的态度非常自然大方，给考官留下了好印象。,2,1,2
650312,态度,tài du,名词,对事情的看法和行动,他对工作的态度非常认真。,公司对待环保问题的态度非常积极，制定了许多绿色政策。,2,1,1
660611,友好,yǒu hǎo,名词,亲密的朋友,他生前友好，深受周围人的喜爱和尊敬。,他们从小就是好朋友，彼此之间非常友好。,2,1,0
670712,背景,bèi jǐng,名词,画面中衬托主体的景物,只有了解历史背景，才能更好地把握当前局势。,这幅画的背景是一片宁静的湖泊和远山。,1,2,2
675411,参考,cān kǎo,动词,查阅资料以获取信息或帮助,这本参考书对我的学习帮助很大。,在撰写论文时，他参考了大量国内外相关文献。,2,1,2
683912,从事,cóng shì,动词,按照某种方法处理事务,军法从事，绝不姑息任何违法乱纪的行为。,警方正在谨慎从事，避免打草惊蛇让犯罪嫌疑人逃脱。,2,1,1
685811,待遇,dài yù,名词,对人的态度或方式,这家酒店提供周到的待遇，让客人感到宾至如归。,这家公司对待员工非常人性化，大家都感到温暖。,2,1,1
686311,单位,dān wèi,名词,用于计量的标准量名称。,这个项目由直属单位负责实施。,在国际单位制中，长度的基本单位是米。,2,1,2
