definition_id,hanzi,pinyin,pos,definition_cn,example_1,example_2,better
1043,上,shàng,动词,登台表演或出场,这一场戏，你应该从左边的旁门上，这样更符合剧情安排。,这位演员在舞台上上演了一出精彩的戏剧。,2
1044,上,shàng,动词,将饭菜等摆放到桌上,服务员，请给我们上饭，我们都饿了。,服务员很快就把我们点的菜上齐了。,2
1045,上,shàng,动词,补充或增加,船员们正在为船只上水做准备。,我们需要给汽车上点油，否则发动机会出问题。,2
1046,上,shàng,动词,安装或固定物品,士兵们接到命令后迅速上刺刀，准备冲锋。,他花了整整一个上午才把书架上的螺丝上紧。,2
1047,上,shàng,动词,涂;搽,孩子们正在用彩笔给画上颜色。,她每天早上都会在脸上上一点淡妆。,2
1048,上,shàng,动词,登载,这件事已经上报给领导，等待进一步指示。,今天的报纸上刊登了一则重要新闻。,2
1049,上,shàng,动词,旋紧或拧紧,他每天都会在清晨练习上弦，以保持弓箭的状态。,他用力把瓶盖拧上，防止饮料洒出来。,2
1050,上,shàng,动词,开始工作或学习,明天我要早起上班，所以今晚得早点休息。,学生们每天早上八点准时上课。,2
1051,上,shàng,动词,达到（一定数量或程度）,这次活动吸引了上百人参加，场面非常热闹。,这次考试的分数已经上了90分，我感到非常满意。,2
1052,上,shàng,名词,汉语四声中的第三声,平上去入是古代汉语四声的基本分类。,在汉语的四声中，上声的调值是先降后升。,2
1121,大,dà,形容词,体积、规模等超过一般标准,这栋房子大得惊人，足足有五百平方米。,这个箱子太大了，我一个人根本搬不动。,2
1122,大,dà,名词,物体的大小程度,那间房子有这间两个大，显得格外宽敞。,这两件衣服的大小差不多，你可以随便选一件。,2
1123,大,dà,形容词,程度深,墙上挂着一幅大红的中国结。,听到这个消息，大家都大吃一惊。,2
1124,大,dà,副词,用于“不”后表示程度轻,他性格内向，不大爱说话。,这道菜不太辣，你可以放心吃。,1
1125,大,dà,形容词,排行第一的,他是家里的老大，承担了很多责任。,他是家里的老大，从小就特别照顾弟弟妹妹。,2
1126,大,dà,名词,成年人,一家大小都围坐在餐桌旁吃饭。,尊老爱幼是中华民族的传统美德，我们要尊敬老人。,1
1127,大,dà,形容词,敬辞，指对方相关事物,请问尊姓大名？,请问您贵姓大名？这是我的名片。,1
1128,大,dà,形容词,用于强调时令或节日,大清早他就出门锻炼了。,大年初一，家家户户都贴上了新的春联。,2
1130,大,dà,名词,父亲,俺大叫我来看看你，有没有需要帮忙的地方。,小时候，我最喜欢坐在大的肩膀上摘树上的果子。,1
1131,大,dà,名词,伯父或叔父,三大是一个劳动英雄，大家都很敬佩他。,我的大伯伯是个非常和蔼可亲的长辈。,1
1211,来,lái,动词,用于动词后，表示动作朝向说话人所在的方向,把锄头拿来，我要去田里干活了。,妈妈在厨房喊道：'快把盐给我拿来！',1
1212,来,lái,动词,用于动词后，表示动作的结果或估计,他信笔写来，一幅优美的书法作品就完成了。,这道数学题我算来算去还是没找到正确答案。,1
1213,来,lái,动词,从别处移动至说话人所在位置（与“去”相对）,这条街人来人往，非常热闹。,明天我表哥要从上海来北京参加我的婚礼。,2
1214,来,lái,动词,（问题、事件等）出现；发生,问题来了，我们该如何解决呢？,春天来了，公园里的花儿都竞相开放。,2
1215,来,lái,动词,代替具体动词，表示进行某个动作,他做事总是胡来，让人很头疼。,别光站着，快来帮忙搬一下这些箱子。,1
1216,来,lái,动词,与“得”或“不”连用，表示可能性,他们俩很谈得来，经常一起聊天。,这道数学题太难了，我实在做不来。,1
1217,来,lái,动词,用于动词前，表示将要做某事,你来念一遍这篇文章，看看有没有读错的地方。,我来帮你拿行李吧，看起来挺重的。,2
1218,来,lái,动词,用于动词后，表示来做某事的目的,我们贺喜来了，祝你们新婚快乐！,周末我们打算去郊外野餐，你要不要一起来？,1
1219,来,lái,动词,连接两个动词结构，前者表示方式，后者表示目的,他摘了一个荷叶来当雨伞，真是聪明。,他用实际行动来表达对家人的爱。,1
1220,来,lái,动词,用于句末，表示过去发生的事情,这话我多会儿说来？我已经记不清了。,你刚才说什么来着？我没听清楚。,2
1221,来,lái,形容词,即将到来的；下一个的,来年春天，我们计划种更多的花。,未来的科技发展将会给人类带来更多便利。,1
1222,来,lái,副词,从过去延续到现在,他从来不说谎，是个值得信赖的人。,改革开放以来，中国发生了翻天覆地的变化。,2
1223,来,lái,助词,用于数字后表示大概数量,这次出差大概需要十来天。,这个箱子大概有二十来斤，我一个人搬不动。,2
1224,来,lái,助词,用于列举原因或论点,"他这次进城,一来是汇报工作,二来是修理机器,三来是采购图书。",一来天气太热，二来时间紧张，我们决定取消这次郊游。,2
1226,来,lái,助词,用作民歌、俗语中的衬字,正月里来是新春，家家户户都忙着准备过年。,正月里来是新春，家家户户挂红灯。,2
1311,和,hè,动词,和谐地跟着唱,这首曲子曲高和寡，能欣赏的人不多。,在合唱比赛中，同学们和着节拍唱得非常整齐。,2
1312,和,hè,动词,依照他人诗词的题材和体裁创作,他写了一首诗，朋友奉和一首。,诗人即兴和了一首七言绝句，赢得满堂喝彩。,2
1331,和,huó,动词,将粉末与液体混合揉捏,她正在厨房和面，准备包饺子。,妈妈正在厨房里和面，准备包饺子给我们吃。,2
1341,和,huò,动词,混合粉末或加水稀释,中医正在和药，为病人配制中药。,护士把药粉和水调和成糊状，方便病人服用。,2
1351,和,hé,形容词,温和不激烈,他的性格非常温和，大家都喜欢和他相处。,这位老中医说话总是和声细语，让人感觉很舒服。,1
1352,和,hé,形容词,相处融洽,在困难时期，我们需要和衷共济，共同渡过难关。,我们班级的同学相处得非常和谐，就像一个大家庭。,2
1353,和,hé,动词,结束战争或争执,两国经过谈判最终达成讲和协议。,经过多方调解，两国终于达成和议，结束了长达十年的冲突。,2
1354,和,hé,动词,比赛不分胜负,这场比赛双方实力相当，最终以和棋告终。,这场围棋比赛持续了六个小时，最终双方握手言和。,1
1356,和,hé,动词,连带,他把事情的来龙去脉和盘托出，毫无隐瞒。,他把衣服和鞋子都扔进了洗衣机。,1
1357,和,hé,介词,表示关联或比较,他和大家讲他过去的经历，大家都听得津津有味。,我和他相比，还是他更擅长数学。,1
1358,和,hé,连词,表示并列关系,工人和农民都是国家的主人，他们的贡献不可忽视。,苹果和香蕉都是我喜欢吃的水果。,2
1360,和,hé,量词,洗涤或煎药的次数,这件衣裳已经洗了三和，还是没有洗干净。,这件衣服洗了三和了，颜色还是有点褪。,1
1361,和,hé,名词,日本的简称,她穿着一件漂亮的和服，吸引了众人的目光。,和服是日本传统的民族服饰，非常美丽。,2
1412,我,wǒ,代词,指代自身。,自我意识的觉醒让他更加清楚自己的目标。,我要严格要求自己，争取更大的进步。,2
1521,个,gè,量词,量词，用于没有专用量词的名词（部分名词也可用此量词替代专用量词）,篮子里有三个苹果，看起来都很新鲜。,桌子上放着一个苹果和两个橙子。,2
1522,个,gè,形容词,单独的,他是一个很有个性的人，从不随波逐流。,这个问题的答案需要你独立思考。,1
1523,个,gè,量词,量词“些”的后缀,那些个花儿开得真漂亮，吸引了许多蜜蜂。,这些个问题都很简单，我一会儿就能做完。,1
1611,中,zhōng,名词,中心位置，与四周等距,中央电视台每天都会播放许多精彩的节目。,广场中央有一个巨大的喷泉，非常壮观。,2
1612,中,zhōng,名词,中国的简称,中文是世界上使用人数最多的语言之一。,中餐在世界各地都很受欢迎，尤其是火锅。,1
1613,中,zhōng,名词,在某个范围或内部,家中有一个温馨的客厅，全家人经常在那里聚会。,这本书中记载了许多有趣的历史故事。,2
1614,中,zhōng,形容词,两端之间的位置,他不小心伤到了自己的中指，现在还有些疼痛。,我们计划在中午十二点准时出发去郊游。,2
1615,中,zhōng,形容词,等级在两端之间的,中农在农村改革中发挥了重要作用。,这次考试我得了中等的成绩，还需要努力。,1
1616,中,zhōng,形容词,不偏不倚的,孔子提倡中庸之道，认为这是处理问题的最佳方式。,他的观点中立，不偏向任何一方，很客观。,1
1617,中,zhōng,名词,中间人，调解者,他正在作中，试图完成那幅画。,这笔交易多亏了中人调解，才顺利完成。,2
1618,中,zhōng,动词,适合，符合,这个工具非常中用，能解决很多实际问题。,这件衣服的颜色很中我的意，非常适合我的肤色。,1
1619,中,zhōng,形容词,成;行;好,中不中？如果不行的话，我们再想其他办法。,这个方案我看中，各方面都考虑得很周全。,2
1620,中,zhōng,助词,动词后助词，表示持续状态,列车在运行中，乘客们都在安静地休息。,他在睡梦中翻了个身，嘴里还在嘟囔着什么。,2
1621,中,zhòng,动词,正对上;恰好合上,经过投票，他成功中选为学生会主席。,他随手一扔，飞镖正中靶心，赢得一片喝彩。,2
1622,中,zhòng,动词,遭受，受到,由于误食了有毒的食物，他不幸中毒了。,他在雨里站了太久，结果中了风寒，发起了高烧。,1
1711,地,dì,名词,地球或其外壳,天地之间充满了无尽的奥秘，等待人们去探索。,科学家们正在研究地壳运动的规律，以预测地震的发生。,2
1712,地,dì,名词,与海洋相对的陆地,地面湿滑，请大家小心行走以免摔倒。,经过漫长的海上航行，他们终于看到了陆地，激动不已。,2
1713,地,dì,名词,可耕种或使用的土地,荒地上长满了杂草，显得格外荒凉。,农民伯伯在田地里辛勤劳作，期盼着秋天的丰收。,2
1719,地,dì,名词,具体的位置或场所,我们的目的地是北京。,这个旅游景点是当地最著名的地标，吸引了无数游客。,2
1720,地,dì,名词,社会或团体中的层级位置,易地以处，或许会有不同的感受。,他在公司里的地位很高，大家都非常尊重他的意见。,2
1721,地,dì,名词,境况或程度,置之死地而后生，这是兵法中的重要策略。,事情已经发展到这个地步，我们只能尽力弥补了。,2
1723,地,dì,名词,用于表示距离的量词,从这里到市中心大约有二十里地。,从这里到火车站还有二十里地，我们得抓紧时间出发。,2
1811,为,wèi,动词,帮助或保护,为吕氏者右袒，为刘氏者左袒。,他为朋友两肋插刀，这种义气令人敬佩。,2
1812,为,wèi,介词,替某人做某事,我为你庆幸，你终于摆脱了困境。,老师为学生批改作业到深夜，非常辛苦。,2
1813,为,wèi,介词,表示目的,为大家的健康干杯。,为了考上理想的大学，他每天都学习到很晚。,2
1814,为,wèi,介词,对某人或某事,不足为外人道。,他为人正直，从不对别人阿谀奉承。,2
1815,为,wèi,连词,表示原因,为何他会做出这样的决定？,他为这次失误感到非常懊悔，整夜都没睡好。,2
1821,为,wéi,动词,做某事,事在人为，境由心造。,作为一名医生，救死扶伤是他的天职。,2
1822,为,wéi,动词,担任某种角色,选他为代表。,他被选为班长，要负责管理班级的日常事务。,2
1823,为,wéi,动词,变成某种状态,一分为二地看待问题有助于找到解决办法。,经过多年的努力，他终于成为了一名优秀的医生。,2
1824,为,wéi,动词,表示等同,十寸为一尺。,这位老先生为当地最有名的书法家，深受人们尊敬。,2
1825,为,wéi,介词,被（用于被动语态）,这种艺术形式为广大人民所喜闻乐见。,这项新技术为广大群众所接受，很快普及开来。,2
1826,为,wéi,助词,用于疑问句,何以家为（要家干什么）？,"古人云：""何以解忧？唯有杜康""，为何现代人却很少饮酒消愁？",2
1827,为,wéi,助词,构成程度副词,听到这个消息，他大为高兴。,这个方案极为可行，我们应当立即实施。,2
1828,为,wéi,助词,加强语气,这个问题极为重要。,他颇为得意地展示了自己新买的跑车。,2
1912,他,tā,代词,用于动词和数量词之间,他打算睡他一觉，好好休息一下。,妈妈在厨房里忙来忙去，炒他几个菜招待客人。,2
1913,他,tā,代词,指其他方面或地方,他已经早已他去，不知所踪。,既然这边没有合适的职位，你不妨到他处看看机会。,2
1914,他,tā,形容词,其他的或另外的,他人的东西我们不能随便拿。,这个方案不行，我们必须想他法来解决这个问题。,2
2011,生,shēng,动词,生育后代。,大多数哺乳动物都是胎生的。,这对夫妇结婚三年后终于生下了一个健康的宝宝。,2
2012,生,shēng,动词,生长或发育。,这棵树已经在这里生根多年了。,在充足的阳光和水分下，这些幼苗生长得十分茁壮。,2
2013,生,shēng,动词,生存或活着（与死相对）。,医生们竭尽全力，希望病人能够起死回生。,在地震废墟中被埋72小时后，这名男子奇迹般地生还了。,2
2014,生,shēng,名词,维持生活的途径或方式。,为了谋生，他不得不四处奔波。,许多农民依靠种植茶叶为生，这是他们的主要经济来源。,2
2015,生,shēng,名词,生命的存在。,在这场事故中，有三人不幸丧生。,消防员不顾个人安危冲进火场，挽救了多条宝贵的生命。,2
2016,生,shēng,名词,一生的经历或事迹。,他们发誓要一生一世在一起。,这本传记详细记载了这位科学家的生平事迹和重大贡献。,2
2017,生,shēng,形容词,具有生命力的或活的。,生物多样性是地球的重要特征之一。,实验室里养着许多生猛的实验动物，用于医学研究。,2
2018,生,shēng,动词,产生或发生。,昨天开始，他就一直在生病。,这场误会是由于沟通不畅而产生的，我们应该好好解释清楚。,2
2019,生,shēng,动词,点燃柴或煤等燃料。,冬天的时候，我们需要生火取暖。,奶奶熟练地生起了炉火，准备为我们做一顿丰盛的晚餐。,2
2021,生,shēng,形容词,果实未成熟（与熟相对）。,这些生柿子还需要放一段时间才能吃。,这苹果太生了，吃起来又酸又涩。,2
2022,生,shēng,形容词,食物未煮熟或煮得不够。,这碗夹生饭让人难以下咽。,日本人喜欢吃生鱼片，认为这样更鲜美。,2
2023,生,shēng,形容词,未经加工或提炼的。,这种药材需要使用生石膏来制作。,这些生药材需要经过炮制才能入药。,2
2024,生,shēng,形容词,不熟悉或不熟练。,他是一个生人，大家对他还不太熟悉。,我刚搬来这个城市，对周围的环境还很生。,2
2025,生,shēng,形容词,生硬或不自然。,他生拉硬拽地把朋友拖到了聚会现场。,他的态度很生硬，让人感觉很不舒服。,2
2026,生,shēng,副词,用于少数表示感情或感觉的词前，表示程度高。,生怕错过最后一班车，他跑得飞快。,这孩子生怕黑，晚上睡觉一定要开灯。,2
2027,生,shēng,名词,学习者或学生。,师生之间的关系应该建立在互相尊重的基础上。,作为一名医学生，他每天都要学习大量的知识。,2
2028,生,shēng,名词,旧时对读书人的称呼。,他是一个书生，满腹经纶却不懂人情世故。,在古代，书生们十年寒窗只为金榜题名。,2
2029,生,shēng,名词,戏曲中的男性角色，分为老生、小生、武生等。,这位医生非常专业，大家都很信任他。,京剧中的老生角色通常扮演正直的中老年男性。,2
2030,生,shēng,名词,用于某些表示职业的名词后缀,医生的责任是救死扶伤。,这个小医生虽然年轻，但看病很认真。,2
2111,要,yāo,动词,请求,老师对学生提出了明确的要求。,他再三要我去参加他的生日聚会。,2
2112,要,yāo,动词,强迫,他用要挟的方式试图让对方妥协。,绑匪要挟说如果不给钱就伤害人质。,2
2121,要,yào,形容词,重要的,这是文章的主要内容。,这次会议的内容非常重要，请大家务必参加。,2
2122,要,yào,名词,要点,这份文件是会议的纲要。,这份文件记录了谈判的要项，需要仔细阅读。,2
2123,要,yào,动词,希望得到;希望保持,他要一个口琴作为生日礼物。,我想要那本限量版的签名书籍很久了。,2
2124,要,yào,动词,索取,他今天去要账，希望能收回欠款。,借出去的钱已经到期了，该去要回来了。,2
2125,要,yào,动词,请求,她要我替她写信给远方的朋友。,她害羞地要我再给她一次表现的机会。,2
2126,要,yào,动词,意愿,他要学游泳，以便在夏天可以和朋友一起去河边玩。,我下定决心要在这个月完成所有工作。,1
2127,要,yào,动词,必须,路很滑，大家要小心！以免摔倒受伤。,你明天要准时参加会议，不能迟到。,2
2128,要,yào,动词,需要,我做件上衣要多少布？请帮我估算一下。,完成这个项目需要更多的时间和资源。,1
2129,要,yào,动词,将要,我们要参加劳动竞赛了，大家都非常兴奋。,明天我们要去参观博物馆，记得带上相机。,2
2130,要,yào,动词,用于比较,夏天屋子里太热，树阴底下要凉快得多，所以我们都喜欢待在那里。,这次考试的成绩要比上次好得多。,1
2131,要,yào,连词,如果,明天要下雨，我就不去了，改天再约吧。,要下雨的话，我们就改在室内活动。,2
2132,要,yào,连词,或者,要就去打球，要就去溜冰，别再犹豫了，时间不等人。,你要么现在完成作业，要么明天早起补做。,2
2211,们,men,助词,用于代词或指人名词后表示复数,我们一起去公园散步。,孩子们在公园里玩得很开心，笑声不断。,2
2311,以,yǐ,介词,使用...手段,这场战役以少胜多，成为军事史上的经典案例。,他以实际行动证明了自己的承诺。,2
2312,以,yǐ,介词,根据...标准,请大家按照座位表以次就座。,我们以公平的原则来处理这个问题。,2
