hanzi,definition_cn,definition_id,example_sn,example_cn,example_en,example_img
中文,汉语言文字,665211,1,中文是世界上使用人数最多的语言之一。,Chinese is one of the most widely spoken languages in the world.,
掩护,通过牵制敌人保障己方安全,995911,1,为了帮助朋友逃脱，他主动打掩护。,"To help his friend escape, he volunteered to provide cover.",
掩护,暗中保护使其不暴露,995912,1,为了帮助朋友逃脱，他主动打掩护。,"To help his friend escape, he volunteered to provide cover.",
实验,为验证科学理论或假设而进行的操作或活动,752011,1,为了验证这个假设，我们需要做实验。,"To verify this hypothesis, we need to conduct experiments.",
实验,实验性质的工作,752012,1,为了验证这个假设，我们需要做实验。,"To verify this hypothesis, we need to conduct experiments.",
塌实,工作或学习态度认真，不浮躁,2013411,1,事情办完就塌实了。,"Once the matter is settled, everything will be fine.",
塌实,情绪安定，没有焦虑,2013412,1,事情办完就塌实了。,"Once the matter is settled, everything will be fine.",
曝光,使感光材料感光,801311,1,事情在报上曝光后，引起了轰动。,"After the matter was exposed in the newspaper, it caused a sensation.",
曝光,隐秘之事被公开,801312,1,事情在报上曝光后，引起了轰动。,"After the matter was exposed in the newspaper, it caused a sensation.",
律,古代乐音标准,40412,1,五律是一种古典诗歌形式，讲究严格的韵律和格式。,Five-character regulated verse is a form of classical poetry that emphasizes strict rhythm and format.,
律,旧诗体裁,40413,1,五律是一种古典诗歌形式，讲究严格的韵律和格式。,Five-character regulated verse is a form of classical poetry that emphasizes strict rhythm and format.,
亚,世界第一大洲的名称。,73614,1,亚洲是世界上面积最大、人口最多的大洲。,Asia is the largest and most populous continent in the world.,
亚洲,世界上面积最大的洲。,2000056,1,亚洲是世界上面积最大、人口最多的大洲。,Asia is the world's largest and most populous continent.,
动力,使机械运转的各种作用力，如电力、水力、风力等。,838911,1,人民是创造世界历史的动力。,The people are the driving force behind world history.,
动力,比喻推动事物发展的力量。,838912,1,人民是创造世界历史的动力。,The people are the driving force behind world history.,
平,环境或心境宁静和谐。,17715,1,今天的海面风平浪静，非常适合出海。,"The sea is calm today, very suitable for going out to sea.",
浪,水面上起伏的波纹,104611,1,今天的海面风平浪静，非常适合出海。,"Today's sea is calm and peaceful, making it perfect for going out to sea.",
噎,因迎风导致呼吸困难,389912,1,他一句话就把人家给噎回去了，让对方无言以对。,"With just one sentence, he left the other person speechless.",
噎,方言，指说话顶撞使人无法继续,389913,1,他一句话就把人家给噎回去了，让对方无言以对。,"With just one sentence, he left the other person speechless.",
交,人与人之间的情谊。,33516,1,他们因为意见不合而绝交。,They broke off their friendship due to disagreements.,
绝,切断联系,65911,1,他们因为意见不合而绝交。,They broke off their friendship due to disagreements.,
余,某事之后的时间,69115,1,他利用业余时间学习编程，提升了自己的技能。,He used his spare time to study programming and improved his skills.,
业余,工作之外的时间,776311,1,他利用业余时间学习编程，提升了自己的技能。,He used his spare time to study programming and improved his skills.,
析,分解研究事物,75812,1,他对这个问题进行了深入的剖析。,He conducted an in-depth analysis of this issue.,
剖,分辨;分析,207512,1,他对这个问题进行了深入的剖析。,He conducted an in-depth analysis of this issue.,
抑制,神经活动的抑制过程,1002311,1,他抑制不住内心的喜悦，脸上洋溢着幸福的笑容。,"He couldn't contain his inner joy, and his face was filled with a happy smile.",
抑制,控制或压制,1002312,1,他抑制不住内心的喜悦，脸上洋溢着幸福的笑容。,"He couldn't contain his inner joy, and his face was filled with a happy smile.",
撮,将分散的事物聚集在一起,319721,1,他撮了一簸箕土，准备用来填坑。,"He scooped a dustpan of soil, preparing to use it to fill the hole.",
撮,用工具将散落物收集,319722,1,他撮了一簸箕土，准备用来填坑。,"He scooped a dustpan of soil, preparing to use it to fill the hole.",
内涵,概念的本质属性总和,920311,1,他是个内涵很深厚的青年。,He is a young man with profound inner depth.,
内涵,个人内在修养,920312,1,他是个内涵很深厚的青年。,He is a young man with profound inner depth.,
弟弟,同父母的年幼男性,568311,1,他是我的叔伯弟弟，我们从小一起长大。,"He is my cousin (younger brother from an uncle/aunt), and we grew up together.",
弟弟,同辈中年纪较小的男性,568312,1,他是我的叔伯弟弟，我们从小一起长大。,"He is my cousin (younger brother from an uncle/aunt), and we grew up together.",
理论,系统化的知识体系,725811,1,他正在气头上，我不想和他多理论，以免引发更大的冲突。,"He is very angry right now, and I don't want to argue with him to avoid causing a bigger conflict.",
理论,辩论说理,725812,1,他正在气头上，我不想和他多理论，以免引发更大的冲突。,"He is very angry right now, and I don't want to argue with him to avoid causing a bigger conflict.",
精力,身体与心理的活力,719111,1,他每天都精力充沛地投入到工作中。,He throws himself into work every day with abundant energy.,
充沛,充足而旺盛,822911,1,他每天都精力充沛地投入到工作中。,He throws himself into work every day with abundant energy.,
怎么样,询问状况或方式,565511,1,他画得也并不怎么样（=并不好），还需要继续努力提高。,"His painting isn't that great (= not very good), and he still needs to work hard to improve.",
怎么样,代替某种不说出来的动作或情况（用于否定式）,565512,1,他画得也并不怎么样（=并不好），还需要继续努力提高。,"His painting isn't that great (= not very good), and he still needs to work hard to improve.",
传染,病原体侵入生物体并引发病理反应的过程。有明显症状的称为显性传染，无明显症状的称为隐性传染。,682311,1,他的不安情绪迅速传染给了在座的人。,His anxiety quickly spread to the people present.,
传染,比喻因接触而使情绪、感情或风气等受到影响并发生类似变化。,682312,1,他的不安情绪迅速传染给了在座的人。,His anxiety quickly spread to the people present.,
本能,人与生俱来的、不学就会的能力,802911,1,"他看见红光一闪,本能地闭上了眼睛。",He saw a flash of red light and instinctively closed his eyes.,
本能,有机体对外界刺激的无意识反应,802912,1,"他看见红光一闪,本能地闭上了眼睛。",He saw a flash of red light and instinctively closed his eyes.,
推,谦让,53016,1,他试图推辞这次任务，但最终还是接受了。,"He tried to decline this task, but eventually accepted it.",
辞,有意回避或找借口推脱,155217,1,他试图推辞这次任务，但最终还是接受了。,"He tried to decline this task, but eventually accepted it.",
养,保留不修剪（毛发）,45519,1,以农养牧，以牧促农，这种模式实现了农业和畜牧业的良性循环。,"Agriculture supports animal husbandry, and animal husbandry promotes agriculture. This model achieves a virtuous cycle between agriculture and animal husbandry.",
养,扶持帮助,45520,1,以农养牧，以牧促农，这种模式实现了农业和畜牧业的良性循环。,"Agriculture supports animal husbandry, and animal husbandry promotes agriculture. This model achieves a virtuous cycle between agriculture and animal husbandry.",
相,物理中的相位概念,13024,1,伯乐正在相马，希望能找到千里马。,"Bole is evaluating horses, hoping to find a steed capable of traveling a thousand miles.",
相,交流电路中的组成部分,13025,1,伯乐正在相马，希望能找到千里马。,"Bole is evaluating horses, hoping to find a steed capable of traveling a thousand miles.",
相,通过观察外表判断优劣,13027,1,伯乐正在相马，希望能找到千里马。,"Bole is evaluating horses, hoping to find a steed capable of traveling a thousand miles.",
关照,"互相照应,全面安排。",863212,1,"你关照食堂一声,给开会的人留饭。",Please inform the canteen to save meals for those attending the meeting.,
关照,口头通知,863213,1,"你关照食堂一声,给开会的人留饭。",Please inform the canteen to save meals for those attending the meeting.,
判断,思维的基本形式，指肯定或否定事物存在或属性的过程,640111,1,你判断得很正确，事情果然如此。,"Your judgment was very correct, and it turned out to be true.",
判断,对事物做出结论或断定,640112,1,你判断得很正确，事情果然如此。,"Your judgment was very correct, and it turned out to be true.",
家伙,工具或武器。,880811,1,你这个家伙真会开玩笑。,You really know how to joke around.,
家伙,指人（含轻视或玩笑意）。,880812,1,你这个家伙真会开玩笑。,You really know how to joke around.,
回报,报告执行情况,873911,1,做好事不图回报。,Do good deeds without expecting rewards.,
回报,报答,873912,1,做好事不图回报。,Do good deeds without expecting rewards.,
兄弟,弟弟,773311,1,兄弟我刚到这里，请多多关照。,"Brother, I have just arrived here, please take good care of me.",
兄弟,对年轻男子的亲切称呼,773312,1,兄弟我刚到这里，请多多关照。,"Brother, I have just arrived here, please take good care of me.",
兄弟,（谦辞）男子自称,773313,1,兄弟我刚到这里，请多多关照。,"Brother, I have just arrived here, please take good care of me.",
组织,生物体中由相似细胞构成的功能单位。,667214,1,党团组织在学校中发挥了重要的思想引领作用。,Party and youth league organizations play an important role in ideological guidance in schools.,
组织,按特定目的建立的系统性集体。,667215,1,党团组织在学校中发挥了重要的思想引领作用。,Party and youth league organizations play an important role in ideological guidance in schools.,
冒,冒顿（Mòdú），汉初匈奴单于的名字。,137311,1,冒顿单于是匈奴历史上著名的军事统帅。,Modu Chanyu was a famous military commander in the history of the Xiongnu.,
冒顿,古代匈奴单于的名字,2060010,1,冒顿单于是匈奴历史上著名的军事统帅。,Modu Chanyu was a famous military commander in the history of the Xiongnu.,
暴力,强制力量或武力,801411,1,军队、警察、法庭对于敌对阶级是一种暴力。,"The army, police, and courts are a form of violence against hostile classes.",
暴力,国家的强制力量,801412,1,军队、警察、法庭对于敌对阶级是一种暴力。,"The army, police, and courts are a form of violence against hostile classes.",
游戏,娱乐活动或非正式体育项目,607411,1,几个孩子正在大树底下游戏。,Several children are playing under the big tree.,
游戏,玩耍,607412,1,几个孩子正在大树底下游戏。,Several children are playing under the big tree.,
哨,鸟鸣,230314,1,几个朋友聚在一起神聊海哨，度过了愉快的夜晚。,"A few friends gathered together for some lively chatting and whistling, spending a pleasant evening.",
哨,闲聊（方言，含贬义）,230315,1,几个朋友聚在一起神聊海哨，度过了愉快的夜晚。,"A few friends gathered together for some lively chatting and whistling, spending a pleasant evening.",
锈,金属表面氧化形成的红褐色物质。,268611,1,刀刃都锈了，显然很久没有使用过了。,"The blade is all rusted, obviously it hasn't been used for a long time.",
锈,金属表面因氧化而受损。,268612,1,刀刃都锈了，显然很久没有使用过了。,"The blade is all rusted, obviously it hasn't been used for a long time.",
方,解决问题的途径,6119,1,制定正确的方略是成功的关键。,Formulating the right strategy is the key to success.,
略,计划;计谋,76914,1,制定正确的方略是成功的关键。,Formulating the right strategy is the key to success.,
果实,植物的成熟子房,705411,1,劳动果实是辛勤工作的回报。,The fruits of labor are the reward for hard work.,
果实,比喻努力的收获,705412,1,劳动果实是辛勤工作的回报。,The fruits of labor are the reward for hard work.,
础石,房屋柱子的基石,2041411,1,勤劳善良的人民，是社会的中坚与础石。,The hardworking and kind people are the backbone and foundation of society.,
础石,基础,2041412,1,勤劳善良的人民，是社会的中坚与础石。,The hardworking and kind people are the backbone and foundation of society.,
都,首都,7121,1,北京是中国的首都，也是政治和文化的中心。,Beijing is the capital of China and also the center of politics and culture.,
首都,国家最高政权机关所在地，全国政治中心。,648111,1,北京是中国的首都，也是政治和文化的中心。,Beijing is the capital of China and also the center of politics and culture.,
解,使整体分开。,19411,1,医生正在进行解剖以查明死因。,The doctor is performing an autopsy to determine the cause of death.,
剖,破开,207511,1,医生正在进行解剖以查明死因。,The doctor is performing an autopsy to determine the cause of death.,
龌,肮脏；不干净,473311,1,卑鄙龌龊的行为令人不齿。,Despicable and filthy behavior is disgusting.,
龌,比喻人品卑劣,473312,1,卑鄙龌龊的行为令人不齿。,Despicable and filthy behavior is disgusting.,
镬,方言中指锅。,506111,1,古代刑罚中，斧锯鼎镬（指古代残酷的刑具）是常见的工具。,"In ancient punishments, axes, saws, tripods, and cauldrons (referring to cruel instruments of ancient times) were common tools.",
镬,古代使用的大型锅具。,506112,1,古代刑罚中，斧锯鼎镬（指古代残酷的刑具）是常见的工具。,"In ancient punishments, axes, saws, tripods, and cauldrons (referring to cruel instruments of ancient times) were common tools.",
立,君主登基,19016,1,古代的皇室通常会慎重选择立嗣，以确保权力平稳过渡。,Ancient royal families usually chose their successors carefully to ensure a smooth transition of power.,
立,确定继承人或地位,19017,1,古代的皇室通常会慎重选择立嗣，以确保权力平稳过渡。,Ancient royal families usually chose their successors carefully to ensure a smooth transition of power.,
吓,用威胁手段使人害怕,160021,1,吓，怎么能这样呢！真是太让人失望了。,What a shock! How can this be! It's truly disappointing.,
吓,表示不满的感叹词,160022,1,吓，怎么能这样呢！真是太让人失望了。,What a shock! How can this be! It's truly disappointing.,
国,国家层面的,2512,1,国徽象征着国家的尊严和权威。,The national emblem symbolizes the dignity and authority of the country.,
徽,代表某个团体或组织的标志。,231111,1,国徽象征着国家的尊严和权威。,The national emblem symbolizes the dignity and authority of the country.,
锉,用于打磨金属或木材的多刃工具。,442711,1,圆孔用圆锉锉一锉，使其更加光滑。,Smooth the round hole by filing it with a round file.,
锉,使用锉刀进行打磨。,442712,1,圆孔用圆锉锉一锉，使其更加光滑。,Smooth the round hole by filing it with a round file.,
棘,酸枣树,299211,1,在创业的路上，我们需要披荆斩棘，克服重重困难。,"On the road to entrepreneurship, we need to cut through thorns and overcome numerous difficulties.",
棘,泛指带刺的植物,299212,1,在创业的路上，我们需要披荆斩棘，克服重重困难。,"On the road to entrepreneurship, we need to cut through thorns and overcome numerous difficulties.",
时间,物质存在的基本形式，由过去、现在和未来构成的连续系统，体现物质运动的持续性和顺序性。,574911,1,地球自转一周的时间是二十四小时。,The time it takes for the Earth to complete one rotation is 24 hours.,
时间,从某一时刻到另一时刻的持续过程。,574912,1,地球自转一周的时间是二十四小时。,The time it takes for the Earth to complete one rotation is 24 hours.,
意识,人对客观世界的心理反映,1001611,1,"天还冷,看见树枝发绿才意识到已经是春天了。","It was still cold, but seeing the green branches made me realize it was already spring.",
意识,觉察到,1001612,1,"天还冷,看见树枝发绿才意识到已经是春天了。","It was still cold, but seeing the green branches made me realize it was already spring.",
太,极度的,33312,1,太古时期的世界充满了神秘色彩。,The world in ancient times was full of mystery.,
古,指遥远的过去时代（与“今”相对）。,50411,1,太古时期的世界充满了神秘色彩。,The world of the ancient times was full of mystery.,
能,物理学中衡量物质运动能力的量，表现为做功的能力。常见形式包括势能、动能、热能等。,3812,1,太阳能是一种清洁的可再生能源，对环境非常友好。,Solar energy is a clean and renewable energy source that is very environmentally friendly.,
能源,能够产生能量的物质资源，如燃料、水力等。,734911,1,太阳能是一种清洁的可再生能源，对环境非常友好。,Solar energy is a clean and renewable energy source that is very environmentally friendly.,
思想,客观存在在人脑中的反映，经过思维活动产生的结果,755811,1,她早有去农村参加农业生产的思想。,She had long been prepared to go to the countryside to engage in agricultural production.,
思想,念头；想法,755812,1,她早有去农村参加农业生产的思想。,She had long been prepared to go to the countryside to engage in agricultural production.,
角度,两条直线相交形成的空间大小（用度或弧度表示）。,716111,1,"如果光从自己的角度来看问题,意见就难免有些片面。","If you only look at the problem from your own perspective, your opinion will inevitably be somewhat one-sided.",
角度,观察事物的出发点或立场。,716112,1,"如果光从自己的角度来看问题,意见就难免有些片面。","If you only look at the problem from your own perspective, your opinion will inevitably be somewhat one-sided.",
祖先,家族或民族年代久远的先辈,793511,1,始祖鸟是鸟类的祖先。,Archaeopteryx is the ancestor of birds.,
祖先,生物进化过程中的古代物种,793512,1,始祖鸟是鸟类的祖先。,Archaeopteryx is the ancestor of birds.,
朋友,彼此之间有交情的人,559111,1,姑娘多大了，有朋友了没有？这是亲戚们常问的问题。,"How old is the girl, and does she have a boyfriend? This is a question relatives often ask.",
朋友,特指恋爱关系中的对象,559112,1,姑娘多大了，有朋友了没有？这是亲戚们常问的问题。,"How old is the girl, and does she have a boyfriend? This is a question relatives often ask.",
相,某些国家部长的称谓,13031,1,婚礼上的傧相负责协助新人完成仪式。,The best man at the wedding is responsible for assisting the bride and groom in completing the ceremony.,
相,旧时协助主人接待宾客的人,13032,1,婚礼上的傧相负责协助新人完成仪式。,The best man at the wedding is responsible for assisting the bride and groom in completing the ceremony.,
因素,构成事物的成分,778111,1,学习先进经验是提高生产的重要因素之一。,Learning advanced experience is one of the important factors in improving production.,
因素,决定成败的条件,778112,1,学习先进经验是提高生产的重要因素之一。,Learning advanced experience is one of the important factors in improving production.,
实践,将理论或想法付诸行动；履行承诺,751611,1,实践出真知，只有通过实际操作才能真正掌握知识。,Practice yields true knowledge; only through hands-on operation can one truly master it.,
实践,人类改造自然和社会的有目的的活动,751612,1,实践出真知，只有通过实际操作才能真正掌握知识。,Practice yields true knowledge; only through hands-on operation can one truly master it.,
宸,指高大的房屋或宫殿,528011,1,宸章（帝王写的文章）展现了古代君王的文学才华。,The imperial writings (articles written by emperors) showcased the literary talent of ancient monarchs.,
宸,古代指帝王的住所，后引申为帝位或帝王的代称,528012,1,宸章（帝王写的文章）展现了古代君王的文学才华。,The imperial writings (articles written by emperors) showcased the literary talent of ancient monarchs.,
光彩,颜色和光泽,864011,1,"小张当了劳动模范,咱全村都很光彩。","Xiao Zhang has become a model worker, and our whole village is proud.",
光彩,荣耀,864012,1,"小张当了劳动模范,咱全村都很光彩。","Xiao Zhang has become a model worker, and our whole village is proud.",
支出,支付款项,1019911,1,尽量控制非生产性的支出。,Try to control non-productive expenditures.,
支出,支付的款项,1019912,1,尽量控制非生产性的支出。,Try to control non-productive expenditures.,
明天,今天的下一天。,558211,1,展望美好的明天，我们充满了信心和希望。,"Looking forward to a bright future, we are full of confidence and hope.",
明天,不久的将来。,558212,1,展望美好的明天，我们充满了信心和希望。,"Looking forward to a bright future, we are full of confidence and hope.",
革命,社会制度的根本变革,699111,1,工人阶级是最革命的阶级。,The working class is the most revolutionary class.,
革命,具有革命性的,699112,1,工人阶级是最革命的阶级。,The working class is the most revolutionary class.,
反馈,输出返回输入,845511,1,市场销售情况的信息不断反馈到工厂，帮助改进生产。,Information on market sales continues to be fed back to the factory to help improve production.,
反馈,生理效应反作用,845512,1,市场销售情况的信息不断反馈到工厂，帮助改进生产。,Information on market sales continues to be fed back to the factory to help improve production.,
反馈,信息返回,845513,1,市场销售情况的信息不断反馈到工厂，帮助改进生产。,Information on market sales continues to be fed back to the factory to help improve production.,
建,福建闽江的古称。,18314,1,建兰是一种非常美丽的花卉。,Cymbidium ensifolium is a very beautiful flower.,
建,福建省的简称,18315,1,建兰是一种非常美丽的花卉。,Cymbidium ensifolium is a very beautiful flower.,
弹,利用弹性将物体射出,96911,1,弹棉花是过去农村常见的手工活。,Carding cotton was a common manual task in rural areas in the past.,
弹,用工具使纤维松散,96912,1,弹棉花是过去农村常见的手工活。,Carding cotton was a common manual task in rural areas in the past.,
勒,马笼头,144621,1,悬崖勒马。,Rein in at the edge of a cliff.,
勒,拉住缰绳,144622,1,悬崖勒马。,Rein in at the edge of a cliff.,
零钱,小额货币，如角、分,727911,1,"我不抽烟,也不喝酒,一个月花不了多少零钱。","I don't smoke or drink, so I don't spend much pocket money in a month.",
零钱,零用钱,727912,1,"我不抽烟,也不喝酒,一个月花不了多少零钱。","I don't smoke or drink, and I don't spend much pocket money in a month.",
们,用于代词或指人名词后表示复数,2211,1,我们一起去公园散步。,We went for a walk in the park together.,
园,供休闲游玩的场所,98612,1,我们一起去公园散步。,We went to the park for a walk together.,
义务,法律规定的公民或法人应尽的责任（如服兵役）,777911,1,我们有义务帮助学习较差的同学。,We have an obligation to help classmates who are not doing well academically.,
义务,道德上应承担的责任,777912,1,我们有义务帮助学习较差的同学。,We have an obligation to help classmates who are not doing well academically.,
地,具体的位置或场所,1719,1,我们的目的地是北京。,Our destination is Beijing.,
目的,想要达到的结果,638811,1,我们的目的地是北京。,Our destination is Beijing.,
比重,物质重量与同体积水的重量比值,804311,1,我国工业在整个国民经济中的比重逐年增长。,The proportion of our country's industry in the entire national economy is increasing year by year.,
比重,事物在整体中的分量,804312,1,我国工业在整个国民经济中的比重逐年增长。,The proportion of our country's industry in the entire national economy is increasing year by year.,
意,思想或想法,11611,1,我完全同意你的看法。,I completely agree with your opinion.,
完全,全部地,652612,1,我完全同意你的看法。,I completely agree with your opinion.,
标本,经过处理或保持原状，用于学习或研究的动植物、矿物样本,807012,1,我觉得苏州园林可以算作我国各地园林的标本。,I think the gardens of Suzhou can be considered representative examples of gardens across our country.,
标本,同类事物中具有代表性的实例,807013,1,我觉得苏州园林可以算作我国各地园林的标本。,I think the gardens of Suzhou can be considered representative examples of gardens across our country.,
渠道,用于引水排灌的人工水道,938511,1,扩大商品流通渠道。,Expand the channels for commodity circulation.,
渠道,达成目的的途径或方法,938512,1,扩大商品流通渠道。,Expand the channels for commodity circulation.,
镊,用于夹取小物件的工具。,395211,1,把瓶子里的酒精棉球镊出来。,Use tweezers to take out the alcohol-soaked cotton ball from the bottle.,
镊,用镊子夹取。,395212,1,把瓶子里的酒精棉球镊出来。,Use tweezers to take out the alcohol-soaked cotton ball from the bottle.,
框,固定的模式或范围,227313,1,把这几个字框起来。,Frame these few words.,
框,用线条圈出文字或图片,227314,1,把这几个字框起来。,Frame these few words.,
油漆,油类和漆类涂料的统称,1005811,1,把门窗油漆一下，让房间焕然一新。,Paint the doors and windows to give the room a fresh look.,
油漆,用油或漆涂抹,1005812,1,把门窗油漆一下，让房间焕然一新。,Paint the doors and windows to give the room a fresh look.,
语法,语言的结构规则,661111,1,描写语法需要细致入微的观察力和精准的语言表达能力。,Describing grammar requires meticulous observation and precise language expression skills.,
语法,语法学研究,661112,1,描写语法需要细致入微的观察力和精准的语言表达能力。,Describing grammar requires meticulous observation and precise language expression skills.,
关键,门闩或功能类似门闩的东西。,624311,1,摸清情况是解决问题的关键。,To understand the situation is the key to solving the problem.,
关键,〈比喻fig.〉事物最关紧要的部分;对情况起决定作用的因素,624312,1,摸清情况是解决问题的关键。,To understand the situation is the key to solving the problem.,
标,清末陆军编制单位,47818,1,斜刺里杀出一标人马，打破了僵局。,"A group of cavalry suddenly charged out from the flank, breaking the deadlock.",
标,量词，用于队伍，仅与数词“一”搭配使用,47819,1,斜刺里杀出一标人马，打破了僵局。,"A group of cavalry suddenly charged out from the flank, breaking the deadlock.",
烧,肥料过量导致植物损伤,92317,1,有两个钱就烧得不知怎么好了！真是让人哭笑不得。,Having a little money makes one act as if they don't know what to do with themselves! It's really laughable.,
烧,因暴富而忘形,92318,1,有两个钱就烧得不知怎么好了！真是让人哭笑不得。,Having a little money makes one act as if they don't know what to do with themselves! It's really laughable.,
谥,古代对逝者的尊称，根据其生平事迹而定,504511,1,有人谥之为保守主义，认为这种思想过于守旧。,"Some people called it conservatism, considering this thought too old-fashioned.",
谥,称呼或命名,504512,1,有人谥之为保守主义，认为这种思想过于守旧。,"Some people called it conservatism, considering this thought too old-fashioned.",
发火,子弹或炮弹引爆,843612,1,有话好好说，不必发火。,Let's talk things through without losing your temper.,
发火,失火,843613,1,有话好好说，不必发火。,Let's talk things through without losing your temper.,
发火,（炉灶）火力旺盛,843614,1,有话好好说，不必发火。,Let's talk things through without losing your temper.,
霜,气温低于0℃时地面物体表面凝结的白色冰晶,214511,1,柿霜是一种传统的中药材，具有润肺止咳的功效。,Persimmon frost is a traditional Chinese medicinal material with the effect of moistening the lungs and relieving cough.,
霜,霜状物,214512,1,柿霜是一种传统的中药材，具有润肺止咳的功效。,Persimmon frost is a traditional Chinese medicinal material with the effect of moistening the lungs and relieving cough.,
广播,通过无线电或有线电播送节目,624711,1,每天早晨，我都会一边吃早餐一边听广播了解最新新闻。,"Every morning, I listen to the radio while having breakfast to keep up with the latest news.",
广播,电台或有线电播送的节目,624712,1,每天早晨，我都会一边吃早餐一边听广播了解最新新闻。,"Every morning, I listen to the radio while having breakfast to keep up with the latest news.",
沐浴,洗澡。,919511,1,每朵花，每棵树，每根草都沐浴在阳光里。,"Every flower, every tree, and every blade of grass basks in the sunlight.",
沐浴,（比喻）受润泽。,919512,1,每朵花，每棵树，每根草都沐浴在阳光里。,"Every flower, every tree, and every blade of grass basks in the sunlight.",
独立,军队编制上直属更高级单位（如独立营直属师）,690413,1,"民俗研究室已经独立出去了,现在叫民俗研究所。",The folklore research office has become independent and is now called the Folklore Research Institute.,
独立,"脱离原来所属单位,成为另一单位",690414,1,"民俗研究室已经独立出去了,现在叫民俗研究所。",The folklore research office has become independent and is now called the Folklore Research Institute.,
威力,强大的、令人畏惧的力量,973811,1,氢弹的威力比原子弹大。,The power of a hydrogen bomb is greater than that of an atomic bomb.,
威力,具有巨大影响或破坏力的力量,973812,1,氢弹的威力比原子弹大。,The power of a hydrogen bomb is greater than that of an atomic bomb.,
营养,生物维持生命活动所需的物质,778611,1,水果富于营养，对健康非常有益。,Fruits are rich in nutrients and very beneficial to health.,
营养,食物中的有益成分,778612,1,水果富于营养，对健康非常有益。,Fruits are rich in nutrients and very beneficial to health.,
鉴,古代铜制的镜子,149611,1,水清可鉴。,The water is so clear that it can be used as a mirror.,
鉴,映照；反射,149612,1,水清可鉴。,The water is so clear that it can be used as a mirror.,
范畴,思维对事物本质的概括,846111,1,汉字属于表意文字的范畴，具有独特的文化价值。,Chinese characters belong to the category of ideographic writing and have unique cultural value.,
范畴,类型；范围,846112,1,汉字属于表意文字的范畴，具有独特的文化价值。,Chinese characters belong to the category of ideographic writing and have unique cultural value.,
河,特指黄河,53413,1,河西走廊是中国历史上重要的交通要道。,The Hexi Corridor was an important transportation route in Chinese history.,
走廊,房屋之间或屋檐下的有顶通道,1032811,1,河西走廊是中国历史上重要的交通要道。,The Hexi Corridor is an important transportation route in Chinese history.,
标,树梢,47811,1,治标不如治本。,Addressing the symptoms is not as effective as addressing the root cause.,
标,表面现象,47812,1,治标不如治本。,Addressing the symptoms is not as effective as addressing the root cause.,
手,人体上肢末端抓握器官,16711,1,活动开始时，大家人手一册，确保每个人都能参与学习。,"At the start of the event, everyone was given a booklet to ensure that all could participate in the learning.",
手,拿着,16712,1,活动开始时，大家人手一册，确保每个人都能参与学习。,"At the start of the event, everyone was given a booklet to ensure that all could participate in the learning.",
