duplicate_type,duplicate_value,count,definition_ids,example_sns
Chinese text,建兰是一种非常美丽的花卉。,2,"18314,18315","1,1"
Chinese text,弹棉花是过去农村常见的手工活。,2,"96911,96912","1,1"
Chinese text,悬崖勒马。,2,"144621,144622","1,1"
Chinese text,"我不抽烟,也不喝酒,一个月花不了多少零钱。",2,"727911,727912","1,1"
Chinese text,我们一起去公园散步。,2,"2211,98612","1,1"
Chinese text,我们有义务帮助学习较差的同学。,2,"777911,777912","1,1"
Chinese text,我们的目的地是北京。,2,"1719,638811","1,1"
Chinese text,我国工业在整个国民经济中的比重逐年增长。,2,"804311,804312","1,1"
Chinese text,我完全同意你的看法。,2,"11611,652612","1,1"
Chinese text,我觉得苏州园林可以算作我国各地园林的标本。,2,"807012,807013","1,1"
Chinese text,扩大商品流通渠道。,2,"938511,938512","1,1"
Chinese text,把瓶子里的酒精棉球镊出来。,2,"395211,395212","1,1"
Chinese text,把这几个字框起来。,2,"227313,227314","1,1"
Chinese text,把门窗油漆一下，让房间焕然一新。,2,"1005811,1005812","1,1"
Chinese text,描写语法需要细致入微的观察力和精准的语言表达能力。,2,"661111,661112","1,1"
Chinese text,摸清情况是解决问题的关键。,2,"624311,624312","1,1"
Chinese text,斜刺里杀出一标人马，打破了僵局。,2,"47818,47819","1,1"
Chinese text,有两个钱就烧得不知怎么好了！真是让人哭笑不得。,2,"92317,92318","1,1"
Chinese text,有人谥之为保守主义，认为这种思想过于守旧。,2,"504511,504512","1,1"
Chinese text,有话好好说，不必发火。,3,"843612,843613,843614","1,1,1"
Chinese text,柿霜是一种传统的中药材，具有润肺止咳的功效。,2,"214511,214512","1,1"
Chinese text,每天早晨，我都会一边吃早餐一边听广播了解最新新闻。,2,"624711,624712","1,1"
Chinese text,每朵花，每棵树，每根草都沐浴在阳光里。,2,"919511,919512","1,1"
Chinese text,"民俗研究室已经独立出去了,现在叫民俗研究所。",2,"690413,690414","1,1"
Chinese text,氢弹的威力比原子弹大。,2,"973811,973812","1,1"
Chinese text,水果富于营养，对健康非常有益。,2,"778611,778612","1,1"
Chinese text,水清可鉴。,2,"149611,149612","1,1"
Chinese text,汉字属于表意文字的范畴，具有独特的文化价值。,2,"846111,846112","1,1"
Chinese text,河西走廊是中国历史上重要的交通要道。,2,"53413,1032811","1,1"
Chinese text,治标不如治本。,2,"47811,47812","1,1"
Chinese text,活动开始时，大家人手一册，确保每个人都能参与学习。,2,"16711,16712","1,1"
Chinese text,海参崴是俄罗斯远东地区的重要港口城市。,2,"434921,434922","1,1"
Chinese text,清晨的起床号响彻军营。,3,"61134,61135,61136","1,1,1"
Chinese text,点上一支蜡。,2,"231411,231412","1,1"
Chinese text,爆炸声震耳欲聋，所有人都惊慌失措。,2,"144711,150211","1,1"
Chinese text,用两根木头来戗住这堵墙。,3,"532721,532722,532723","1,1,1"
Chinese text,登山队请了一位猎人当向导。,2,"984111,984112","1,1"
Chinese text,盐纲是古代盐业管理的重要制度。,2,"158513,158514","1,1"
Chinese text,目前市场上洗衣机的销售已接近饱和。,2,"799211,799212","1,1"
Chinese text,看问题要根据具体的事实，不能从抽象的定义出发。,2,"680911,680912","1,1"
Chinese text,破除迷信，解放思想，是推动社会进步的重要一步。,2,"915411,915412","1,1"
Chinese text,祭灶是中国传统节日中的重要仪式。,2,"221012,221013","1,1"
Chinese text,稗史记录了许多民间故事和传说。,2,"472611,472612","1,1"
Chinese text,窗外是一片诱惑人的景色。,2,"1006211,1006212","1,1"
Chinese text,经过一段时间的治疗，他的病终于痊愈了。,2,"137911,399011","1,1"
Chinese text,经过不懈的努力，我们终底于成，完成了这项艰巨的任务。,2,"55526,55527","1,1"
Chinese text,经过努力，生产已经走上轨道，效率显著提高。,4,"865011,865012,865013,865014","1,1,1,1"
Chinese text,经过多年的杂交试验，筛选出优质高产的西瓜新品种。,2,"945311,945312","1,1"
Chinese text,给他们找个台阶儿下，免得场面太尴尬。,2,"757211,757212","1,1"
Chinese text,胜利是用血的代价换来的。,2,"831211,831212","1,1"
Chinese text,胡蜂的屁股上有刺。,2,"925311,925312","1,1"
Chinese text,茜纱是一种轻薄透明的布料。,2,"442521,442522","1,1"
Chinese text,落棋无悔。,2,"211911,211912","1,1"
Chinese text,蜜蜂正在花丛中酿蜜。,2,"181911,260012","1,1"
Chinese text,解决问题时，我们要摆事实，讲道理。,3,"98014,98015,98016","1,1,1"
Chinese text,解题时不要生搬硬套公式，要灵活运用。,2,"101721,101722","1,1"
Chinese text,诗人用优美的语言歌颂祖国的大好河山。,2,"225811,857111","1,1"
Chinese text,诗人的爱国主义思想感染了读者，引起了他们的共鸣。,2,"861011,861012","1,1"
Chinese text,语言是人们交流思想的工具。,2,"623211,623212","1,1"
Chinese text,诰封是对官员及其家属的一种荣誉性封赠。,2,"497611,497612","1,1"
Chinese text,请尽快通知相关人员参加会议。,2,"18612,19315","1,1"
Chinese text,请转告刘某，做事不要太过分。,2,"52513,52514","1,1"
Chinese text,赤小豆是一种常见的食材，常用来煮粥。,2,"141911,141912","1,1"
Chinese text,轴碗儿是机械装置中的一个重要部件。,2,"158211,158212","1,1"
Chinese text,这一番坦诚的谈话，说得他心里十分熨帖。,2,"433521,433522","1,1"
Chinese text,这个地方治安很好，路不拾遗。,2,"96621,96622","1,1"
Chinese text,这个地方风景优美，使人低回不忍离去。,2,"2036111,2036112","1,1"
Chinese text,这个城市是一个卫星城市。,2,"975511,975512","1,1"
Chinese text,这个新兴城市已经形成合理的经济网络。,2,"973311,973312","1,1"
Chinese text,这个瓶子脖儿长，设计很特别。,2,"198511,198512","1,1"
Chinese text,这些原则成为了行业的圭臬。,2,"401211,401212","1,1"
Chinese text,这些泉币是古代货币的重要组成部分。,2,"155812,155813","1,1"
Chinese text,这些珠宝被称为明珠玮宝，因其价值连城。,2,"504611,504612","1,1"
Chinese text,这位地理先生（看风水的人）在当地颇有名气。,2,"688712,688713","1,1"
Chinese text,这位老师为世师范，深受学生们的尊敬和爱戴。,2,"951211,951212","1,1"
Chinese text,这块匾额上写着“天下第一”。,2,"89711,89712","1,1"
Chinese text,"这块肉太肥,我要瘦点儿的。",2,"170711,170712","1,1"
Chinese text,这对新人向翁姑（公公和婆婆）敬茶，表达孝心。,2,"233212,233213","1,1"
Chinese text,这批出口货已经通过了严格的质量检测。,2,"681312,681313","1,1"
Chinese text,这把梳子是化学的。,2,"708811,708812","1,1"
Chinese text,这把红木椅子做工精细，是祖上传下来的老物件。,2,"176221,564911","1,1"
Chinese text,这是一个难得的机遇，我们必须好好把握。,2,"98913,877011","1,1"
Chinese text,这条小巷十分逼仄，仅容一人通过。,2,"168914,428611","1,1"
Chinese text,这次展销的新产品受到国内外客户的欢迎。,3,"898811,898812,898813","1,1,1"
Chinese text,这次游览让我对这座城市有了更深的了解。,2,"69512,186211","1,1"
Chinese text,这次考试有试题三则。,2,"26513,26514","1,1"
Chinese text,这种山查炭非常适合用来烧烤。,2,"190911,190912","1,1"
Chinese text,这种晋种方法在农业领域得到了广泛应用。,6,"175013,175014,175015,175016,175017,175018","1,1,1,1,1,1"
Chinese text,这种观点只是皮肤之见，缺乏深度分析。,2,"640411,640412","1,1"
Chinese text,这篇影评深入分析了电影的主题。,2,"34915,34916","1,1"
Chinese text,这篇文章语言乏味，缺乏吸引读者的亮点。,2,"661211,661212","1,1"
Chinese text,这里的景色迷人，吸引了无数游客前来观赏。,2,"719411,915211","1,1"
Chinese text,遇到困难时，我们需要想办法解决。,2,"11511,581611","1,1"
Chinese text,那些恶势力横行霸道，让百姓苦不堪言。,2,"796821,796822","1,1"
Chinese text,那件事我连点儿影子也记不得了。,2,"778812,778813","1,1"
Chinese text,集体编写的著作，应由主编负责把关。,2,"796511,796512","1,1"
Chinese text,面对突发情况，大家坐下来商量对策。,2,"841211,841212","1,1"
Chinese text,革命的风暴。,2,"849911,849912","1,1"
Chinese text,飞机翅膀的设计直接影响飞行的稳定性和安全性。,2,"680211,680212","1,1"
