rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
10044,3,长老,zhǎng lǎo,,,名,旧指年岁大的人,村中长老德高望重｜请教长老意见,elderly person
10045,1,紧迫感,jǐn pò gǎn,,,名,紧张和急迫的感觉或意识,要增强工作的责任心和紧迫感。,sense of urgency
10048,1,密集型,mì jí xíng,,,名,高度集中的类型,实现从人力密集型向技术密集型转变。,intensive type
10050,1,来宾,lái bīn,,,名,应邀前来的客人,欢迎各位来宾｜来宾请签到,guest
10051,1,微妙,wēi miào,,,形,深奥玄妙；很难捉摸,他们之间的关系很微妙。,subtle
10052,1,五彩,wǔ cǎi,,,名,指蓝、黄、红、白、黑五色；泛指多种颜色,五彩斑斓,five colors
10053,1,鼓吹,gǔ chuī,,,动,大力宣扬；努力提倡,鼓吹革命,advocate
10053,2,鼓吹,gǔ chuī,,,动,吹嘘,竭力鼓吹自己,boast
10054,1,转业,zhuǎn yè,,,动,由一个行业转到另一个行业；特指中国人民解放军军官离开部队转到地方工作,教了几年书，又转业当编辑了｜转业军人,change profession
10055,1,认得,rèn de,,,动,能确认所见到的某个人或某种事物,我不认得这个字｜我认得他，而且很熟。,recognize
10056,1,发源,fā yuán,,,动,（江河）从源头流出,长江发源于青海西南部的各拉丹冬雪山。,rise
10056,2,发源,fā yuán,,,动,比喻事物起源,舞蹈发源于劳动,originate
10057,1,首例,shǒu lì,,,,第一例,首例心脏移植手术。,first case
10058,1,推理,tuī lǐ,,,动,逻辑学中指由一个或几个已知的判断（前提），推出另一个未知判断（结论）。可大致划分为演绎推理、归纳推理、类比推理等三大类,推理案情很重要｜逻辑推理要严谨,reason
10059,1,轮胎,lún tāi,,,名,安装在车轮外围的橡胶制品。一般分充气内胎和耐磨外胎两层。轮胎充气后能够承受重力并减弱行驶时产生的震动,轮胎需要更换｜汽车轮胎漏气了,tire
10060,1,远近,yuǎn jìn,,,名,距离；远近的程度,她也没问远近，就往那里跑｜不计较远近,distance
10060,2,远近,yuǎn jìn,,,名,远处和近处,远近闻名｜驰名远近,far and near
10061,1,引向,yǐn xiàng,,,动,向某个方向引导,把孩子引向正道,guide toward
10062,1,史实,shǐ shí,,,名,历史事实,史实根据充分,historical fact
10063,1,守卫,shǒu wèi,,,动,防守保卫,守卫边防,guard
10064,1,广为,guǎng wéi,,,副,表示动作行为广泛普遍地（进行）,广为宣传｜广为流行,extensively
10065,1,侵占,qīn zhàn,,,动,非法占有或占用公家或他人的财物等,公产不容侵占,embezzle
10065,2,侵占,qīn zhàn,,,动,侵略并占有他国领土,一寸国土也不容许敌人侵占。,invade and occupy
10066,1,交货,jiāo huò,,,动,把货交付对方,一手交钱，一手交货。,deliver goods
10067,1,经济基础,jīng jì jī chǔ,,,,社会一定历史发展阶段上的生产关系的总和。主要包括生产资料所有制、生产过程中人与人的关系和分配关系三个方面。经济基础决定上层建筑,经济基础决定上层建筑｜发展经济基础,economic base
10068,1,受审,shòu shěn,,,动,接受审讯,他在法院受审｜嫌疑人正在受审,stand trial
10069,1,合于,hé yú,,,动,合乎,合于音律,conform to
10070,1,只因,zhǐ yīn,,,连,连接因果复句，表示唯一的原因,只因天气太冷，所以不想出门,only because
10071,1,作坊,zuō fang,,,名,工场,从小在作坊里当学徒,workshop
10072,1,大纲,dà gāng,,,名,网的总绳。比喻著作、计划、讲稿等的内容要点,制定教学大纲｜按照大纲学习,outline
10072,2,大纲,dà gāng,,,名,纲领性的政策法规,《土地法大纲》,programmatic policy
10073,1,十佳,shí jiā,,,名,十个最好的、最优秀的,喜获十佳｜十佳评选｜十佳青年,top ten
10074,1,烟雾,yān wù,,,名,烟气和雾气,烟雾缭绕｜茫茫烟雾,smoke and mist
10075,1,炮火,pào huǒ,,,名,指战场上射击的炮弹和炮弹爆炸的火焰,冒着敌人的炮火前进!,artillery fire
10076,1,实时,shí shí,,,副,表示在某事进行的同时,现场实时转播,in real time
10077,1,分社,fēn shè,,,名,以“社”命名的组织下属的分支机构,新华社香港分社,branch office
10078,1,漫步,màn bù,,,动,悠闲随意地走,在公园漫步｜漫步在林荫道,stroll
10079,1,演绎,yǎn yì,,,动,展现；表现,尽情演绎各自不同的风格｜把父子之情演绎得淋漓尽致。,perform
10079,2,演绎,yǎn yì,,,动,推演引申；铺陈发挥,他的文章是从某人的观点演绎出来的｜一个小故事居然演绎成一部长篇小说。,expound
10079,3,演绎,yǎn yì,,,名,演绎推理,演绎推理很严谨｜这是演绎过程,deduction
10080,1,存储,cún chǔ,,,动,存放储备,存储粮食,store
10080,2,存储,cún chǔ,,,名,存放储备的钱或物等,库中存储已经不多了。,storage
10081,1,炮兵,pào bīng,,,名,以火炮、火箭炮等为基本装备，主要执行地面火力突击任务的陆军兵种；也指这一兵种的士兵,炮兵在训练｜炮兵发射炮弹,artillery
10083,1,戈壁,gē bì,,,名,蒙古语音译，意思是难生草木的土地。指一种被粗沙、砾石覆盖在硬土层上的荒漠地形。主要分布在我国内蒙古北部、蒙古国南部等地区,穿越戈壁很艰难｜戈壁滩很辽阔,Gobi
10084,1,舞剧,wǔ jù,,,名,以舞蹈为主要表现手段的戏剧,观看舞剧表演｜这部舞剧很精彩,dance drama
10085,1,杰作,jié zuò,,,名,杰出的作品,《红楼梦》是文学史上的一部杰作。,masterpiece
10086,1,摇篮,yáo lán,,,名,婴儿卧具，形似篮子，能左右摇动,婴儿在摇篮里｜摇篮轻轻摇动,cradle
10086,2,摇篮,yáo lán,,,名,比喻人才成长的处所或重要事物的发源地,新文化运动的摇篮。,cradle
10087,1,案犯,àn fàn,,,名,犯罪嫌疑人的旧称；作案的人,案犯被抓获｜追捕在逃案犯,criminal suspect; perpetrator
10088,1,铸造,zhù zào,,,动,将金属熔化后浇注到砂制铸型中，使形成预定形状的工件或器物,铸造金属零件｜铸造工艺复杂,cast
10090,1,折扣,zhé kòu,,,名,买卖中按原价减去的成数,商品打八折折扣｜享受会员折扣,discount
10092,1,注释,zhù shì,,,名,【注解】解释词句的文字,书中有详细注释｜看注释理解词义,annotation
10092,2,注释,zhù shì,,,动,【注解】用浅近的文字解释艰深的词句,注释古文很难｜他在注释经典,annotate
10094,1,转眼,zhuǎn yǎn,,,动,借指时间极短,那小孩儿转眼不见了。,in the blink of an eye
10094,2,转眼,zhuǎn yǎn,,,动,转动眼睛,她又转眼去看那孩子。,turn one's eyes
10095,1,连声,lián shēng,,,动,一声连着一声,爆竹连声｜连声叫好,say repeatedly
10096,1,辜负,gū fù,,,动,对不住（别人的好意、期望或帮助等）,辜负了他的好意,let down
10097,1,终将,zhōng jiāng,,,副,最终将会,胜利终将到来,will eventually
10098,1,手稿,shǒu gǎo,,,名,亲手写的底稿,鲁迅手稿,manuscript
10099,1,沉没,chén mò,,,动,沉入水中,渔船失事，沉没于大海｜太阳渐渐沉没在地平线下,sink
10102,1,骤然,zhòu rán,,,副,突然；忽然,气温骤然下降,suddenly
10103,1,船队,chuán duì,,,名,航运企业的基层组织。如客轮船队、货轮船队等,船队出海捕鱼｜大型船队航行,fleet (as organizational unit)
10103,2,船队,chuán duì,,,名,由拖轮或顶轮与驳船组成的运行整体,拖轮船队很壮观｜船队顺利到达,fleet (as vessel group)
10106,1,背叛,bèi pàn,,,动,背离自己原先的一方，投到敌对的一方去,背叛革命｜背叛封建家庭,betray
10107,1,少爷,shào ye,,,名,旧时仆人称主人的儿子；泛指有钱有势人家娇生惯养的青少年,少爷作风,young master (son of wealthy family)
10107,2,少爷,shào ye,,,名,旧时尊称别人的儿子,王家少爷很英俊｜少爷出门了,your son (honorific)
10108,1,保全,bǎo quán,,,动,保护使完好,保全面子｜财产保全,preserve
10108,2,保全,bǎo quán,,,动,维护保养机器使正常运转（多用于纺织行业）,纺织保全专业,maintain (machinery)
10109,1,礼堂,lǐ táng,,,名,开会或举行庆典等使用的大厅,在礼堂开会｜礼堂坐满了人,assembly hall
10110,1,发球,fā qiú,,,动,球类比赛时，一方按规则把球发出,发球抢攻｜跳发球,serve (in ball games)
10111,1,万象,wàn xiàng,,,名,指一切事物或景象,万象更新｜人间万象,all phenomena
10112,1,折腾,zhē teng,,,动,折磨；使痛苦,噪声可把居民折腾苦了。,torment
10112,2,折腾,zhē teng,,,动,翻来覆去,折腾半天睡不着,toss and turn
10112,3,折腾,zhē teng,,,动,反复地做,折腾好几遍才定稿。,do repeatedly
10113,1,人犯,rén fàn,,,名,犯罪的人,羁押人犯,criminal
10115,1,遵照,zūn zhào,,,动,依照,遵照执行,comply with
10116,1,居于,jū yú,,,动,处在（某种地位）,居于领先地位,occupy (a position)
10117,1,要命,yào mìng,,,形,形容程度极高,难吃得要命｜两人关系好得要命｜懒得要命,extremely
10117,2,要命,yào mìng,,,形,形容使人难以忍受（含埋怨意）,他老缠着我，真是要命!,annoyingly
10117,3,要命,yào mìng,,,动,致命,这种病不至于要命。,fatal
10119,1,罪人,zuì rén,,,名,有罪的人,千古罪人｜历史罪人,sinner
10120,1,联通,lián tōng,,,动,横向联系、贯通,信息联通,connect
10121,1,对家,duì jiā,,,名,指四人打牌时坐在自己对面的一方,我的对家很厉害｜对家出牌很快,partner (in card games)
10121,2,对家,duì jiā,,,名,说亲时指对方,对家人品好，模样儿也俊。,the other family (in matchmaking)
10122,1,理事国,lǐ shì guó,,,名,代表国际组织行使职权、处理国际事务的国家,中国是联合国安理会常任理事国之一。,member state (of international organization)
10123,1,物化,wù huà,,,动,〈文〉指人死去,人虽物化，精神永存。,pass away
10123,2,物化,wù huà,,,动,指人的思想观念通过实践转化为物质的现实存在,理想需要物化｜把想法物化实现,materialize
10124,1,海洛因,hǎi luò yīn,,,名,英语 heroin 音译。有机化合物，由吗啡制成的白色晶体，医学上用作镇静药、麻醉药。常用成瘾，比吗啡的成瘾性更大。作为毒品，俗称白面儿。,海洛因是毒品｜远离海洛因,heroin
10126,1,伤病,shāng bìng,,,动,受伤和生病,他因伤病休息｜运动员常有伤病,be injured or ill
10127,1,碎片,suì piàn,,,名,细碎的片状物,玻璃摔成碎片｜收拾瓷器碎片,fragment
10128,1,租金,zū jīn,,,名,租用土地、房屋或物品付出的费用；出租土地、房屋或物品得到的收入,支付房屋租金｜租金有点贵,rent
10129,1,与时俱进,yǔ shí jù jìn,,,,与时代一同前进。指永远保持进取的精神，跟上时代的步伐,要与时俱进｜思想与时俱进,advance with the times
10130,1,深造,shēn zào,,,动,不断进取，以达到更高的境界；泛指进一步深入学习,求学深造｜继续深造,pursue advanced studies
10131,1,身躯,shēn qū,,,名,身体,瘦弱的身躯｜身躯魁梧,body
10132,1,早点,zǎo diǎn,,,名,早饭；早晨吃的点心,吃早点上班｜早点很丰盛,breakfast
10133,1,大洲,dà zhōu,,,名,【洲】大陆及其附属岛屿的统称。地球上有七大洲，即亚洲、欧洲、非洲、北美洲、南美洲、大洋洲、南极洲,亚洲是最大大洲｜七大洲分布,continent
10134,1,麻木,má mù,,,形,肢体某部分的感觉不灵或完全丧失,右手麻木,numb
10134,2,麻木,má mù,,,形,比喻对外界事物反应迟钝，不敏感,心事重重，表情麻木。,apathetic
10136,1,狂风,kuáng fēng,,,名,狂烈的风；气象学上旧指10级风,狂风吹不倒｜狂风大作,gale
10137,1,棺材,guān cai,,,名,装殓死人的器具。多用木材制成,棺材用木材制作｜抬着棺材出殡,coffin
10138,1,星期日,xīng qī rì,,,名,一个星期的第一天，多是休息日,星期日休息｜星期日去公园,Sunday
10139,1,深山,shēn shān,,,名,山岭的深处,到深山采药,remote mountains
10140,1,高企,gāo qǐ,,,动,（价位或其他数值）居高不下,物价高企｜库存量持续高企,remain high
10141,1,持股,chí gǔ,,,动,持有股份公司的股份（股票）,他持股很多｜持股获得分红,hold shares
10142,1,柔和,róu hé,,,形,温顺；温和,性情柔和｜柔和的阳光,gentle
10142,2,柔和,róu hé,,,形,柔软,手感柔和｜动作柔和,soft
10143,1,悬崖,xuán yá,,,名,高耸陡峭的山崖,万丈悬崖,cliff
10143,2,悬崖,xuán yá,,,名,比喻危险的境地,你这种做法实际上是把他进一步推向悬崖。,precipice (figurative)
10144,1,一空,yī kōng,,,形,一点儿没剩或一点儿没留,抢购一空｜洗劫一空,completely empty
10147,1,坚固,jiān gù,,,形,结实；牢固,城墙坚固｜坚固的堡垒,sturdy
10148,1,贩子,fàn zi,,,名,往来各地贩卖货物的人,他是个贩子｜水果贩子叫卖,dealer
10149,1,大汉,dà hàn,,,名,身材高大魁梧的男人,他是个大汉｜大汉力气很大,big man
10150,1,集成电路,jí chéng diàn lù,,,,在一块半导体硅片上，把许多个晶体管、电阻、电容等元件组成能完成设定功能的电路。具有体积小、功耗低、耐震、耐潮、稳定性强等优点。广泛应用于电子计算机、通信设备和遥控、遥测设备等方面,集成电路很精密｜手机用集成电路,integrated circuit
10151,1,功绩,gōng jì,,,名,功劳和业绩,历史功绩,merits and achievements
10152,1,绅士,shēn shì,,,名,旧时地方上有权势有影响的人物,他是当地绅士｜绅士风度翩翩,gentleman
10153,1,快车,kuài chē,,,名,中途停站少，行车速度较快，全程行车时间较短的客运火车或公共汽车,乘坐快车旅行｜快车很快到达,express (train/bus)
10154,1,未婚,wèi hūn,,,动,没有结婚,未婚青年,unmarried
10155,1,男排,nán pái,,,名,男子排球运动的简称,男排比赛精彩｜观看男排比赛,men's volleyball (sport)
10155,2,男排,nán pái,,,名,男子排球队的简称,中国男排很强｜男排获得冠军,men's volleyball team
10156,1,电缆,diàn lǎn,,,名,由多股彼此绝缘的导线构成的较粗的导线。装有绝缘层和保护外皮，架在空中或安装在地下、水底，用于传输电信信号或输送电力,铺设地下电缆｜电缆需要维护,electric cable
10157,1,呻吟,shēn yín,,,动,因痛苦而发出声音,无病呻吟,groan
10158,1,标签,biāo qiān,,,名,系在或贴在物品上标明品名、性能、价格等的纸片或塑料、金属片,贴上价格标签｜看标签选商品,label
10159,1,前任,qián rèn,,,名,现任之前担任这一职务的人,他是前任经理,predecessor
10160,1,愚昧,yú mèi,,,形,没有文化而又头脑简单，不明事理,愚昧无知｜愚昧昏聩,ignorant
10162,1,兵马,bīng mǎ,,,名,士兵和战马；借指军队,兵马俑很壮观｜调动兵马作战,troops and horses
10163,1,遗忘,yí wàng,,,动,忘记,遗忘过去痛苦｜容易遗忘事情,forget
10164,1,结核,jié hé,,,名,指结核病,肺结核,tuberculosis
10164,2,结核,jié hé,,,名,身体上某些组织因结核杆菌侵入而引起的病变,肺结核是结核病｜治疗结核病,tubercle (medical)
10164,3,结核,jié hé,,,名,地质学上指在固体核周围凝结而成的球状可溶解的矿物。如铁质结核,发现铁质结核｜矿物结核形成,concretion (geology)
10165,1,放手,fàng shǒu,,,动,比喻解除思想束缚,放手让年轻人挑大梁。,give free rein
10165,2,放手,fàng shǒu,,,动,把抓住东西的手松开,抓住缰绳不放手,let go
10165,3,放手,fàng shǒu,,,动,罢休,不查个水落石出，决不放手。,give up
10167,1,了了,liǎo liǎo,,,形,聪明；懂事,小时了了，大未必佳。,clever
10167,2,了了,liǎo liǎo,,,形,对事理或情况很明白、很了解,了了于心,understand clearly
10168,1,毗邻,pí lín,,,动,（地域）互相邻接,两省毗邻,adjacent
10169,1,击毙,jī bì,,,动,打死（一般指用枪）,公安干警击毙了持枪拒捕的杀人凶犯。,shoot dead
10170,1,身价,shēn jià,,,名,指人的声望和地位,他身价倍增｜明星身价很高,social status
10171,1,咬牙,yǎo yá,,,动,由于极端愤怒或忍受痛苦等而咬紧牙关,咬牙切齿｜咬牙挺过去,clench one's teeth
10171,2,咬牙,yǎo yá,,,动,熟睡时牙齿不自觉地摩擦发出声音,他睡觉会咬牙｜咬牙声音很响,grind one's teeth (during sleep)
10172,1,免去,miǎn qù,,,动,免除；避免,免去职务｜闭门谢客，可以免去许多麻烦。,exempt
10173,1,农历,nóng lì,,,名,"我国传统历法。因其与农业生产有关，故称。相传始行于夏代，所以也叫夏历。属阴阳历，人们习惯上把它叫阴历。平年12个月，闰年13个月。大月30天，小月29天，平年全年354天或355天，闰年全年383天或384天。每年分24个节气，便于农事安排。以天干地支搭配纪年,60年周而复始",今天是农历初一｜按农历过节,traditional Chinese calendar
10173,2,农历,nóng lì,,,名,农事方面使用的历书,查看农历历书｜买本农历,agricultural almanac
10174,1,送礼,sòng lǐ,,,动,赠送礼品,过节要送礼｜送礼表达心意,give gifts
10175,1,全民公决,quán mín gōng jué,,,,通过全国公民投票来决定国家重大事情。通常是国家发生重大变化时采取的一种方式,举行全民公决｜公投全民公决,referendum
10176,1,存有,cún yǒu,,,动,存着（钱、物等）,家家存有余粮｜他身上还存有一些不良习气。,possess
10177,1,扣押,kòu yā,,,动,拘禁,把这些犯罪嫌疑人扣押起来｜非法扣押人质,detain (person)
10177,2,扣押,kòu yā,,,动,扣留（多用于物）,扣押物证、书证,seize (property)
10178,1,出厂,chū chǎng,,,动,产品运出工厂投放市场,新产品刚出厂｜汽车出厂检验,leave the factory
10179,1,津贴,jīn tiē,,,名,工资以外根据规定发给的补助金,政府特殊津贴,Subsidy
10179,2,津贴,jīn tiē,,,名,发给供给制人员或战士的零用钱,领取岗位津贴｜发放交通津贴,Allowance
10179,3,津贴,jīn tiē,,,动,发给补贴,津贴我生活费,Subsidize
10180,1,画作,huà zuò,,,名,绘画作品,这幅画作很珍贵｜欣赏名家画作,Painting
10181,1,断言,duàn yán,,,动,极其肯定地说,我敢断言，他准赢。,Assert
10181,2,断言,duàn yán,,,名,断语,别轻易下断言,Assertion
10182,1,一星儿,yī xīng er,,,形,〈口〉极少的一点儿,这伙儿歹徒没有一星儿人性。,A tiny bit
10183,1,摔跤,shuāi jiāo,,,动,跌倒,初学滑冰，难免摔跤,Fall down
10183,2,摔跤,shuāi jiāo,,,名,指这种体育运动项目,他擅长摔跤｜摔跤是传统运动,Wrestling
10183,3,摔跤,shuāi jiāo,,,动,两人徒手相搏，按照一定规则，摔倒对方者为胜,双方运动员正在摔跤。,Wrestle
10185,1,壁画,bì huà,,,名,在建筑物墙壁或天花板上绘制的图画。如敦煌莫高窟壁画,敦煌壁画很著名｜修复古代壁画,Mural
10186,1,界说,jiè shuō,,,名,对某一词语或概念所作的界定；定义,给出明确界说｜界说要准确,Definition
10187,1,亲热,qīn rè,,,形,亲密而热情,久别重逢，大家亲热地拥抱在一起｜亲亲热热的样子,Affectionate
10187,2,亲热,qīn rè,,,动,表示出亲密和热情,去和孩子们亲热亲热。,Show affection
10188,1,气派,qì pài,,,名,人的言行举止所显示的作风、风度,大家气派,Manner
10188,2,气派,qì pài,,,名,某些事物显示出来的气势,这组雄伟的建筑群多有气派!,Imposing manner
10188,3,气派,qì pài,,,形,神气；派头大,他的穿着一点儿也不气派。,Impressive
10189,1,新兵,xīn bīng,,,名,新入伍或入伍不久的战士,训练新兵｜新兵在操练,Recruit
10190,1,字号,zì hao,,,名,商店的名称,这家药铺的字号叫同仁堂。,Shop name
10190,2,字号,zì hao,,,名,借指商店,买茶叶还得上老字号。,Shop
10190,3,字号,zì hào,,,名,字的大小级别。用铅字排版时，采用号数制，即用初号、一号、二号……七号等号数来表示铅字的大小，故称。现在计算机照排技术可使汉字的大小获得任意选择的空间,调整文字字号｜字号要合适,Type size
10192,1,旁人,páng rén,,,代,指别人；当事人以外的人,不要在意旁人｜旁人在围观,Others
10194,1,有识之士,yǒu shí zhī shì,,,,有远见卓识的人,有识之士建言｜听取有识之士意见,Person of insight
10195,1,步子,bù zi,,,名,行走时两脚之间的距离；脚步,迈开步子走路｜步子要稳健,Step
10196,1,衣着,yī zhuó,,,名,身上穿戴的衣、帽、鞋、袜等,衣着入时｜衣着朴素,Clothing
10197,1,旅途,lǚ tú,,,名,旅行路上,旅途览胜｜身在旅途,Journey
10198,1,不要紧,bù yào jǐn,,,,没有关系；不成问题,不要紧，过几天再办也误不了｜有困难不要紧，大家帮助你就行了。,It doesn't matter
10198,2,不要紧,bù yào jǐn,,,,用于复句的前一个分句，表示表面上没有妨碍（后一分句指出实际有影响）,你走了不要紧，这活儿谁来干呢?,Seemingly unimportant (but actually has impact)
10200,1,震荡,zhèn dàng,,,动,震动；动荡,炮声在耳边震荡｜经济震荡,Shake
10201,1,饮用水,yǐn yòng shuǐ,,,名,供饮用和做饭菜等用的水,保证饮用水安全｜饮用水的质量,Drinking water
10202,1,过世,guò shì,,,动,去世,老人已经过世｜他去年过世了,Pass away
10203,1,悬殊,xuán shū,,,形,差距很大,比分悬殊,Vastly different
10204,1,长处,cháng chu,,,名,优点；特长,每个人都有自己的长处和短处。,Strength
10205,1,定律,dìng lǜ,,,名,科学上指被实践证明的、反映事物在一定条件下发展变化规律的论断。如物质不灭定律、能量守恒定律,遵循物理定律｜能量守恒定律,Law
10206,1,保姆,bǎo mǔ,,,名,受雇为人照看老人、小孩或料理家务的妇女,请保姆照顾孩子｜保姆很负责,Nanny
10207,1,利用率,lì yòng lǜ,,,名,人或事物实际的效用与可以发挥的效用二者之间的比率,提高资源利用率｜设备利用率高,Utilization rate
10208,1,泄露,xiè lòu,,,动,（机密）透露,泄露行动计划,Leak
10209,1,日光,rì guāng,,,名,阳光,享受温暖日光｜日光很强烈,Sunlight
10210,1,自筹,zì chóu,,,动,自己筹措,自筹资金,Self-finance
