hanzi,definition_id,definition_cn,example_cn
品种,pǐn zhǒng,738011,"具有共同遗传特点的生物体。","这个水稻品种产量高。"
平等,píng děng,738411,"享有相等待遇。","法律面前人人平等。"
破产,pò chǎn,739011,"债务人不能偿还债务。","那家公司破产了。"
破坏,pò huài,739113,"变革社会制度等。","革命破坏了旧制度。"
燃烧,rán shāo,744411,"物质剧烈氧化发光发热。","木材在火中燃烧。"
人事,rén shì,745411,"人的离合境遇等情况。","他经历了很多人生人事。"
舌头,shé tou,748511,"辨别滋味的器官。","舌头能尝出味道。"
神经,shén jīng,749711,"传递兴奋的组织。","坐骨神经很疼痛。"
实践,shí jiàn,751611,"实行自己的主张。","我们要勇于实践。"
实验,shí yàn,752011,"检验科学理论的活动。","这个实验很有趣。"
思想,sī xiǎng,755811,"客观存在在人脑中的反映。","他的思想很先进。"
台阶,tái jiē,757211,"供人上下的建筑物。","他坐在台阶上休息。"
太太,tài tai,757411,"〈旧时old〉官吏的妻子。","张太太很贤惠。"
太太,tài tai,757412,"〈旧时old〉仆人称女主人。","太太吩咐仆人做事。"
题目,tí mù,759011,"概括诗文内容的词句。","这个题目很难。"
挑战,tiǎo zhàn,760111,"激怒敌人出来打仗。","将军向敌人发起挑战。"
尾巴,wěi ba,764111,"动物身体末端突出部分。","小狗摇着尾巴。"
武器,wǔ qì,766411,"杀伤敌人的器械。","士兵携带武器。"
物质,wù zhì,766811,"独立于意识的客观实在。","世界是物质的。"
吸收,xī shōu,766911,"物体把外界物质吸到内部。","海绵吸收水分。"
吸收,xī shōu,766912,"有机体吸收外部物质。","植物根吸收水分。"
吸收,xī shōu,766913,"物体减弱某些现象。","隔音材料吸收噪音。"
相对,xiāng duì,768711,"性质上互相对立。","大小是相对的概念。"
消化,xiāo huà,770011,"食物在体内变成养料。","饭后需要时间消化。"
效率,xiào lǜ,770911,"有用功占总功的百分比。","这台机器效率很高。"
心理,xīn lǐ,771411,"头脑反映客观现实的过程。","他研究儿童心理。"
兄弟,xiōng di,773311,"弟弟。","他有个小兄弟。"
兄弟,xiōng di,773312,"称呼年纪小的男子。","小兄弟，帮个忙。"
意义,yì yì,777711,"语言文字表示的内容。","这个词有多重意义。"
义务,yì wù,777911,"法律规定应尽的责任。","服兵役是公民义务。"
因素,yīn sù,778111,"构成事物本质的成分。","成功有多种因素。"
营养,yíng yǎng,778611,"维持生命活动的作用。","蔬菜富含营养。"
影子,yǐng zi,778812,"反映出来的物体形象。","湖面映出山的影子。"
主人,zhǔ rén,789211,"接待客人的人。","主人热情招待客人。"
主人,zhǔ rén,789212,"〈旧时old〉雇用仆人的人。","主人吩咐仆人做事。"
自由,zì yóu,792212,"认识规律自觉实践。","这是哲学上的自由。"
综合,zōng hé,792411,"把各部分联合成整体。","综合各方面意见。"
总理,zǒng lǐ,792811,"中国国务院领导人。","总理发表重要讲话。"
总理,zǒng lǐ,792812,"某些国家政府首脑。","德国总理来访。"
总理,zǒng lǐ,792813,"某些政党领导人。","他是党派的总理。"
祖先,zǔ xiān,793511,"家族的上代。","我们祭拜祖先。"
把关,bǎ guān,796511,"把守关口。","士兵在关卡把关。"
霸道,bà dào,796821,"凭借武力统治的政策。","秦始皇实行霸道。"
包袱,bāo fu,798911,"包衣服的布。","他用包袱包衣服。"
包袱,bāo fu,798912,"用布包起来的包儿。","提着包袱出门。"
包围,bāo wéi,799012,"向敌人翼侧和后方进攻。","部队包围了敌军。"
饱和,bǎo hé,799211,"溶液溶质达到最大限度。","这个溶液已经饱和。"
报销,bào xiāo,801012,"报告损坏物件销账。","这些旧设备要报销。"
爆发,bào fā,801112,"通过冲突发生重大变化。","革命爆发了。"
曝光,bào guāng,801311,"使感光材料感光。","这张照片曝光过度。"
暴力,bào lì,801411,"强制的力量。","反对家庭暴力。"
本能,běn néng,802911,"不学就会的本领。","婴儿吃奶是本能。"
比重,bǐ zhòng,804311,"物质重量与同体积水的比值。","黄金的比重很大。"
标本,biāo běn,807012,"供研究用的动植物。","博物馆展出动物标本。"
裁判,cái pàn,812711,"法院对案件的决定。","法院做出终审裁判。"
裁判,cái pàn,812712,"对体育竞赛的评判。","裁判判罚点球。"
参谋,cān móu,813311,"参与指挥制定作战计划的干部。","他是司令部的参谋。"
产业,chǎn yè,816511,"土地、房屋等财产。","他有很多产业。"
场面,chǎng miàn,817511,"戏剧影视中的景况。","这个战争场面很壮观。"
场面,chǎng miàn,817512,"文学作品中生活情景。","小说描写婚宴场面。"
场面,chǎng miàn,817513,"戏曲伴奏人员和乐器。","文场面使用管弦乐器。"
潮流,cháo liú,818511,"潮汐引起的水流运动。","观察潮流的走向。"
沉淀,chén diàn,819011,"溶液中物质沉到底层。","杂质沉淀在底部。"
沉淀,chén diàn,819012,"沉到底层的难溶物质。","杯底有白色沉淀。"
踌躇,chóu chú,823812,"停留。","他在门口踌躇不前。"
代价,dài jià,831211,"获得东西所付出的钱。","这件衣服的代价很高。"
冻结,dòng jié,838411,"液体遇冷凝结。","湖水冻结成冰。"
动力,dòng lì,838911,"使机械作功的作用力。","电力是重要动力。"
动员,dòng yuán,839411,"武装力量转入战时状态。","国家发布动员令。"
对策,duì cè,841211,"回答治国策略。","考生陈述治国对策。"
对应,duì yìng,841811,"系统中性质相当的项。","这两个概念相互对应。"
发火,fā huǒ,843612,"子弹底火药爆发。","枪械发火射击。"
发火,fā huǒ,843613,"〈方dial.〉发生火警。","仓库发火了。"
反馈,fǎn kuì,845511,"放大器输出能量返回输入。","这个电路有正反馈。"
反馈,fǎn kuì,845512,"生理效应影响原因。","药物产生负反馈。"
范畴,fàn chóu,846111,"思维对事物本质的概括。","这是哲学基本范畴。"
方位,fāng wèi,846411,"方向。","确定自己的方位。"
飞跃,fēi yuè,847811,"事物从旧质到新质转化。","技术实现质的飞跃。"
沸腾,fèi téng,848411,"液体急剧转化为气体。","水烧到100度沸腾。"
分红,fēn hóng,848711,"分配工分值。","社员等待年终分红。"
分解,fēn jiě,848811,"整体分成组成部分。","这道题需要分解因式。"
分解,fēn jiě,848812,"物质生成其他物质。","碳酸钙加热分解。"
风暴,fēng bào,849911,"刮大风下大雨的天气。","海上掀起风暴。"
封建,fēng jiàn,850611,"分封土地的政治制度。","周朝实行封建制。"
负担,fù dān,853511,"承当责任、费用等。","他负担全家生活。"
附件,fù jiàn,853811,"随主要文件制定的文件。","合同有几个附件。"
附件,fù jiàn,853812,"随文件发出的物品。","邮件带有附件。"
疙瘩,gē da,857011,"皮肤上的硬块。","他脸上长了个疙瘩。"
隔离,gé lí,857311,"不让聚在一起。","病人需要隔离治疗。"
共鸣,gòng míng,861011,"物体因共振发声。","音叉产生共鸣。"
骨干,gǔ gàn,862311,"长骨的中央部分。","这是股骨的骨干。"
关照,guān zhào,863212,"互相照应。","同事之间要互相关照。"
光彩,guāng cǎi,864011,"颜色和光泽。","宝石发出夺目光彩。"
轨道,guǐ dào,865011,用条形的钢材铺成的供火车、电车等行驶的路线。,"火车在轨道上疾驰。"  
轨道,guǐ dào,865012,天体在宇宙间运行的路线。,"地球沿着椭圆轨道绕太阳运行。"  
轨道,guǐ dào,865013,物体运动的路线,多指有一定规则的,如原子内电子的运动和人造卫星的运行都有一定的轨道。,"电子围绕原子核在特定轨道上运动。"  
航天,háng tiān,867411,指人造卫星、宇宙飞船等在地球附近空间或太阳系空间飞行。,"中国航天事业取得了巨大成就。"  
环节,huán jié,872911,某些低等动物如蚯蚓、蜈蚣等,身体由许多大小差不多的环状结构互相连接组成,这些结构叫做环节,能伸缩。,"蚯蚓的身体由许多环节组成。"  
回报,huí bào,873911,报告(任务、使命等执行的情况)。,"他向上级回报了任务完成情况。"  
机械,jī xiè,876911,利用力学原理组成的各种装置。杠杆、滑轮、机器以及枪炮等都是机械。,"工厂里有许多大型机械。"  
家伙,jiā huo,880811,指工具或武器。,"他手里拿着一件家伙。"  
尖端,jiān duān,882511,尖锐的末梢;顶点。,"这根针的尖端非常锋利。"  
焦点,jiāo diǎn,886111,某些与椭圆、双曲线或抛物线有特殊关系的点。如椭圆的两个焦点到椭圆上任意一点的距离的和是一个常数。,"椭圆的两个焦点对称分布。"  
焦点,jiāo diǎn,886112,平行光线经透镜折射或曲面镜反射后的会聚点。,"放大镜将阳光聚焦在焦点上。"  
结晶,jié jīng,887611,物质从液态(溶液或熔化状态)或气态形成晶体。,"盐水中析出了结晶。"  
解剖,jiě pōu,888211,为了研究人体或动植物体各器官的组织构造,用特制的刀、剪把人体或动植物体剖开。,"医生正在解剖青蛙。"  
解体,jiě tǐ,888411,物体的结构分解。,"飞船在重返大气层时解体了。"  
境界,jìng jiè,892211,土地的界限。,"这条河是两国的境界。"  
咀嚼,jǔ jué,894311,用牙齿磨碎食物。,"他慢慢咀嚼着食物。"  
客户,kè hù,898811,〈旧时old〉指以租佃为生的人家。,"这些客户靠租种地主的土地为生。"  
客户,kè hù,898812,〈旧时old〉指外地迁来的住户。,"村里新来了几户客户。"  
喇叭,lǎ ba,902511,管乐器,上细下粗,最下端的口部向四周张开,可以扩大声音。,"他吹响了喇叭。"  
立场,lì chǎng,905111,认识和处理问题时所处的地位和所抱的态度。,"我们要站稳立场。"  
立体,lì tǐ,905312,几何体。,"这个模型是一个立体图形。"  
灵魂,líng hún,908211,迷信的人认为附在人的躯体上作为主宰的一种非物质的东西,灵魂离开躯体后人即死亡。,"有些人相信灵魂不灭。"  
流氓,liú máng,909711,原指无业游民,后来指不务正业、为非作歹的人。,"警察抓住了那个流氓。"  
论证,lùn zhèng,910811,逻辑学指引用论据来证明论题的真实性的论述过程,是由论据推出论题时所使用的推理形式。,"他的论证很有说服力。"  
麻痹,má bì,911611,神经系统的病变引起的身体某一部分知觉能力的丧失和运动机能的障碍。,"他的左腿因麻痹无法动弹。"  
码头,mǎ tou,911911,在江河沿岸及港湾内,供停船时装卸货物和乘客上下的建筑。,"船停靠在码头。"  
迷信,mí xìn,915411,信仰神仙鬼怪等。,"不要迷信鬼神。"  
面貌,miàn mào,916111,脸的形状;相貌。,"她的面貌清秀。"  
沐浴,mù yù,919511,洗澡。,"他每天沐浴。"  
内涵,nèi hán,920311,一个概念所反映的事物的本质属性的总和,也就是概念的内容。例如‘人’这个概念的内涵是能制造工具并使用工具进行劳动的动物。,"这个词的内涵很丰富。"  
屁股,pì gu,925311,臀部。,"他摔了一跤，屁股疼。"  
平行,píng xíng,927612,两个平面或一个平面内的两条直线或一条直线与一个平面始终不能相交,叫做平行。,"这两条线是平行的。"  
气象,qì xiàng,932311,大气的状态和现象,例如刮风、闪电、打雷、结霜、下雪等。,"今天的气象条件良好。"  
桥梁,qiáo liáng,934711,架在水面上或空中以便行人、车辆等通行的建筑物。,"这座桥梁横跨长江。"  
渠道,qú dào,938511,在河湖或水库等的周围开挖的水道,用来引水排灌。,"农民挖了一条灌溉渠道。"  
人格,rén gé,941211,人的性格、气质、能力等特征的总和。,"他的人格高尚。"  
三角,sān jiǎo,944411,三角学的简称。,"他正在学习三角。"  
刹车,shā chē,945111,用闸等止住车的行进。,"司机紧急刹车。"  
刹车,shā chē,945112,停止动力来源,使机器停止运转。,"他关掉了机器的刹车。"  
筛选,shāi xuǎn,945311,利用筛子进行选种、选矿等。,"农民正在筛选种子。"  
上游,shàng yóu,946311,河流接近发源地的部分。,"这条河的上游水流湍急。"  
渗透,shèn tòu,949111,两种气体或两种可以互相混合的液体,彼此通过多孔性的薄膜而混合。,"水渗透了土壤。"  
师范,shī fàn,951211,师范学校的简称。,"她毕业于一所师范。"  
视线,shì xiàn,955311,用眼睛看东西时,眼睛和物体之间的假想直线。,"他的视线被挡住了。"  
水利,shuǐ lì,958711,利用水力资源和防止水的灾害。,"政府重视水利建设。"  
思维,sī wéi,959411,在表象、概念的基础上进行分析、综合、判断、推理等认识活动的过程。思维是人类特有的一种精神活动,是从社会实践中产生的。,"他的思维很敏捷。"  
素食,sù shí,960811,素的饭食和点心。,"她喜欢吃素食。"  
素质,sù zhì,960911,指事物本来的性质。,"提高全民素质很重要。"  
弹性,tán xìng,962811,物体受外力作用变形后,除去作用力时能恢复原来形状的性质。,"橡胶具有良好的弹性。"  
同志,tóng zhì,968011,为共同的理想、事业而奋斗的人,特指同一个政党的成员。,"同志们一起努力。"  
统计,tǒng jì,968211,指对某一现象有关的数据的搜集、整理、计算和分析等。,"他负责统计数据。"  
推翻,tuī fān,969911,用武力打垮旧的政权,使局面彻底改变。,"革命推翻了旧政权。"  
网络,wǎng luò,973311,网状的东西。,"互联网是一个巨大的网络。"  
威力,wēi lì,973811,强大的使人畏惧的力量。,"这种武器威力巨大。"  
卫星,wèi xīng,975511,按一定轨道绕行星运行的天体,本身不能发光。,"月亮是地球的卫星。"  
牺牲,xī shēng,979611,为祭祀宰杀的牲畜。,"古代用牛羊作为牺牲。"  
媳妇,xí fù,979811,儿子的妻子。,"她是个好媳妇。"  
向导,xiàng dǎo,984111,带路。,"他为我们做向导。"  
烟花,yān huā,993911,指春天艳丽的景物。,"春天的烟花很美。"  
掩护,yǎn hù,995911,对敌采取警戒、牵制、压制等手段,保障部队或人员行动的安全。,"战士们互相掩护撤退。"  
野蛮,yě mán,998011,不文明;没有开化。,"这种行为太野蛮了。"  
遗产,yí chǎn,999611,死者留下的财产,包括财物、债权等。,"他继承了一笔遗产。"  
意识,yì shí,1001611,人的头脑对于客观物质世界的反映,是感觉、思维等各种心理过程的总和,其中的思维是人类特有的反映现实的高级形式。,"他意识到了问题的严重性。"  
抑制,yì zhì,1002311,大脑皮层的两种基本神经活动过程之一。是在外部或内部刺激下产生的,作用是阻止皮层的兴奋,减弱器官机能的活动。,"药物抑制了疼痛。"  
油漆,yóu qī,1005811,泛指油类和漆类涂料。,"他在刷油漆。"  
幼稚,yòu zhì,1006111,年纪小。,"他的想法很幼稚。"  
诱惑,yòu huò,1006211,使用手段,使人认识模糊而做坏事。,"他经不起诱惑。"  
元首,yuán shǒu,1008011,君主。,"他是国家的元首。"  
战斗,zhàn dòu,1014011,敌对双方所进行的武装冲突,是达到战争目的的主要手段。,"战士们英勇战斗。"  
战略,zhàn lüè,1014111,指导战争全局的计划和策略。,"制定战略很重要。"  
占领,zhàn lǐng,1014511,用武装力量取得(阵地或领土)。,"军队占领了高地。"  
占有,zhàn yǒu,1014611,占据。,"他占有了大量资源。"  
阵容,zhèn róng,1017011,作战队伍的外貌。,"这支队伍阵容强大。"  
支出,zhī chū,1019911,付出去;支付。,"公司支出了大量资金。"  
支柱,zhī zhù,1020311,起支撑作用的柱子。,"这根支柱很坚固。"  
知觉,zhī jué,1020411,反映客观事物的整体形象和表面联系的心理过程。知觉是在感觉的基础上形成的,比感觉复杂、完整。,"他失去了知觉。"  
重心,zhòng xīn,1024811,物体内各点所受的重力产生合力,这个合力的作用点叫做这个物体的重心。,"保持重心稳定很重要。"  
重心,zhòng xīn,1024812,三角形三条中线相交于一点,这个点叫做三角形的重心。,"这个三角形的重心在这里。"  
周转,zhōu zhuǎn,1025811,企业的资金从投入生产到销售产品而收回货币,再投入生产,这个过程一次又一次地重复进行,叫做周转。,"资金周转很快。"  
主流,zhǔ liú,1026811,干流。,"这条河的主流很宽。"  
主题,zhǔ tí,1027011,文学、艺术作品中所表现的中心思想,是作品思想内容的核心。,"这篇文章的主题明确。"  
资本,zī běn,1030811,用来生产或经营以求牟利的生产资料和货币。,"他投入了大量资本。"  
走廊,zǒu láng,1032811,屋檐下高出平地的走道,或房屋之间有顶的走道。,"走廊里挂满了画。"  
塌实,tā shi,2013411,(工作或学习的态度)切实;不浮躁。,"他工作很塌实。"  
锥度,zhuī dù,2015411,柱形物体的横剖面向一端逐渐缩小的形式。,"这个零件有锥度。"  
芙蓉,fú róng,2017411,木芙蓉。,"芙蓉花开得很美。"  
傀儡,kuǐ lěi,2022111,木偶戏里的木头人。,"他是别人的傀儡。"  
木犀,mù xi,2032511,常绿小乔木或灌木,叶子椭圆形,花小,白色或暗黄色,有特殊的香气,结核果,卵圆形。花供观赏,又可做香料。,"木犀花开时香气四溢。"  
木犀,mù xi,2032512,这种植物的花。,"她喜欢木犀的香味。"  
轱辘,gū lu,2033611,车轮子。,"车的轱辘坏了。"  
想像,xiǎng xiàng,2034711,心理学上指在知觉材料的基础上,经过新的配合而创造出新形象的心理过程。,"他的想像力很丰富。"  
低回,dī huí,2036111,徘徊(huái)。,"他在河边低回。"  
文字,wén zì,2040611,记录语言的符号,如汉字、拉丁字母等。,"文字是文明的载体。"  
文字,wén zì,2040612,语言的书面形式,如汉文、英文等。,"他精通多种文字。"  
础石,chǔ shí,2041411,垫在房屋柱子底下的石头。,"础石支撑着整个建筑。"  
豆子,dòu zi,2043311,豆类作物。,"田里种满了豆子。"  
津贴,jīn tiē,2043411,工资以外的补助费,也指供给制人员的生活零用钱。,"他领到了一笔津贴。"  
羽毛,yǔ máo,2043811,鸟类身体表面所长的毛,有保护身体、保持体温、帮助飞翔等作用。,"鸟的羽毛很漂亮。"  
坝子,bà zi,2044311,same as坝,bà。,"坝子拦住了河水。"  
渣滓,zhā zǐ,2044711,物品提出精华后剩下的东西。,"过滤后剩下的渣滓要扔掉。"  
渲染,xuàn rǎn,2045911,国画的一种画法,用水墨或淡的色彩涂抹画面,以加强艺术效果。,"这幅画渲染得很美。"  
刻板,kè bǎn,2046011,在木板或金属板上刻字或图(或用化学方法腐蚀而成),使成为印刷用的底版。,"刻板印刷很古老。"  
烟火,yān huǒ,2053423,烽火;战火。,"战场上烟火弥漫。"  
婵娟,chán juān,2054211,(姿态)美好,多用来形容女子。,"她姿态婵娟。"  
饥荒,jī huang,2054511,庄稼收成不好或没有收成。,"那年闹饥荒。"
