hanzi,definition_id,definition_cn,example_cn
月,26112,"计时的单位,公历1年分为12个月。","月份|月历|二月"  
目,27315,"生物学中把同一纲的生物按照彼此相似的特征分为几个群叫做目,如鸟纲中有雁形目、鸡形目、鹤形目等,松柏纲中有银杏目、松柏目等。目以下为科。","雁形目|鸡形目|鹤形目|松柏目|银杏目"  
根,28118,"方根的简称。","根号|四次根|根式"  
根,28119,"一元方程的解。","根值|求根"  
将,28315,"下象棋时攻击对方的‘将’或‘帅’。","将军|将死"  
眼,28614,"围棋用语,成片的白子或黑子中间的空儿,在这个空儿中对手不能下成活棋。","探春因一块棋受了敌,算来算去总得了两个眼"  
白,29111,"像霜或雪的颜色,是物体被日光或与日光相似的光线照射,各种波长的光都被反射时呈现的颜色(跟‘黑’相对)","雪白|银白|乳白|苍白|白纸"  
白,29124,"指地方话。","白话|京白|苏白|粤白"  
马,29211,"哺乳动物,头小,面部长,耳壳直立,颈部有鬣,四肢强健,每肢各有一蹄,善跑,尾生有长毛。是重要的力畜之一,可供拉车、耕地、乘骑等用。皮可制革。","马匹|马车|马鞍|马鞭|马厩"  
金,29314,"金属元素,符号Au(aurum)。黄色,质软,延展性强,化学性质稳定。是贵重金属,用来制造货币、装饰品等。","金币|金条|金饰|金器|金锭"  
市,29612,"买卖货物","市集|市场|市井"  
市,29614,"行政区划单位,分直辖市和市。设市的地方都是工商业集中处或政治、文化的中心。","城市|都市|市区|市镇|市政"  
风,30411,"跟地面大致平行的空气流动,是由于气压分布不均匀而产生的。","风力|风向|风速"  
步,32114,"旧制长度单位,1步等于5尺。","四十六亩三十步"
线,32812,"几何学上指一个点任意移动所构成的图形,有长,没有宽和厚。分为直线和曲线两种。","直线|曲线|线段"  
百,34511,"数目,十个十。","百位|百倍|百千|一百"  
影,34915,"〈旧时〉指祖先的画像。","影堂"  
热,35511,"物体内部分子不规则运动放出的一种能。物质燃烧都能产生热。","热量|热能|热源"  
万,39621,"<数目>十个千。","万位|十万|万级|万贯"
律,40412,"中国古代审定乐音高低的标准,把乐音分为六律和六吕,合称十二律。","律吕|音律"  
权,41011,"秤锤。","铁权"  
九,41411,"数目,八加一后所得。","九位|九十九|九九八十一"  
师,42718,"军队的编制单位,隶属于军或集团军,下辖若干旅或团。","师长|第十一师"  
养,45519,"(毛发)留长;蓄起不剪。","养发|养须|养辫|养髯|养鬓"  
斗,46111,"容量单位。10升等于1斗,10斗等于1石。","斗量|斗斛|斗石|斗船|斗桶"  
斗,46114,"圆形的指纹。","斗纹|斗箕|斗指|斗形纹|斗指纹"  
斗,46115,"古代盛酒的器具。","斗酒|斗卮|斗杯|斗觞|斗器"  
斗,46116,"二十八宿之一。通称南斗。","斗宿|南斗|北斗|斗柄|斗杓"  
团,46217,"军队的编制单位,一般隶属于师,下辖若干营。","团长|团部|团营|团旅|团级"  
团,46218,"青少年的政治性组织,如儿童团、青年团等,在中国特指中国共产主义青年团。","共青团|少先队|儿童团|青年团|学生团"  
团,46219,"〈旧时〉某些地区相当于乡一级的政权机关。","团练|团保|团防|团总|团局"  
标,47811,"树木的末梢。","标枝|标末|标梢|标颠|标顶"  
标,47818,"清末陆军编制之一,相当于后来的团。","标统|标营|标队|标兵|标署"  
值,49513,"用数字表示的量或数学运算所能得到的每一个结果,如ɑ取值10, b取值8,则代数式ɑb的值为10×8=80。","数值|值域|赋值|求值|极值"  
士,50211,"指未婚的男子。","士人|士子|士夫|士族|士庶"  
士,50212,"介于大夫和庶民之间的阶层。","士绅|士林|士流|士类|士族"  
属,51512,"生物学中把同一科的生物群按照彼此相似的程度再分为不同的群,叫做属,如猫科有猫属、虎属等,禾本科有稻属、小麦属、燕麦属等。属以下为种。","猫属|虎属|稻属|小麦属|燕麦属"  
某,52513,"用来代替自己或自己的名字,如‘某,张飞是也。’又如姓张的自称‘张某’或‘张某人’。","某人|某氏|某甲|某乙|某姓"  
黄,54011,"像丝瓜花或向日葵花的颜色。","黄色|金黄|鹅黄|橘黄|土黄"  
华,54522,"出现在太阳或月亮周围的彩色光环,内紫外红。","华彩|华光|华晕|华环|日华"  
底,55526,"底数的简称。","底数|对数底|指数底|幂底|底公式"  
派,56515,"江河的支流。","支派|流派|派别|派系|派衍"  
排,57123,"军队的编制单位,连的下一级,班的上一级。","排长|排部|排班|排连|排级"  
像,57412,"从物体发出的光线经平面镜、球面镜、透镜、棱镜等反射或折射后所形成的与原物相似的图景。分为实像和虚像。","实像|虚像|成像|镜像|像差"  
批,58612,"刮;削。","批削|批皮|批鳞|批根|批枝"  
纪,58822,"义同‘记’,主要用于‘纪念、纪年、纪元、纪传’等,别的地方多用‘记’。","纪念|纪年|纪元|纪传|纪事"  
妈,59111,"母亲。","妈妈|妈咪|妈祖|妈姐|奶妈"  
差,59252,"减法运算中,一个数减去另一个数所得的数。如6-4=2中,2是差。","差数|差值|差式|差法|差减"  
刻,60412,"用漏壶记时,一昼夜共一百刻。","刻漏|刻度|刻时|刻数|刻表"  
血,60621,"人或高等动物体内循环系统中的液体组织,暗赤或鲜红色,有腥气,由血浆、血细胞和血小板构成。作用是把养分和激素输送给体内各个组织,收集废物送给排泄器官,调节体温和抵御病菌等。","血液|血脉|血管|血型|血球"  
号,61134,"号筒。","号角|号筒|号管|号声|号音"  
号,61135,"军队或乐队里所用的西式喇叭。","军号|铜号|小号|长号|短号"  
铁,61811,"金属元素,符号Fe(ferrum)。银白色,质硬,延展性强,纯铁磁化和去磁都很快,含杂质的铁在湿空气中容易生锈,是炼钢的主要原料,用途很广。","铁器|铁块|铁矿|铁轨|铁钉"  
皮,62519,"由于受申斥或责罚次数过多而感觉无所谓。","皮脸|皮实|皮厚|皮糙|皮赖"  
洋,66012,"地球表面上被水覆盖的广大地方,约占地球面积的十分之七,分成四个部分,即太平洋、大西洋、印度洋、北冰洋。","海洋|大洋|洋流|洋面|洋底"  
喜,66413,"称怀孕为‘有喜’。","有喜|喜脉|喜信|喜病|害喜"  
晚,67115,"后辈对前辈自称(用于书信)","晚生|晚辈|晚学|晚进|晚末"  
脑,67511,"人体中管全身知觉、运动和思维、记忆等活动的器官,是神经系统的主要部分,由前脑、中脑和后脑构成。高等动物的脑只有管全身感觉、运动的作用。","大脑|脑髓|脑力|脑壳|脑颅"  
汉,67711,"朝代,公元前206—公元220,刘邦所建。","汉朝|汉代|汉室|汉人|汉服"  
汉,67713,"元末农民起义领袖陈友谅所建的政权(公元1360—1363)。","陈汉|汉国|汉王|汉军|汉政"  
油,67911,"动植物体内所含的液态脂肪或矿产的碳氢化合物的混合液体。通常把固态的动物脂肪也叫油。","油脂|油料|油水|油膏|油花"  
错,68720,"打磨玉石的石头。","错石|错刀|错具|错砣|错磨"  
波,69012,"振动在介质中的传播过程。波是振动形式的传播,介质质点本身并不随波前进。最常见的有机械波和电磁波。","波动|波幅|波长|波段|波频"  
游,69513,"交游;来往。","游交|游从|游处|游宴|游访"  
否,70012,"表示不同意,相当于口语的‘不’。","否决|否认|否定|否则|可否"  
策,70613,"中国数学上曾经用过的一种计算工具,形状跟‘筹’相似。清代初期把乘法的九九口诀写在上面以计算乘除和开平方。","策算|策数|策筹|策子|策板"  
策,70617,"赶马用的棍子,一端有尖刺,能刺马的身体,使它向前跑。","马策|策鞭|策马|策骑|策杖"  
酸,73111,"电解质电离时所生成的阳离子全部是氢离子的化合物。能跟碱中和生成盐和水,跟某些金属化合生成盐和氢气,水溶液有酸味,可使石蕊试纸变红。如盐酸、硫酸等。","硫酸|盐酸|硝酸|醋酸|磷酸"  
药,76611,"药物。","药丸|药片|药粉|药水|药膏"  
牛,77111,"哺乳动物,身体大,趾端有蹄,头上长有一对角,尾巴尖端有长毛。是反刍类动物,力气大,供役使、乳用或乳肉两用,皮、毛、骨等都有用处。中国常见的有黄牛、水牛、牦牛等几种。","黄牛|水牛|牦牛|奶牛|耕牛"  
练,78012,"把生丝煮熟,使它柔软洁白。","练丝|练染|练漂|练熟|练白"  
担,80312,"重量单位,100斤等于1担。","担石|担米|担柴|担粮|担盐"  
龙,81111,"中国古代传说中的神异动物,身体长,有鳞,有角,有脚,能走,能飞,能游泳,能兴云降雨。","龙王|龙宫|龙袍|龙舟|龙灯"  
宣,81212,"宣召。","宣召|宣入|宣见|宣旨|宣谕"  
爷,81412,"〈方〉祖父。","爷爷|爷娘|爷孙|爷俩|爷儿"  
烟,84421,"物质燃烧时产生的混有未完全燃烧的微小颗粒的气体。","烟雾|烟尘|烟灰|烟囱|烟缕"  
纸,84711,"写字、绘画、印刷、包装等所用的东西,多用植物纤维制造。","纸张|纸片|纸笔|纸墨|纸本"  
盾,85411,"盾牌。","盾牌|盾甲|盾矛|盾卫|盾防"  
银,86711,"金属元素,符号Ag(argentum)。白色,质软,延展性强,导电、导热性能好,化学性质稳定。用途很广。","银两|银币|银器|银饰|银锭"  
佛,87011,"佛陀的简称。","佛祖|佛像|佛寺|佛经|佛号"  
胞,87211,"胞衣。","胞衣|胎盘|胞囊|胞浆|胞膜"  
圆,87712,"圆周的简称。","圆周|圆弧|圆形|圆环|圆面"  
圆,87716,"中国的本位货币单位,一圆等于十角或一百分。","银圆|铜圆|金圆|圆钱|圆币"  
额,89711,"人的眉毛以上头发以下的部分,也指某些动物头部大致与此相当的部位。","额头|额角|额骨|额面|额颅"  
席,90013,"特指议会中的席位,表示当选的人数。","席位|席次|席数|议席|座席"  
露,90121,"凝结在地面或靠近地面的物体表面上的水珠。是接近地面的空气温度逐渐下降（仍高于0℃）时，使所含水汽达到饱和后形成的。","露水|露珠|晨露|夜露|霜露"  
钟,90311,"响器,中空,用铜或铁制成。","钟声|钟鸣|钟楼|钟鼓|钟鼎"  
肉,90511,"人或动物体内接近皮的部分的柔韧的物质。某些动物的肉可以吃。","肉块|肉片|肉丝|肉末|肉丸"  
玉,91411,"矿物,硬玉和软玉的统称,质地细而有光泽,可用来制造装饰品或做雕刻的材料。","玉石|玉器|玉雕|玉佩|玉镯"  
烧,92317,"过多的肥料使植物体枯萎或死亡。","烧苗|烧根|烧叶|烧芽|烧死"  
夏,92912,"朝代,约公元前2070—公元前1600,禹(一说启)所建。","夏朝|夏代|夏后|夏王|夏历"  
汽,96111,"液体或某些固体受热而变成的气体,例如水变成的水蒸气。","汽化|汽机|汽船|汽笛|汽灯"  
遗,96621,"遗失。","遗落|遗弃|遗失|遗漏|遗物"  
弹,96911,"由于一物的弹性作用使另一物射出去。","弹射|弹弓|弹丸|弹力|弹跳"  
宝,97213,"旧时的一种赌具,方形,多用牛角制成,上有指示方向的记号。","宝盒|宝盘|宝局|宝摊|宝押"  
雪,97411,"空气中降落的白色结晶，多为六角形，是气温降低到0℃以下时，空气层中的水蒸气凝结而成的。","雪花|雪片|雪粒|雪人|雪景"  
摆,98014,"悬挂在细线上的能做往复运动的重锤的装置。摆的长度不变且振幅不太大时,运动的周期恒等。","摆锤|摆钟|摆轮|摆线|摆幅"  
摆,98015,"钟表或精密仪器上用来控制摆动频率的机械装置。","摆轮|摆轴|摆丝|摆件|摆仪"  
镇,98315,"行政区划单位,一般由县一级领导。","镇子|镇区|镇公所|镇政府|镇守"  
镇,98316,"较大的市集。","集镇|镇市|镇街|镇店|镇场"  
午,100911,"地支的第七位。","午时|午月|午日|午正|午夜"  
套,101721,"用绳子等结成的环状物。","套环|套索|套绳|套圈|套扣"  
皇,102811,"盛大。","皇皇|皇天|皇帝|皇权|皇位"  
衡,103811,"秤杆。泛指称重量的器具。","衡器|衡具|衡石|衡钧|衡权"  
奶,105211,"乳房。","奶头|奶水|奶汁|奶房|奶罩"  
肥,107116,"指由不正当的收入而富裕。","肥私|肥己|肥家|肥润|肥利"  
矿,107811,"矿床。","矿藏|矿脉|矿体|矿层|矿苗"  
阴,108911,"中国古代哲学认为存在于宇宙间的一切事物中的两大对立面之一（与阳相对）","阴阳|阴气|阴柔|阴面|阴仪"  
阴,108913,"中国气象上,天空80%以上被云遮住时叫做阴。泛指空中云层密布,不见阳光或偶见阳光的天气。","阴天|阴云|阴雨|阴沉|阴晦"  
麻,109621,"大麻、亚麻、苎麻、黄麻、剑麻、蕉麻等植物的统称。","麻类|麻株|麻田|麻秆|麻皮"  
麻,109622,"麻类植物的纤维,是纺织等工业的重要原料。","麻纱|麻线|麻布|麻绳|麻袋"  
股,109711,"大腿。","股骨|股肱|股肉|股腿|股间"  
洞,109913,"说数字时用来代表‘0’。","洞洞|洞幺|洞拐|洞勾|洞两"  
甲,111611,"天干的第一位。","甲子|甲寅|甲辰|甲午|甲申"  
奴,113812,"青年女子自称(多见于早期白话)","奴家|奴身|奴儿|奴婢|奴子"  
航,114511,"船。","航船|航舟|航舶|航帆|航轮"  
虎,116921,"哺乳动物,毛黄色,有黑色的斑纹。听觉和嗅觉都很敏锐,性凶猛,力气大,夜里出来捕食鸟兽,有时伤害人。","虎豹|虎狼|虎啸|虎穴|虎威"  
尾,117722,"二十八宿之一。","尾宿|尾火|尾箕|尾星|尾度"  
旅,118213,"军队的编制单位,隶属于师,下辖若干团或营。","旅长|旅部|旅团|旅营|旅级"  
茶,119311,"常绿灌木,叶子长椭圆形,花白色,种子有硬壳。嫩叶加工后就是茶叶。是中国南方最重要的经济作物之一。","茶树|茶叶|茶花|茶籽|茶油"  
鬼,119411,"迷信的人所说的人死后的灵魂。","鬼魂|鬼怪|鬼神|鬼魅|鬼影"  
梦,119511,"睡眠时局部大脑皮层还没有完全停止活动而引起的脑中的表象活动。","梦境|梦乡|梦呓|梦游|梦魇"  
鲁,121313,"周朝国名,在今山东曲阜一带。","鲁国|鲁地|鲁人|鲁风|鲁语"  
醒,121913,"指和(huó)好面团后,放一会儿,使面团软硬均匀。","醒面|醒发|醒酵|醒透|醒好"  
胸,123411,"躯干的一部分,在颈和腹之间。","胸膛|胸脯|胸口|胸骨|胸肌"  
宋,125211,"周朝国名,在今河南商丘一带。","宋国|宋地|宋人|宋风|宋语"  
棉,125411,"草棉和木棉的统称,通常多指草棉。","棉花|棉株|棉田|棉桃|棉铃"  
宇,128313,"年代地层单位的最高一级,跟宇相应的地质年代叫做宙。","宇界|宇层|宇级|宇系|宇代"  
港,128513,"江河的支流(多用于河流名),如江山港、常山港(都在浙江)。","港汊|港流|港道|港溪|港河"  
炮,129631,"口径在2厘米以上,能发射炮弹的重型射击武器,火力强,射程远。种类很多,有迫击炮、榴弹炮、加农炮、高射炮等。也叫火炮。中国古代的炮最早是用机械发射石头的。火药发明后,改为用火药发射铁弹丸。","火炮|炮台|炮筒|炮膛|炮身"  
辑,129811,"编辑;辑录。","辑录|辑集|辑佚|辑校|辑刊"  
卡,129911,"卡路里的简称。","卡值|卡数|卡量|卡计|卡算"  
抵,131312,"抵挡;抵抗。","抵抗|抵御|抵敌|抵拒|抵当"  
脉,131421,"动脉和静脉的统称。","脉络|脉管|脉息|脉理|脉象"  
脉,131422,"脉搏的简称。","脉动|脉率|脉数|脉诊|脉案"  
瓦,134221,"铺屋顶用的建筑材料,一般用泥土烧成,也有用水泥等材料制成的,形状有拱形的、平的或半个圆筒形的等。","瓦片|瓦当|瓦垄|瓦檐|瓦屋"  
尺,135221,"长度单位。10寸等于1尺,10尺等于1丈。1市尺合1/3米。","尺寸|尺码|尺子|尺度|尺规"  
梁,135811,"水平方向的长条形承重构件。木结构屋架中专指顺着前后方向架在柱子上的长木。","梁木|梁柱|梁架|梁栋|梁枋"  
丈,136211,"长度单位,10尺等于1丈,10丈等于1引。","丈量|丈尺|丈地|丈亩|丈步"  
钻,136321,"打眼儿用的工具,有手摇的、电动的、风动的多种。","钻头|钻机|钻床|钻杆|钻具"  
键,136711,"使轴与齿轮、皮带轮等连接并固定在一起的零件,一般是用钢制的长方块,装在被连接的两个机件上预先制成的键槽中。","键槽|键块|键条|键销|键合"  
键,136712,"插门的金属棍子。","门键|键条|键销|键锁|键栓"  
斤,137011,"重量单位。旧制1斤等于16两,市制1斤后改10两,合500克。","斤两|斤数|斤重|斤秤|斤量"  
陷,139911,"陷阱。","陷阱|陷坑|陷井|陷兽|陷网"  
赤,141911,"比朱红稍浅的颜色。","赤色|赤红|赤褐|赤紫|赤黑"  
勒,144621,"带嚼子的马笼头。","勒口|勒马|勒嚼|勒环|勒具"  
糖,145911,"有机化合物的一类,可分为单糖、双糖和多糖三种,是人体内产生热能的主要物质,如葡萄糖、蔗糖、乳糖、淀粉等。","糖类|糖分|糖原|糖酵|糖化"  
糖,145912,"食糖的统称,包括白糖、红糖、冰糖等。","白糖|红糖|冰糖|砂糖|糖块"  
鉴,149611,"镜子(古代用铜制成)。","铜鉴|金鉴|鉴台|鉴匣|鉴照"  
雅,152123,"西周朝廷上的乐歌,《诗经》中诗篇的一类。","雅乐|雅音|雅颂|雅诗|雅章"  
腹,152611,"躯干的一部分。人的腹在胸的下面,动物的腹在胸的后面。","腹部|腹肌|腹心|腹腔|腹背"
以下是按您的要求生成的词组结果：

雾,153011,"气温下降时,在接近地面的空气中,水蒸气凝结成的悬浮的微小水滴。","雾气|浓雾|薄雾|雾霾|晨雾"
泉,155812,"泉眼。","泉水|清泉|温泉|喷泉|矿泉"
傅,156911,"辅助;教导。","师傅|太傅|傅导|傅弼|傅教"
碗,158211,"盛饮食的器具,口大底小,一般是圆形的。","饭碗|汤碗|瓷碗|木碗|碗筷"
纲,158513,"生物学中把同一门的生物按照彼此相似的特征和亲缘关系再分为若干群,每一群叫一纲","纲目|纲属|鱼纲|鸟纲|哺乳纲"
吓,160021,"恐吓;恫吓。","恐吓|威吓|吓唬|恫吓|吓阻"
饮,160914,"〈中医〉指稀痰。","痰饮|饮症|停饮|饮邪|饮病"
猫,161011,"哺乳动物,面部略圆,躯干长,耳壳短小,眼大","家猫|野猫|猫科|猫眼|猫爪"
莲,162611,"多年生草本植物,生在浅水中,地下茎肥大而长","莲花|莲子|莲藕|莲蓬|莲叶"
寿,163114,"祝人寿辰。","祝寿|寿辰|寿宴|寿礼|寿星"
蜂,163611,"昆虫,种类很多,有毒刺,能蜇人","蜜蜂|蜂群|蜂巢|蜂毒|蜂王"
胶,165311,"某些具有黏性的物质,用动物的皮、角等熬成","胶水|胶合|鱼胶|胶带|胶粘"
舌,166611,"舌头。","舌尖|舌苔|口舌|舌战|舌根"
瘦,170711,"脂肪少;肉少","瘦弱|消瘦|瘦小|瘦长|瘦骨"
腊,172721,"古代在农历十二月里合祭众神叫做腊","腊月|腊八|腊祭|腊日|腊梅"
晋,175013,"周朝国名,在今山西、河北南部及陕西中部、河南西北部","晋国|晋地|晋城|晋阳|晋南"
晋,175014,"朝代,公元265—420,司马炎所建","西晋|东晋|晋朝|晋代|晋书"
晋,175015,"后晋","后晋|晋高祖|晋出帝|晋末帝"
晋,175016,"山西的别称","晋商|晋剧|晋语|晋北|晋中"
晋,175017,"姓","晋姓|晋文公|晋景公"
箭,175411,"古代兵器,长约二三尺的细杆装上尖头","弓箭|箭矢|箭靶|箭术|箭囊"
碱,176711,"电解质电离时所生成的阴离子全部是氢氧根离子的化合物","碱液|强碱|碱度|碱化|碱金属"
碱,176712,"含有10个分子结晶水的碳酸钠,无色晶体,用作洗涤剂","纯碱|碱面|洗碱|碱块|碱粉"
锁,176911,"安在门、箱子、抽屉等的开合处或铁链的环孔中","门锁|锁具|锁芯|锁链|锁孔"
剪,178111,"剪刀。","剪刀|剪裁|剪纸|剪断|剪枝"
梯,182011,"便利人上下的用具或设备,常见的是梯子、楼梯","梯子|楼梯|云梯|阶梯|梯田"
尿,186021,"人或动物体内,由肾脏产生,从尿道排泄出来的液体","尿液|尿布|排尿|尿检|尿频"
翼,186911,"鸟类的飞行器官,由前肢演化而成,上面生有羽毛","羽翼|翼展|右翼|左翼|翼龙"
翼,186912,"飞机或滑翔机等飞行工具两侧伸出像鸟翼的部分","机翼|尾翼|翼型|翼梢|翼肋"
翼,186914,"二十八宿之一","翼宿|翼火蛇|翼轸"
姆,187212,"母亲。","阿姆|姆妈|娘姆|姆娘|亲姆"
鞭,188311,"鞭子。","马鞭|鞭打|鞭策|鞭梢|鞭刑"
翅,188411,"昆虫的飞行器官,一般是两对,呈膜状","翅膀|翅脉|翅果|蝉翅|鳞翅"
翅,188412,"翅果向外伸出呈翅状的果皮","翅膜|翅翼|翅鞘|翅瓣|翅基"
赋,189114,"中国古代文体,盛行于汉魏六朝,是韵文和散文的综合体","汉赋|辞赋|赋文|赋体|赋格"
藻,190012,"泛指生长在水中的绿色植物,也包括某些水生的高等植物","水藻|海藻|藻类|藻井|藻饰"
炭,190911,"木炭的通称","木炭|炭火|炭盆|炭黑|炭疽"
寸,195611,"长度单位。10分等于1寸,10寸等于1尺","寸金|寸断|寸心|寸步|寸土"
坛,197113,"某些会道门设立的拜神集会的组织","坛堂|坛主|坛场|坛事|坛规"
脖,198511,"脖子。","脖颈|脖领|围脖|脖套|脖梗"
硝,200411,"泛称某些矿物盐,如硝石、硭硝等","硝石|芒硝|硝烟|硝化|硝酸"
歇,202313,"〈方〉睡。","歇夜|歇觉|歇晌|歇宿|歇卧"
嘻,202411,"〈叹词〉表示惊叹","嘻叹|嘻笑|嘻哈|嘻闹|嘻戏"
亭,202911,"亭子。","凉亭|亭台|亭阁|亭榭|亭柱"
砖,203911,"把黏土等做成的坯放在窑里烧制而成的建筑材料","砖块|砖墙|砖窑|砖瓦|砖雕"
绵,204611,"丝绵。","绵绸|绵纸|绵薄|绵力|绵密"
糟,205111,"做酒剩下的渣子","酒糟|糟粕|糟糠|糟床|糟曲"
辖,207211,"大车轴头上穿着的小铁棍,可以管住轮子使不脱落","辖制|管辖|辖地|辖境|辖治"
漆,208311,"用漆树皮里的黏汁或其他树脂制成的涂料","油漆|漆器|漆画|漆工|漆包线"
垄,209112,"田地分界的稍稍高起的小路;田埂","垄沟|垄作|垄亩|垄田|垄台"
菲,211011,"古书上指萝卜一类的菜","菲菜|菲草|菲食|菲薄|菲微"
棋,211911,"文娱项目的一类,一副棋包括若干颗棋子和一个棋盘","象棋|围棋|军棋|跳棋|棋局"
蛮,212413,"中国古代称南方的民族","蛮族|蛮夷|蛮荒|蛮人|蛮方"
霜,214511,"在气温降到0℃以下时，接近地面空气中所含的水汽在地面物体上凝结成的白色冰晶","霜冻|霜降|霜花|霜雪|霜期"
霉,215911,"霉菌。","霉变|霉斑|霉烂|霉味|霉病"
炕,217511,"北方人用土坯或砖砌成的睡觉用的长方台","火炕|炕席|炕桌|炕头|炕沿"
茎,218711,"植物体的一部分,由胚芽发展而成,下部和根连接","茎秆|茎叶|块茎|根茎|鳞茎"
碧,220411,"青绿色的玉石","碧玉|碧玺|碧石|碧色|碧莹"
灶,221012,"借指厨房","灶台|灶具|灶神|灶房|灶火"
吟,225612,"呻吟;叹息","呻吟|吟叹|吟哦|吟咏|吟诵"
颂,225813,"周代祭祀时用的舞曲,配曲的歌词有些收在《诗经》里面","周颂|颂诗|颂歌|颂扬|颂赞"
框,227313,"框框。","框架|框子|框图|框定|框外"
契,227911,"用刀雕刻。","契刻|契文|契书|契刀|契骨"
哄,228411,"〈拟声词〉形容许多人大笑声或喧哗声","哄笑|哄闹|哄然|哄传|哄动"
晕,228622,"日光或月光通过云层中的冰晶时经折射而形成的光圈","日晕|月晕|晕圈|晕轮|晕环"
贼,229311,"偷东西的人","盗贼|贼人|贼窝|贼赃|贼船"
哨,230314,"(鸟)叫","哨鸣|哨音|哨声|哨叫|哨啼"
弓,230813,"丈量地亩的器具,用木头制成,形状略像弓,两端的距离是5尺","弓尺|弓步|弓弦|弓形|弓身"
